Time,Longitude,Latitude,Speed(km/h),LTE-S_PCell PCI,LTE-S_PCell EARFCN,LTE-S_Band,LTE-S_eNB-ID,LTE-S_PLMN ID,LTE-S_Cell Name,LTE-S_PCell RSRP,LTE-S_PCell RSRQ,LTE-S_PCell RSSI,LTE-S_PCell SINR,LTE-S_PCell CQI,LTE-S_Best_N1_Cell_ID,LTE-S_Best_N1_RSRP,LTE-S_Best_N2_Cell_ID,LTE-S_Best_N2_RSRP,LTE-S_Best_N3_Cell_ID,LTE-S_Best_N3_RSRP,LTE-S_Total Phy DL TP(Kbps),LTE-S_Total Phy UL TP(Kbps),Round Trip Time,Rx TCP/UDP Throughput,Tx TCP/UDP Throughput,Packet Loss (%)
09/06/2026 09:00:00.000,90.415248,23.770328,10.2,203.0,3772.0,Band 8,730,101,BD7179A,-80.0,-12.0,-50.0,-4.8,1,203,-80.0,136,-90.0,15,-92.0,2576,283,92.3,2363,266,2.33
09/06/2026 09:00:01.000,90.415287,23.770289,11.4,203.0,3772.0,Band 8,730,101,BD7179A,-78.0,-8.0,-51.0,3.8,5,203,-78.0,136,-92.0,15,-88.0,15139,1760,77.1,14087,1651,1.63
09/06/2026 09:00:02.000,90.415314,23.770257,13.5,203.0,3772.0,Band 8,730,101,BD7179A,-78.0,-18.0,-43.0,7.7,7,203,-78.0,136,-95.0,15,-88.0,25522,3069,65.1,23641,2786,1.52
09/06/2026 09:00:03.000,90.415326,23.770257,13.6,203.0,3772.0,Band 8,730,101,BD7179A,-80.0,-15.0,-42.0,3.5,4,203,-80.0,136,-95.0,15,-83.0,9772,1235,76.2,9206,1163,1.41
09/06/2026 09:00:04.000,90.415365,23.770206,16.7,203.0,3772.0,Band 8,730,101,BD7179A,-76.0,-11.0,-42.0,9.4,8,203,-76.0,136,-93.0,15,-87.0,33474,3952,55.5,31311,3566,1.95
09/06/2026 09:00:05.000,90.415388,23.770221,16.1,203.0,3772.0,Band 8,730,101,BD7179A,-79.0,-15.0,-44.0,3.6,3,203,-79.0,136,-97.0,15,-86.0,6148,711,88.6,5724,659,1.61
09/06/2026 09:00:06.000,90.415448,23.770213,17.1,203.0,3772.0,Band 8,730,101,BD7179A,-76.0,-9.0,-45.0,8.9,7,203,-76.0,136,-100.0,15,-88.0,23198,2730,62.8,21306,2540,1.7
09/06/2026 09:00:07.000,90.41554,23.770255,16.9,203.0,3772.0,Band 8,730,101,BD7179A,-76.0,-15.0,-39.0,0.0,4,203,-76.0,136,-102.0,15,-93.0,10177,1205,81.4,9537,1128,1.89
09/06/2026 09:00:08.000,90.415569,23.77029,16.3,203.0,3772.0,Band 8,730,101,BD7179A,-79.0,-15.0,-44.0,2.0,5,203,-79.0,136,-101.0,15,-91.0,15819,1682,73.3,14796,1550,2.1
09/06/2026 09:00:09.000,90.415597,23.77033,15.8,203.0,3772.0,Band 8,730,101,BD7179A,-74.0,-17.0,-35.0,11.3,10,203,-74.0,136,-98.0,15,-89.0,43536,4959,47.2,41761,4494,1.28
09/06/2026 09:00:10.000,90.415674,23.770348,21.3,203.0,3772.0,Band 8,730,101,BD7179A,-81.0,-9.0,-50.0,-3.0,1,203,-81.0,136,-95.0,15,-90.0,2676,274,88.0,2456,259,2.24
09/06/2026 09:00:11.000,90.415749,23.770345,23.6,203.0,3772.0,Band 8,730,101,BD7179A,-79.0,-17.0,-44.0,-0.7,4,203,-79.0,136,-90.0,15,-85.0,9530,1010,86.4,8784,962,1.93
09/06/2026 09:00:12.000,90.41582,23.77037,25.7,203.0,3772.0,Band 8,730,101,BD7179A,-82.0,-7.0,-56.0,-1.5,1,203,-82.0,136,-87.0,187,-94.0,2372,231,91.3,2202,214,2.12
