global_event_id,corridor,event_id,handover_type,timestamp,from_cell_name,from_pci,from_band,to_cell_name,to_pci,to_band,time_since_prev_handover_s,distance_since_prev_handover_m,avg_speed_prev_segment_kmh,latitude_at_handover,longitude_at_handover,serving_rsrp_just_before_dbm,serving_rsrp_just_after_dbm
1,gulshan_banani_mohakhali,1,normal,09/06/2026 09:00:33.000,URB-7926-C,117,Band 8,eNB03982_SB,147,Band 3,33,244.3,26.7,23.782538,90.41526,-75.6,-70.7
2,gulshan_banani_mohakhali,2,normal,09/06/2026 09:01:12.000,eNB03982_SB,147,Band 3,SITE3198.SECA,113,Band 41,39,207.1,19.1,23.784317,90.415104,-80.2,-79.4
3,gulshan_banani_mohakhali,3,normal,09/06/2026 09:01:41.000,SITE3198.SECA,113,Band 41,BD4761A,97,Band 1,29,122.6,15.2,23.785429,90.415011,-84.3,-73.4
4,gulshan_banani_mohakhali,4,normal,09/06/2026 09:02:07.000,BD4761A,97,Band 1,eNB03982_SB,147,Band 3,26,146.9,20.3,23.786742,90.414894,-82.2,-65.2
5,gulshan_banani_mohakhali,5,normal,09/06/2026 09:02:47.000,eNB03982_SB,147,Band 3,URB-6488-B,115,Band 8,40,136.5,12.3,23.787959,90.414749,-80.5,-63.5
6,gulshan_banani_mohakhali,6,normal,09/06/2026 09:02:59.000,URB-6488-B,115,Band 8,URB-1391-C,19,Band 8,12,55.9,16.8,23.788496,90.414746,-74.2,-59.8
7,gulshan_banani_mohakhali,7,normal,09/06/2026 09:03:37.000,URB-1391-C,19,Band 8,eNB02986_SB,158,Band 3,38,184,17.4,23.790099,90.414589,-73.5,-75.8
8,gulshan_banani_mohakhali,8,normal,09/06/2026 09:04:04.000,eNB02986_SB,158,Band 3,eNB03982_SB,147,Band 3,27,124.6,16.6,23.791232,90.414504,-84.7,-74.6
9,gulshan_banani_mohakhali,9,normal,09/06/2026 09:04:41.000,eNB03982_SB,147,Band 3,BD3163B,91,Band 1,37,166.5,16.2,23.792739,90.414392,-81.5,-76
10,gulshan_banani_mohakhali,10,normal,09/06/2026 09:06:23.000,BD3163B,91,Band 1,eNB06004_SB,76,Band 3,102,473.7,16.7,23.794948,90.41181,-83.7,-73.3
11,gulshan_banani_mohakhali,11,normal,09/06/2026 09:06:34.000,eNB06004_SB,76,Band 3,eNB05980_SB,5,Band 3,11,42.8,14,23.794949,90.41139,-83.4,-71.7
12,gulshan_banani_mohakhali,12,normal,09/06/2026 09:06:43.000,eNB05980_SB,5,Band 3,URB-7699-B,58,Band 8,9,49.9,20,23.794996,90.410921,-80.8,-62.5
13,gulshan_banani_mohakhali,13,normal,09/06/2026 09:07:58.000,URB-7699-B,58,Band 8,BD2498C,124,Band 1,75,328.3,15.8,23.795173,90.407735,-72.8,-69.8
