global_event_id,corridor,event_id,handover_type,timestamp,from_cell_name,from_pci,from_band,to_cell_name,to_pci,to_band,time_since_prev_handover_s,distance_since_prev_handover_m,avg_speed_prev_segment_kmh,latitude_at_handover,longitude_at_handover,serving_rsrp_just_before_dbm,serving_rsrp_just_after_dbm
1,gulshan_banani_mohakhali,1,normal,09/06/2026 09:03:36.000,BD7179A,203.0,Band 8,BD4592C,168.0,Band 8,,,,23.778582,90.419356,-89.0,-92.0
2,gulshan_banani_mohakhali,2,pingpong,09/06/2026 09:03:59.000,BD4592C,168.0,Band 3,BD7179A,203.0,Band 3,23.0,137.2,21.5,23.779567,90.419403,-94.0,-93.0
3,gulshan_banani_mohakhali,3,short_stay,09/06/2026 09:04:05.000,BD7179A,203.0,Band 3,BD4592C,168.0,Band 3,6.0,27.2,16.3,23.779753,90.419463,-92.0,-92.0
4,gulshan_banani_mohakhali,4,normal,09/06/2026 09:04:13.000,BD4592C,168.0,Band 3,eNB01278_SB,148.0,Band 3,8.0,49.0,22.0,23.780036,90.419387,-90.0,-92.0
5,gulshan_banani_mohakhali,5,short_stay,09/06/2026 09:04:44.000,eNB01278_SB,148.0,Band 1,BD4592C,168.0,Band 1,31.0,173.0,20.1,23.78134,90.419434,-99.0,-95.0
6,gulshan_banani_mohakhali,6,short_stay,09/06/2026 09:04:46.000,BD4592C,168.0,Band 1,eNB07356_SB,24.0,Band 1,2.0,8.6,15.5,23.781416,90.419436,-92.0,-94.0
7,gulshan_banani_mohakhali,7,short_stay,09/06/2026 09:04:54.000,eNB07356_SB,24.0,Band 1,BD7179A,203.0,Band 1,8.0,38.4,17.3,23.781648,90.419475,-97.0,-94.0
8,gulshan_banani_mohakhali,8,normal,09/06/2026 09:04:58.000,BD7179A,203.0,Band 1,eNB01278_SB,148.0,Band 1,4.0,16.9,15.2,23.78174,90.419428,-93.0,-94.0
9,gulshan_banani_mohakhali,9,pingpong,09/06/2026 09:05:19.000,eNB01278_SB,148.0,Band 1,eNB07356_SB,24.0,Band 1,21.0,101.1,17.3,23.782483,90.419345,-91.0,-88.0
10,gulshan_banani_mohakhali,10,normal,09/06/2026 09:05:22.000,eNB07356_SB,24.0,Band 1,eNB01278_SB,148.0,Band 1,3.0,27.0,32.4,23.782712,90.41939,-89.0,-88.0
11,gulshan_banani_mohakhali,11,normal,09/06/2026 09:05:44.000,eNB01278_SB,148.0,Band 1,eNB07356_SB,24.0,Band 1,22.0,131.9,21.6,23.783733,90.419311,-97.0,-98.0
12,gulshan_banani_mohakhali,12,pingpong,09/06/2026 09:05:59.000,eNB07356_SB,24.0,Band 1,eNB01278_SB,148.0,Band 1,15.0,90.1,21.6,23.784473,90.419196,-94.0,-90.0
13,gulshan_banani_mohakhali,13,pingpong,09/06/2026 09:06:04.000,eNB01278_SB,148.0,Band 1,eNB07356_SB,24.0,Band 1,5.0,29.6,21.3,23.78468,90.419165,-90.0,-85.0
14,gulshan_banani_mohakhali,14,normal,09/06/2026 09:06:06.000,eNB07356_SB,24.0,Band 1,eNB01278_SB,148.0,Band 1,2.0,17.3,31.1,23.784811,90.41911,-84.0,-87.0
