cap,lat,lon,pp
1,23.89434,90.40093,0
1,23.89257,90.40204,1
1,23.8925,90.40204,0
1,23.89216,90.40202,1
1,23.89216,90.40202,0
1,23.89193,90.40198,0
1,23.89147,90.40186,0
1,23.89076,90.40165,0
1,23.88947,90.40129,0
1,23.88927,90.40124,0
1,23.88917,90.40121,0
1,23.88829,90.40094,0
1,23.88778,90.4008,0
1,23.88768,90.40076,0
1,23.8858,90.40029,0
1,23.88533,90.40031,0
1,23.8835,90.4005,0
1,23.88286,90.40062,0
1,23.8826,90.40068,0
1,23.88216,90.40078,1
1,23.88211,90.40079,0
1,23.88184,90.40085,1
1,23.88155,90.40095,0
1,23.87566,90.40076,0
1,23.87554,90.40074,0
1,23.87463,90.40065,0
1,23.87313,90.40061,0
1,23.87303,90.40061,0
1,23.87223,90.40061,0
1,23.86366,90.40007,0
1,23.8632,90.40003,0
1,23.86307,90.40002,1
1,23.86283,90.40001,0
1,23.86106,90.40024,0
1,23.86076,90.40033,0
1,23.86038,90.4005,1
1,23.86004,90.40074,0
1,23.85903,90.4016,0
1,23.85713,90.40331,1
1,23.85704,90.40338,0
1,23.85652,90.40373,0
1,23.85472,90.40515,0
1,23.85154,90.40783,0
1,23.85127,90.40809,0
1,23.85091,90.40832,0
1,23.85022,90.40885,0
1,23.84966,90.40932,1
1,23.8495,90.40944,1
1,23.84913,90.40975,0
1,23.84872,90.41013,0
1,23.84794,90.41079,0
1,23.84683,90.41171,0
1,23.84509,90.41322,1
1,23.845,90.41331,1
1,23.84413,90.41407,1
1,23.84377,90.41436,1
1,23.84315,90.41485,0
1,23.84293,90.41504,0
1,23.84005,90.41724,0
1,23.83939,90.41765,0
1,23.83584,90.41889,0
1,23.83573,90.41892,0
1,23.83558,90.41894,0
1,23.8355,90.41896,0
1,23.83542,90.41898,0
1,23.83526,90.41901,0
1,23.83497,90.41906,0
1,23.83405,90.41924,0
1,23.83336,90.41936,0
1,23.83307,90.4194,0
1,23.8317,90.41959,0
1,23.83096,90.41971,0
1,23.82858,90.42014,1
1,23.82834,90.42022,1
1,23.82817,90.42029,1
1,23.82801,90.42032,0
1,23.82763,90.42039,1
1,23.82745,90.42042,0
1,23.82745,90.42042,0
1,23.82717,90.42047,1
1,23.82631,90.42061,0
1,23.82606,90.42064,0
1,23.82591,90.42066,1
1,23.8257,90.42071,1
1,23.8257,90.42071,1
1,23.82538,90.42083,0
1,23.82534,90.42086,1
1,23.82527,90.42093,1
1,23.82522,90.42101,0
1,23.82507,90.42161,0
1,23.82513,90.4219,1
1,23.82524,90.4223,0
1,23.8253,90.42254,1
1,23.82545,90.42325,1
1,23.82549,90.42349,0
1,23.82552,90.42361,0
1,23.82556,90.42383,0
1,23.82561,90.42404,0
1,23.82577,90.42477,0
1,23.82582,90.425,0
1,23.82612,90.42645,0
1,23.82618,90.42674,1
1,23.82621,90.42689,0
1,23.82624,90.42703,1
1,23.82638,90.42763,1
1,23.82641,90.42779,0
1,23.82654,90.4284,0
1,23.82721,90.43141,0
1,23.8275,90.43269,0
1,23.83144,90.45217,0
1,23.8316,90.45287,1
1,23.83164,90.45304,0
1,23.83173,90.45338,0
1,23.83208,90.45487,1
1,23.83216,90.45523,0
1,23.8323,90.45579,1
1,23.8324,90.45617,0
1,23.83259,90.45695,0
1,23.83336,90.46001,0
1,23.83408,90.46299,0
1,23.83417,90.46338,0
1,23.83607,90.47256,0
1,23.8361,90.47271,0
1,23.83617,90.47301,0
1,23.83642,90.47396,1
1,23.83645,90.47411,0
1,23.83652,90.47448,0
1,23.83665,90.47507,1
1,23.83682,90.47592,0
1,23.83687,90.47615,0
1,23.83721,90.47779,0
1,23.83758,90.48216,0
1,23.83757,90.48249,0
1,23.83757,90.48265,0
1,23.83756,90.48325,0
1,23.83756,90.48369,1
1,23.83756,90.48376,0
1,23.83756,90.48381,1
1,23.83755,90.48386,0
