cap,did,lat,lon,serving_rsrp,speed_kmh
1,1,23.89543,90.39999,-91.0,56.0
1,1,23.89532,90.40008,-91.0,56.0
1,1,23.8952,90.40017,-93.0,56.0
1,1,23.89509,90.40026,-86.0,55.0
1,1,23.89498,90.40036,-82.0,54.0
1,1,23.89487,90.40044,-91.0,52.0
1,1,23.89478,90.40053,-90.0,48.0
1,1,23.89469,90.40061,-81.0,46.0
1,1,23.8946,90.40069,-77.0,44.0
1,1,23.89452,90.40077,-73.0,45.0
1,1,23.89443,90.40085,-67.0,46.0
1,1,23.89434,90.40093,-61.0,47.0
1,1,23.89425,90.40102,-65.0,48.0
1,1,23.89416,90.4011,-63.0,48.0
1,1,23.89406,90.40118,-72.0,49.0
1,1,23.89397,90.40127,-71.0,50.0
1,1,23.89387,90.40135,-73.0,50.0
1,1,23.89377,90.40144,-74.0,51.0
1,1,23.89367,90.40152,-75.0,50.0
1,1,23.89357,90.4016,-75.0,47.0
1,1,23.89348,90.40168,-78.0,47.0
1,1,23.89338,90.40176,-78.0,47.0
1,1,23.89328,90.40183,-78.0,48.0
1,1,23.89318,90.40189,-82.0,47.0
1,1,23.89307,90.40194,-82.0,44.0
1,1,23.89298,90.40198,-77.0,37.0
1,1,23.89289,90.402,-77.0,35.0
1,1,23.89281,90.40202,-76.0,30.0
1,1,23.89275,90.40203,-73.0,26.0
1,1,23.89268,90.40204,-75.0,24.0
1,1,23.89263,90.40204,-82.0,24.0
1,1,23.89257,90.40204,-77.0,23.0
1,1,23.8925,90.40204,-73.0,24.0
1,1,23.89244,90.40204,-74.0,25.0
1,1,23.89238,90.40203,-74.0,26.0
1,1,23.89231,90.40203,-72.0,27.0
1,1,23.89224,90.40203,-77.0,28.0
1,1,23.89216,90.40202,-79.0,30.0
1,1,23.89209,90.40202,-83.0,32.0
1,1,23.89201,90.402,-87.0,32.0
1,1,23.89193,90.40198,-77.0,34.0
1,1,23.89176,90.40194,-80.0,35.0
1,1,23.89166,90.40191,-79.0,37.0
1,1,23.89166,90.40191,-74.0,38.0
1,1,23.89157,90.40189,-80.0,39.0
1,1,23.89147,90.40186,-80.0,39.0
1,1,23.89138,90.40183,-75.0,40.0
1,1,23.89128,90.4018,-78.0,41.0
1,1,23.89118,90.40178,-73.0,42.0
1,1,23.89108,90.40175,-74.0,43.0
1,1,23.89097,90.40172,-78.0,44.0
1,1,23.89087,90.40169,-69.0,45.0
1,1,23.89076,90.40165,-69.0,45.0
1,1,23.89065,90.40162,-71.0,45.0
1,1,23.89054,90.40159,-61.0,45.0
1,1,23.89043,90.40156,-66.0,45.0
1,1,23.89032,90.40153,-67.0,44.0
1,1,23.89022,90.4015,-69.0,41.0
1,1,23.89012,90.40148,-68.0,39.0
1,1,23.89003,90.40145,-66.0,38.0
1,1,23.88994,90.40142,-72.0,38.0
1,1,23.88984,90.4014,-68.0,38.0
1,1,23.88975,90.40137,-73.0,38.0
1,1,23.88966,90.40134,-71.0,39.0
1,1,23.88956,90.40132,-86.0,39.0
1,1,23.88947,90.40129,-86.0,40.0
1,1,23.88937,90.40126,-88.0,40.0
1,1,23.88927,90.40124,-89.0,40.0
1,1,23.88917,90.40121,-88.0,39.0
1,1,23.88908,90.40118,-88.0,39.0
1,1,23.88899,90.40115,-81.0,38.0
1,1,23.88889,90.40113,-75.0,39.0
1,1,23.8888,90.40109,-84.0,40.0
1,1,23.8887,90.40106,-79.0,40.0
1,1,23.8886,90.40103,-82.0,41.0
1,1,23.8885,90.401,-83.0,42.0
1,1,23.88839,90.40097,-78.0,42.0
1,1,23.88829,90.40094,-81.0,43.0
1,1,23.88818,90.40091,-69.0,42.0
1,1,23.88808,90.40088,-71.0,41.0
1,1,23.88798,90.40086,-76.0,41.0
1,1,23.88788,90.40083,-80.0,42.0
1,1,23.88778,90.4008,-81.0,43.0
