model,condition,regime,feature_set,variant,horizon_s,n,positive_rate,auprc,auprc_lift,auroc,brier,nll,ece,f1_best,f1_best_threshold,recall_at_fpr0.01,threshold_at_fpr0.01,recall_at_fpr0.05,threshold_at_fpr0.05,recall_at_fpr0.1,threshold_at_fpr0.1,precision_at_recall0.5,precision_at_recall0.8,auprc_point,auprc_ci_low,auprc_ci_high,auprc_n_groups,auprc_n_boot,auprc_bootstrap_se,n_inputs
gru,grouped_drive,topology_agnostic,rf,base,1.0,9106,0.031078409839666154,0.362404545962596,11.660974542527914,0.9496313241692028,0.0875018157468534,0.24788881613529662,0.11449955527071815,0.41693811074918563,0.8984275460243225,0.2756183745583039,0.9305923581123352,0.6395759717314488,0.8355002403259277,0.8374558303886925,0.6781921982765198,0.3459715639810427,0.23621227887617066,0.362404545962596,0.3259924332762639,0.41225314476768327,14,300,0.02229026086034882,83
gru,grouped_drive,topology_agnostic,rf,base,2.0,9092,0.06225252969643643,0.5635040907957276,9.051906702322889,0.9521665800473961,0.095641006868797,0.2809335493411727,0.11608405502282539,0.5614296351451974,0.8690631985664368,0.31802120141342755,0.9530746936798096,0.6731448763250883,0.8656132817268372,0.8392226148409894,0.7212211489677429,0.552734375,0.3782211138819618,0.5635040907957276,0.5230650029429195,0.6191295475282053,14,300,0.02416171894063934,83
gru,grouped_drive,topology_agnostic,rf,base,3.0,9079,0.09318206850974776,0.6848808547083036,7.349921134629656,0.9544211598425181,0.09339772398163637,0.27808215724838586,0.10910681690535459,0.6394557823129251,0.8419076800346375,0.3475177304964539,0.9559215307235718,0.6879432624113475,0.8611305952072144,0.851063829787234,0.7047648429870605,0.7048092868988391,0.5022255192878339,0.6848808547083036,0.6504944426905669,0.7231337142030434,14,300,0.018562478392777738,83
gru,grouped_drive,topology_agnostic,rf,base,5.0,9052,0.1541095890410959,0.8110382790721036,5.262737277534539,0.9557961581292541,0.0879976122471679,0.2730658740630538,0.09115092176159513,0.726552179656539,0.7760781049728394,0.4136200716845878,0.9612300992012024,0.7089605734767025,0.8499615788459778,0.860931899641577,0.6489630341529846,0.8580171358629131,0.6597755463673951,0.8110382790721036,0.7880450379920946,0.8327709488475943,14,300,0.011358074601169934,83
gru,grouped_drive,topology_agnostic,rf+mob,base,1.0,9106,0.031078409839666154,0.36822252666015176,11.848177836633717,0.946361281087937,0.053316974071299275,0.15795250888142062,0.07788277039143138,0.4383954154727794,0.6951952576637268,0.2579505300353357,0.8581565618515015,0.6395759717314488,0.6117761135101318,0.8021201413427562,0.42799946665763855,0.3733681462140992,0.20636363636363636,0.36822252666015176,0.33919930914794527,0.4254522031837322,14,300,0.022195282173936116,100
gru,grouped_drive,topology_agnostic,rf+mob,base,2.0,9092,0.06225252969643643,0.5595650566081934,8.988631616045398,0.949920384871385,0.07023676991791498,0.20628414058676542,0.08699538821770297,0.56,0.735332190990448,0.30212014134275617,0.9094793200492859,0.6696113074204947,0.7168331742286682,0.8303886925795053,0.5313799977302551,0.5652173913043478,0.371007371007371,0.5595650566081934,0.5251109507384261,0.6142248110717314,14,300,0.023073868318673158,100
gru,grouped_drive,topology_agnostic,rf+mob,base,3.0,9079,0.09318206850974776,0.6678556596978824,7.167212215599379,0.9507913577343557,0.06856359146199875,0.2073290963974231,0.07068404582645771,0.6238244514106583,0.6598950028419495,0.3132387706855792,0.9185163974761963,0.6631205673758865,0.6990292072296143,0.8392434988179669,0.4846222698688507,0.6835443037974683,0.49488304093567254,0.6678556596978824,0.6419645945103397,0.7019533009787405,14,300,0.0159100940945231,100
gru,grouped_drive,topology_agnostic,rf+mob,base,5.0,9052,0.1541095890410959,0.793609315755364,5.149642671123695,0.951515304710989,0.07516114866665474,0.23525079602951202,0.06606782221429687,0.7261306532663317,0.5661450624465942,0.3763440860215054,0.9292694330215454,0.6989247311827957,0.7141467928886414,0.8544802867383513,0.5073844790458679,0.8329355608591885,0.6591981132075472,0.793609315755364,0.7796425509524685,0.8060196159801214,14,300,0.006668354256505247,100
gru,grouped_drive,topology_agnostic,rf+mob+hist,base,1.0,9106,0.031078409839666154,0.34868114792534116,11.219401176707267,0.9502913402130394,0.08865127996627467,0.25239980228956876,0.13138005602928404,0.43526170798898073,0.8489723205566406,0.23674911660777384,0.9132732152938843,0.6643109540636042,0.7952151298522949,0.8551236749116607,0.6425243616104126,0.3614457831325301,0.2288306451612903,0.34868114792534116,0.32216156786487066,0.39521714469433816,14,300,0.019713345849108173,107
gru,grouped_drive,topology_agnostic,rf+mob+hist,base,2.0,9092,0.06225252969643643,0.5470595802336153,8.787748592727969,0.9519645374903953,0.10258338695946143,0.29717429157344255,0.13620318285924987,0.5640636846095527,0.8647688627243042,0.2773851590106007,0.9414339065551758,0.6802120141342756,0.854264497756958,0.8356890459363958,0.7335432767868042,0.5898989898989899,0.39528795811518325,0.5470595802336153,0.5091944439548461,0.5985890480483438,14,300,0.022701578008508562,107
