model,condition,regime,feature_set,variant,horizon_s,n_events,event_detection_rate,median_lead_time_s,false_alarms_per_hour,false_alarms_per_km,threshold
lgbm,random_row,topology_agnostic,rf_mob_hist_qoe,base,1.0,1650,0.08242424242424243,1.0,22.488320893518768,0.8206013330461163,0.04064479090590915
lgbm,random_row,topology_agnostic,rf_mob_hist_qoe,base,2.0,1650,0.18363636363636363,2.0,22.47578040904198,0.8202741310414393,0.18226293631102705
lgbm,random_row,topology_agnostic,rf_mob_hist_qoe,base,3.0,1650,0.2927272727272727,2.0,22.393614152418962,0.8177390768450044,0.33250666805099294
lgbm,random_row,topology_agnostic,rf_mob_hist_qoe,base,5.0,1650,0.4478787878787879,3.0,20.528737706397184,0.7495880461404469,0.4839420623156175
gru,random_row,topology_agnostic,rf_mob_hist_qoe,base,1.0,1650,0.09636363636363636,1.0,25.065778875583955,0.9146530617620034,0.7685505747795105
gru,random_row,topology_agnostic,rf_mob_hist_qoe,base,2.0,1650,0.19515151515151516,2.0,23.18622174381055,0.8462023363329791,0.8326160311698914
gru,random_row,topology_agnostic,rf_mob_hist_qoe,base,3.0,1650,0.2721212121212121,2.0,22.199449867860416,0.8106488536353655,0.8261582851409912
gru,random_row,topology_agnostic,rf_mob_hist_qoe,base,5.0,1650,0.4163636363636364,3.0,20.20391590724533,0.7377274757901233,0.8002755045890808
lgbm,random_row,context_rich,rf_mob_hist_qoe,base,1.0,1650,0.08242424242424243,1.0,22.488320893518768,0.8206013330461163,0.04064479090590915
lgbm,random_row,context_rich,rf_mob_hist_qoe,base,2.0,1650,0.18363636363636363,2.0,22.47578040904198,0.8202741310414393,0.18226293631102705
lgbm,random_row,context_rich,rf_mob_hist_qoe,base,3.0,1650,0.2927272727272727,2.0,22.393614152418962,0.8177390768450044,0.33250666805099294
lgbm,random_row,context_rich,rf_mob_hist_qoe,base,5.0,1650,0.4478787878787879,3.0,20.528737706397184,0.7495880461404469,0.4839420623156175
gru,random_row,context_rich,rf_mob_hist_qoe,base,1.0,1650,0.09636363636363636,1.0,25.065778875583955,0.9146530617620034,0.7685505747795105
gru,random_row,context_rich,rf_mob_hist_qoe,base,2.0,1650,0.19515151515151516,2.0,23.18622174381055,0.8462023363329791,0.8326160311698914
gru,random_row,context_rich,rf_mob_hist_qoe,base,3.0,1650,0.2721212121212121,2.0,22.199449867860416,0.8106488536353655,0.8261582851409912
gru,random_row,context_rich,rf_mob_hist_qoe,base,5.0,1650,0.4163636363636364,3.0,20.20391590724533,0.7377274757901233,0.8002755045890808
lgbm,grouped_drive,topology_agnostic,rf_mob_hist_qoe,base,1.0,288,0.5833333333333334,1.0,46.220749637606126,1.753185665865996,0.03965146369092403
lgbm,grouped_drive,topology_agnostic,rf_mob_hist_qoe,base,2.0,288,0.71875,2.0,36.96328562538893,1.4023595376538243,0.2257480322872377
lgbm,grouped_drive,topology_agnostic,rf_mob_hist_qoe,base,3.0,288,0.8090277777777778,3.0,29.90964793851906,1.1351593085459577,0.39912060540889494
lgbm,grouped_drive,topology_agnostic,rf_mob_hist_qoe,base,5.0,288,0.8611111111111112,5.0,25.125,0.9540219313529903,0.6155769059296706
gru,grouped_drive,topology_agnostic,rf_mob_hist_qoe,base,1.0,288,0.6215277777777778,1.0,4.845723752329675,0.18380172303433828,0.7909780144691467
gru,grouped_drive,topology_agnostic,rf_mob_hist_qoe,base,2.0,288,0.6840277777777778,2.0,6.72059738643435,0.2549744613916044,0.8524155616760254
gru,grouped_drive,topology_agnostic,rf_mob_hist_qoe,base,3.0,288,0.75,3.0,5.234188389240836,0.1986528789955426,0.8339670896530151
gru,grouped_drive,topology_agnostic,rf_mob_hist_qoe,base,5.0,288,0.8229166666666666,5.0,7.125,0.27054353277174353,0.811370849609375
lgbm,grouped_drive,context_rich,rf_mob_hist_qoe,base,1.0,288,0.5833333333333334,1.0,46.220749637606126,1.753185665865996,0.03965146369092403
lgbm,grouped_drive,context_rich,rf_mob_hist_qoe,base,2.0,288,0.71875,2.0,36.96328562538893,1.4023595376538243,0.2257480322872377
lgbm,grouped_drive,context_rich,rf_mob_hist_qoe,base,3.0,288,0.8090277777777778,3.0,29.90964793851906,1.1351593085459577,0.39912060540889494
lgbm,grouped_drive,context_rich,rf_mob_hist_qoe,base,5.0,288,0.8611111111111112,5.0,25.125,0.9540219313529903,0.6155769059296706
gru,grouped_drive,context_rich,rf_mob_hist_qoe,base,1.0,288,0.6215277777777778,1.0,4.845723752329675,0.18380172303433828,0.7909780144691467
gru,grouped_drive,context_rich,rf_mob_hist_qoe,base,2.0,288,0.6840277777777778,2.0,6.72059738643435,0.2549744613916044,0.8524155616760254
gru,grouped_drive,context_rich,rf_mob_hist_qoe,base,3.0,288,0.75,3.0,5.234188389240836,0.1986528789955426,0.8339670896530151
gru,grouped_drive,context_rich,rf_mob_hist_qoe,base,5.0,288,0.8229166666666666,5.0,7.125,0.27054353277174353,0.811370849609375
