model,condition,regime,feature_set,variant,horizon_s,n,positive_rate,auprc,auprc_lift,auroc,brier,nll,ece,f1_best,f1_best_threshold,recall_at_fpr0.01,threshold_at_fpr0.01,recall_at_fpr0.05,threshold_at_fpr0.05,recall_at_fpr0.1,threshold_at_fpr0.1,precision_at_recall0.5,precision_at_recall0.8,auprc_point,auprc_ci_low,auprc_ci_high,auprc_n_groups,auprc_n_boot,auprc_bootstrap_se
lgbm,random_row,topology_agnostic,rf_mob_hist_qoe,base,1.0,8042,0.027853767719472768,0.3686849546415147,13.23644823762081,0.943307340203925,0.023395679916844568,0.10135333395901168,0.017780778366109088,0.420824295010846,0.227214749785438,0.2857142857142857,0.4972523888961798,0.6071428571428571,0.040691149730582375,0.8125,0.007500646399373744,0.3404255319148936,0.19189765458422176,0.3686849546415147,0.2958569363681874,0.43678347815907537,84,300,0.03538389268698294
lgbm,random_row,topology_agnostic,rf_mob_hist_qoe,base,2.0,8030,0.05865504358655044,0.5876060596542431,10.017997152916289,0.9549733181772603,0.03938168372093305,0.13801859202870245,0.02733359896961054,0.5569871159563924,0.3218841084537485,0.3524416135881104,0.8122015741316724,0.6645435244161358,0.19395007393815328,0.8492569002123143,0.04159712074745218,0.5620608899297423,0.3960084033613445,0.5876060596542431,0.5385685105224207,0.6281152241695572,84,300,0.02320429309218845
lgbm,random_row,topology_agnostic,rf_mob_hist_qoe,base,3.0,8012,0.08986520219670495,0.7198629950199571,8.010475439027633,0.9597612680563173,0.047373279039746634,0.1598349443498524,0.02831283191327969,0.6597051597051597,0.3455412022652995,0.40694444444444444,0.8827428164002593,0.7402777777777778,0.3571260467853493,0.8944444444444445,0.0908682466774443,0.7157057654075547,0.5376044568245125,0.7198629950199571,0.6849010988283599,0.7539705185870383,84,300,0.018605049254966484
lgbm,random_row,topology_agnostic,rf_mob_hist_qoe,base,5.0,7988,0.14947421131697547,0.8426523234256698,5.637442847172738,0.9666599112725831,0.05450786021683122,0.18063235314884674,0.02993087528493938,0.76105476673428,0.5075069879442934,0.47571189279731996,0.930186857385283,0.7864321608040201,0.504392955188368,0.9036850921273032,0.1918009992273298,0.8940298507462686,0.7206325301204819,0.8426523234256698,0.8210291141595587,0.8616994210507839,84,300,0.010763727133127073
gru,random_row,topology_agnostic,rf_mob_hist_qoe,base,1.0,8042,0.027853767719472768,0.5934000946813974,21.304123042088385,0.978660737126777,0.028567826991643928,0.10456398682609666,0.029235268946710746,0.5760368663594471,0.9363108277320862,0.5178571428571429,0.9449390172958374,0.8839285714285714,0.04616090655326843,0.9776785714285714,0.0004929326241835952,0.5979381443298969,0.38876889848812096,0.5934000946813974,0.5230141259163659,0.6654497432350982,84,300,0.037907853873387576
gru,random_row,topology_agnostic,rf_mob_hist_qoe,base,2.0,8030,0.05865504358655044,0.8058114812134111,13.738144785867709,0.984882407018082,0.030848500997542064,0.12357237363284383,0.029444794129258815,0.754,0.8850699663162231,0.6305732484076433,0.973535418510437,0.9384288747346072,0.12172450125217438,0.9830148619957537,0.000702677178196609,0.8350877192982457,0.7126654064272212,0.8058114812134111,0.7658933280911464,0.8397600079802471,84,300,0.020685468548471853
gru,random_row,topology_agnostic,rf_mob_hist_qoe,base,3.0,8012,0.08986520219670495,0.8976466075344469,9.988811971619429,0.9879635978545743,0.031879011786714054,0.1261991948078763,0.030267339287556327,0.828042328042328,0.8245823979377747,0.6847222222222222,0.9802893996238708,0.9555555555555556,0.20215392112731934,0.9916666666666667,0.009710966609418392,0.9328165374677002,0.8384279475982532,0.8976466075344469,0.878107884219222,0.9137060247880736,84,300,0.009691867296014959
gru,random_row,topology_agnostic,rf_mob_hist_qoe,base,5.0,7988,0.14947421131697547,0.9435087595949697,6.312184230858139,0.9875705063439068,0.03978562832538522,0.1436864833486047,0.03999377565599618,0.8710068742418114,0.793035626411438,0.7721943048576214,0.9633943438529968,0.9422110552763819,0.5270034670829773,0.9731993299832495,0.08505411446094513,0.9855305466237942,0.9148325358851674,0.9435087595949697,0.9310353557284989,0.9562284610433496,84,300,0.0066199738646058074
lgbm,grouped_drive,topology_agnostic,rf_mob_hist_qoe,base,1.0,9106,0.031078409839666154,0.36207058074738235,11.65022865118609,0.9427347973033859,0.02737701640873498,0.11736022116007334,0.022848171836149036,0.39506172839506176,0.05420854750659926,0.26855123674911663,0.5648171532089447,0.6007067137809188,0.03709660086398941,0.7915194346289752,0.006705916700280792,0.30885529157667385,0.2019400352733686,0.36207058074738235,0.3241381994842149,0.4109055425212124,14,300,0.024342628207661823
lgbm,grouped_drive,topology_agnostic,rf_mob_hist_qoe,base,2.0,9092,0.06225252969643643,0.566508601675116,9.100169976025008,0.9482845654406515,0.043453179789935036,0.16377710063857806,0.03222953142500383,0.5450381679389312,0.21934855039050283,0.32332155477031804,0.8460027629931391,0.6484098939929329,0.18391756694803502,0.8321554770318021,0.03504180924017258,0.5555555555555556,0.3734542456718879,0.566508601675116,0.522539189624119,0.6277332093049447,14,300,0.02771088313493381
