model,condition,regime,feature_set,variant,horizon_s,n_events,n_detected,event_detection_rate,missed_event_rate,median_lead_time_s,mean_lead_time_s,p25_lead_time_s,p75_lead_time_s,n_alarm_episodes,n_false_alarm_episodes,false_alarms_per_hour,false_alarms_per_km,observed_hours,observed_km,threshold
rule,grouped_drive,topology_agnostic,rf_mob_hist_qoe,base,1.0,288,80,0.2777777777777778,0.7222222222222222,1.0,1.0,1.0,1.0,169,89,33.17457030441085,1.258334873081239,2.682777777777778,70.72839027505367,0.9957349631632164
rule,grouped_drive,topology_agnostic,rf_mob_hist_qoe,base,2.0,288,102,0.3541666666666667,0.6458333333333333,2.0,1.696078431372549,1.0,2.0,175,73,27.255756067205976,1.0340630934215067,2.6783333333333332,70.59530551318458,0.9950971822055867
rule,grouped_drive,topology_agnostic,rf_mob_hist_qoe,base,3.0,288,117,0.40625,0.59375,3.0,2.2564102564102564,2.0,3.0,185,64,23.927718350815248,0.9081274468367662,2.674722222222222,70.47468967371036,0.9942218613702388
rule,grouped_drive,topology_agnostic,rf_mob_hist_qoe,base,5.0,288,131,0.4548611111111111,0.5451388888888888,3.0,3.1297709923664123,2.0,5.0,191,37,13.875,0.526847932239711,2.6666666666666665,70.22899348338969,0.9928791068944156
logreg,grouped_drive,topology_agnostic,rf_mob_hist_qoe,base,1.0,288,170,0.5902777777777778,0.4097222222222222,1.0,1.0,1.0,1.0,236,66,24.60136674259681,0.9331472092512559,2.682777777777778,70.72839027505367,0.8552440459021607
logreg,grouped_drive,topology_agnostic,rf_mob_hist_qoe,base,2.0,288,200,0.6944444444444444,0.3055555555555556,2.0,1.745,1.0,2.0,258,58,21.65525824517735,0.8215843755951697,2.6783333333333332,70.59530551318458,0.8415921584866302
logreg,grouped_drive,topology_agnostic,rf_mob_hist_qoe,base,3.0,288,229,0.7951388888888888,0.20486111111111116,3.0,2.4192139737991267,2.0,3.0,294,61,22.806106553120784,0.8655589727662928,2.674722222222222,70.47468967371036,0.8358169108626913
logreg,grouped_drive,topology_agnostic,rf_mob_hist_qoe,base,5.0,288,258,0.8958333333333334,0.10416666666666663,4.0,3.86046511627907,3.0,5.0,343,63,23.625,0.8970653981378864,2.6666666666666665,70.22899348338969,0.8219329311620908
lgbm,grouped_drive,topology_agnostic,rf_mob_hist_qoe,base,1.0,288,168,0.5833333333333334,0.41666666666666663,1.0,1.0,1.0,1.0,292,124,46.220749637606126,1.753185665865996,2.682777777777778,70.72839027505367,0.03965146369092403
lgbm,grouped_drive,topology_agnostic,rf_mob_hist_qoe,base,2.0,288,207,0.71875,0.28125,2.0,1.7729468599033817,2.0,2.0,306,99,36.96328562538893,1.4023595376538243,2.6783333333333332,70.59530551318458,0.2257480322872377
lgbm,grouped_drive,topology_agnostic,rf_mob_hist_qoe,base,3.0,288,233,0.8090277777777778,0.1909722222222222,3.0,2.51931330472103,2.0,3.0,318,80,29.90964793851906,1.1351593085459577,2.674722222222222,70.47468967371036,0.39912060540889494
lgbm,grouped_drive,topology_agnostic,rf_mob_hist_qoe,base,5.0,288,248,0.8611111111111112,0.13888888888888884,5.0,4.028225806451613,3.0,5.0,343,67,25.125,0.9540219313529903,2.6666666666666665,70.22899348338969,0.6155769059296706
gru,grouped_drive,topology_agnostic,rf_mob_hist_qoe,base,1.0,288,174,0.6041666666666666,0.39583333333333337,1.0,1.0,1.0,1.0,193,19,7.0822116380202935,0.26863328751172516,2.682777777777778,70.72839027505367,0.7772279977798462
gru,grouped_drive,topology_agnostic,rf_mob_hist_qoe,base,2.0,288,201,0.6979166666666666,0.30208333333333337,2.0,1.8059701492537314,2.0,2.0,219,18,6.72059738643435,0.2549744613916044,2.6783333333333332,70.59530551318458,0.8386545181274414
gru,grouped_drive,topology_agnostic,rf_mob_hist_qoe,base,3.0,288,217,0.7534722222222222,0.2465277777777778,3.0,2.552995391705069,2.0,3.0,235,18,6.729670786166788,0.2554108444228405,2.674722222222222,70.47468967371036,0.8244282007217407
gru,grouped_drive,topology_agnostic,rf_mob_hist_qoe,base,5.0,288,242,0.8402777777777778,0.1597222222222222,5.0,4.053719008264463,3.0,5.0,279,26,9.75,0.37021746589817534,2.6666666666666665,70.22899348338969,0.8342054486274719
tcn,grouped_drive,topology_agnostic,rf_mob_hist_qoe,base,1.0,288,184,0.6388888888888888,0.36111111111111116,1.0,1.0,1.0,1.0,215,31,11.555187409401531,0.438296416466499,2.682777777777778,70.72839027505367,0.8125659823417664
tcn,grouped_drive,topology_agnostic,rf_mob_hist_qoe,base,2.0,288,209,0.7256944444444444,0.2743055555555556,2.0,1.8086124401913874,2.0,2.0,231,22,8.21406347230865,0.3116354528119609,2.6783333333333332,70.59530551318458,0.8692919015884399
tcn,grouped_drive,topology_agnostic,rf_mob_hist_qoe,base,3.0,288,222,0.7708333333333334,0.22916666666666663,3.0,2.563063063063063,2.0,3.0,249,25,9.346764980787206,0.3547372839206118,2.674722222222222,70.47468967371036,0.8663167357444763
tcn,grouped_drive,topology_agnostic,rf_mob_hist_qoe,base,5.0,288,235,0.8159722222222222,0.1840277777777778,5.0,4.080851063829787,3.0,5.0,277,34,12.75,0.48413053232838316,2.6666666666666665,70.22899348338969,0.833101212978363
