model,condition,regime,feature_set,variant,horizon_s,n,positive_rate,auprc,auprc_lift,auroc,brier,nll,ece,f1_best,f1_best_threshold,recall_at_fpr0.01,threshold_at_fpr0.01,recall_at_fpr0.05,threshold_at_fpr0.05,recall_at_fpr0.1,threshold_at_fpr0.1,precision_at_recall0.5,precision_at_recall0.8,auprc_point,auprc_ci_low,auprc_ci_high,auprc_n_groups,auprc_n_boot,auprc_bootstrap_se
rule,grouped_drive,topology_agnostic,rf_mob_hist_qoe,base,1.0,9106,0.031078409839666154,0.21359607595015237,6.87281225301091,0.9135453074180916,0.3898950393342698,1.3826073331674493,0.5241356965195884,0.28399196249162756,0.9743511425350151,0.13074204946996468,0.9981714910490381,0.36395759717314485,0.9943339210836164,0.6643109540636042,0.9809737719592535,0.1848101265822785,0.16727272727272727,0.21359607595015237,0.17856830504136884,0.25312965923181363,14,300,0.01930833770789088
rule,grouped_drive,topology_agnostic,rf_mob_hist_qoe,base,2.0,9092,0.06225252969643643,0.34324986072836633,5.513829918272626,0.9069988785083912,0.3621179752709132,1.256786292505301,0.4928705870711074,0.43291995490417146,0.9742828970339329,0.13604240282685512,0.997880053911549,0.36042402826855124,0.9929790998624793,0.6837455830388692,0.9728562868131906,0.3201834862385321,0.28743654822335024,0.34324986072836633,0.29100936627993795,0.3881676525037264,14,300,0.0248070630580225
rule,grouped_drive,topology_agnostic,rf_mob_hist_qoe,base,3.0,9079,0.09318206850974776,0.4300260628232405,4.614901447248465,0.8990406910550548,0.3367412514806045,1.1480154368886186,0.46192258212740583,0.520068317677199,0.9577224995912902,0.12529550827423167,0.9976341338645762,0.35815602836879434,0.9914687754453916,0.6843971631205674,0.9637574586790119,0.43457497612225404,0.3685356559608057,0.4300260628232405,0.36596503398467156,0.48321188554732025,14,300,0.03005935257776869
rule,grouped_drive,topology_agnostic,rf_mob_hist_qoe,base,5.0,9052,0.1541095890410959,0.5483814140729166,3.5583860646509256,0.8834512239134619,0.29303440490827065,0.9742298206162787,0.4010400768626386,0.610718492343934,0.9208048695691121,0.1025089605734767,0.9973796358573545,0.3842293906810036,0.9858774267428442,0.6695340501792114,0.9442277471199108,0.575,0.4665831244778613,0.5483814140729166,0.4767184541901353,0.608398169422525,14,300,0.035767425803926944
logreg,grouped_drive,topology_agnostic,rf_mob_hist_qoe,base,1.0,9106,0.031078409839666154,0.34481579890566166,11.095027084222457,0.9442086195371957,0.10109489848273527,0.31354929527591324,0.15240369083435468,0.4,0.901873762838792,0.26148409893992935,0.96588767379488,0.6007067137809188,0.8558068036064789,0.8268551236749117,0.6786608526181901,0.33101851851851855,0.21534195933456562,0.34481579890566166,0.31285341657831417,0.3841185331889301,14,300,0.01849387590240986
logreg,grouped_drive,topology_agnostic,rf_mob_hist_qoe,base,2.0,9092,0.06225252969643643,0.5452923779698081,8.759360954949639,0.9450502267435548,0.10035857931002257,0.31023098938029287,0.1442820345791786,0.5278008298755187,0.8820985964991104,0.303886925795053,0.9604921876926649,0.6095406360424028,0.8430887960108501,0.8268551236749117,0.6737092321917149,0.5345794392523364,0.3627684964200477,0.5452923779698081,0.5075172173304638,0.5802341501442013,14,300,0.018868087036395996
logreg,grouped_drive,topology_agnostic,rf_mob_hist_qoe,base,3.0,9079,0.09318206850974776,0.6587244233736713,7.0692187231791515,0.9469003970930572,0.09824790680553697,0.30535684754418796,0.13571429916287406,0.6124454148471616,0.8231088986473158,0.31796690307328607,0.9583686331092635,0.6382978723404256,0.8332686966727182,0.817966903073286,0.6648081159692065,0.6579754601226994,0.4681881051175657,0.6587244233736713,0.6240678092318231,0.6877160442580407,14,300,0.01573921816268959
logreg,grouped_drive,topology_agnostic,rf_mob_hist_qoe,base,5.0,9052,0.1541095890410959,0.7800853377082474,5.061887080240183,0.9468539809193732,0.09737431504504587,0.30364935117245995,0.12096608271984181,0.7088265133581332,0.7605068347565893,0.37992831541218636,0.9515590774821089,0.6724014336917563,0.8182837821687119,0.8265232974910395,0.6496787271937112,0.8082663605051664,0.62,0.7800853377082474,0.7601919995462371,0.7964559375981888,14,300,0.009182970477185408
lgbm,grouped_drive,topology_agnostic,rf_mob_hist_qoe,base,1.0,9106,0.031078409839666154,0.36207058074738235,11.65022865118609,0.9427347973033859,0.02737701640873498,0.11736022116007334,0.022848171836149036,0.39506172839506176,0.05420854750659926,0.26855123674911663,0.5648171532089447,0.6007067137809188,0.03709660086398941,0.7915194346289752,0.006705916700280792,0.30885529157667385,0.2019400352733686,0.36207058074738235,0.3241381994842149,0.4109055425212124,14,300,0.024342628207661823
lgbm,grouped_drive,topology_agnostic,rf_mob_hist_qoe,base,2.0,9092,0.06225252969643643,0.566508601675116,9.100169976025008,0.9482845654406515,0.043453179789935036,0.16377710063857806,0.03222953142500383,0.5450381679389312,0.21934855039050283,0.32332155477031804,0.8460027629931391,0.6484098939929329,0.18391756694803502,0.8321554770318021,0.03504180924017258,0.5555555555555556,0.3734542456718879,0.566508601675116,0.522539189624119,0.6277332093049447,14,300,0.02771088313493381
