model,condition,regime,feature_set,variant,horizon_s,n,positive_rate,auprc,auprc_lift,auroc,auprc_ci_low,auprc_ci_high,recall_at_fpr0.05,brier,ece
gru,grouped_drive,topology_agnostic,rf_mob_hist_qoe,single_task,1.0,9106,0.031078409839666154,0.3732240297597185,12.009109593611296,0.948528760960051,0.34293854640162347,0.4267056921722134,0.6713780918727915,0.08281558409401724,0.11602886297419077
gru,grouped_drive,topology_agnostic,rf_mob_hist_qoe,single_task,2.0,9092,0.06225252969643643,0.5692323147179269,9.143922624408818,0.9512523115740752,0.537582289125079,0.6120187602270208,0.666077738515901,0.09239449192555856,0.11485006029166688
gru,grouped_drive,topology_agnostic,rf_mob_hist_qoe,single_task,3.0,9079,0.09318206850974776,0.6778305451528458,7.274259479246675,0.9532102686558936,0.6543826334282374,0.7044524070586016,0.6843971631205674,0.0884193510696842,0.1020790765044395
gru,grouped_drive,topology_agnostic,rf_mob_hist_qoe,single_task,5.0,9052,0.1541095890410959,0.7989047886767231,5.184004406524514,0.9558084223071354,0.7862405177485319,0.8164526709942711,0.7168458781362007,0.08612848204847423,0.09245784377196797
gru,grouped_drive,topology_agnostic,rf_mob_hist_qoe,mt_ho_qoe,1.0,9106,0.031078409839666154,0.37650178098988524,12.114576740967827,0.9492580626686836,0.3412045567285804,0.4224466671813478,0.6713780918727915,0.08753899142401433,0.12551124454539286
gru,grouped_drive,topology_agnostic,rf_mob_hist_qoe,mt_ho_qoe,2.0,9092,0.06225252969643643,0.5673172474672044,9.113159741999684,0.9510155591418974,0.5286617844624502,0.607304529415948,0.6643109540636042,0.09625936171597985,0.1255565852062681
gru,grouped_drive,topology_agnostic,rf_mob_hist_qoe,mt_ho_qoe,3.0,9079,0.09318206850974776,0.677402979890358,7.269670986317448,0.9532527661412197,0.6487512431192546,0.7037479454482433,0.6796690307328606,0.09256723194445916,0.11336669509365406
gru,grouped_drive,topology_agnostic,rf_mob_hist_qoe,mt_ho_qoe,5.0,9052,0.1541095890410959,0.7954030513335967,5.161282021986894,0.9547076421275446,0.7876683168801508,0.8068497122035702,0.7211469534050179,0.08916456981128165,0.09983205016089934
gru,grouped_drive,topology_agnostic,rf_mob_hist_qoe,mt_all,1.0,9106,0.031078409839666154,0.38666487854259135,12.441591462928752,0.9514876192924931,0.3559810913016537,0.4351555157828062,0.6607773851590106,0.0902226738308047,0.1325548160447861
gru,grouped_drive,topology_agnostic,rf_mob_hist_qoe,mt_all,2.0,9092,0.06225252969643643,0.5829969455604276,9.365032206776338,0.9542190215918216,0.5502303895249081,0.6241495336879491,0.6819787985865724,0.09904797447822565,0.13449894038357413
gru,grouped_drive,topology_agnostic,rf_mob_hist_qoe,mt_all,3.0,9079,0.09318206850974776,0.6813789507432434,7.312339827184287,0.9549624284900844,0.6580978753264395,0.7062732292843559,0.6962174940898345,0.09281709699853928,0.11988409050348164
gru,grouped_drive,topology_agnostic,rf_mob_hist_qoe,mt_all,5.0,9052,0.1541095890410959,0.7977857112289883,5.176742837308102,0.9558447467423864,0.7858486825702454,0.8177902096297338,0.7111111111111111,0.09152577071031051,0.11193328715278614
