drive_id,missing_core_frac,missing_gps_frac,max_dt_s,dt_jitter_s,interp_frac_x,max_speed_kmh,nbr_missing_frac,qoe_missing_frac,gps_continuity,route_id,session_id,direction,n_samples,duration_s,distance_m,mean_speed_kmh,interp_frac_y,date,hour,time_period,qc_pass,qc_reject_reason
gulshan_banani_mohakhali__s01__d000,0.0,0.0,1.0,0.0,0.0,55.5,0.0,0.0,1.0,gulshan_banani_mohakhali,1,rev,867,866.0,6419.305671018462,23.696424452133794,0.0,2026-09-06,9,morning,True,
gulshan_banani_mohakhali__s01__d001,0.0,0.0,1.0,0.0,0.0,48.1,0.0,0.0,1.0,gulshan_banani_mohakhali,1,fwd,506,505.0,4289.4412656983495,28.642490118577076,0.0,2026-09-06,9,morning,True,
gulshan_banani_mohakhali__s01__d002,0.0,0.0,1.0,0.0,0.0,55.8,0.0,0.0,1.0,gulshan_banani_mohakhali,1,rev,905,904.0,7945.110982549957,29.11613259668508,0.0,2026-09-06,9,morning,True,
gulshan_banani_mohakhali__s01__d003,0.0,0.0,1.0,0.0,0.0,56.8,0.0,0.0,1.0,gulshan_banani_mohakhali,1,fwd,354,353.0,4163.820832697957,40.93870056497175,0.0,2026-09-06,9,morning,True,
gulshan_banani_mohakhali__s01__d004,0.0,0.0,1.0,0.0,0.0,60.0,0.0,0.0,1.0,gulshan_banani_mohakhali,1,rev,777,776.0,7761.673516212466,33.914414414414416,0.0,2026-09-06,9,morning,True,
gulshan_banani_mohakhali__s01__d005,0.0,0.0,1.0,0.0,0.0,54.4,0.0,0.0,1.0,gulshan_banani_mohakhali,1,fwd,515,514.0,4376.102407416003,28.183495145631067,0.0,2026-09-06,9,morning,True,
gulshan_banani_mohakhali__s01__d006,0.0,0.0,1.0,0.0,0.0,53.6,0.0,0.0,1.0,gulshan_banani_mohakhali,1,rev,901,900.0,7986.079119257081,29.154827968923417,0.0,2026-09-06,10,morning,True,
gulshan_banani_mohakhali__s01__d007,0.0,0.0,1.0,0.0,0.0,51.4,0.0,0.0,1.0,gulshan_banani_mohakhali,1,fwd,430,429.0,4299.919327761661,33.829302325581395,0.0,2026-09-06,10,morning,True,
gulshan_banani_mohakhali__s01__d008,0.0,0.0,1.0,0.0,0.0,55.2,0.0,0.0,1.0,gulshan_banani_mohakhali,1,rev,685,684.0,7561.622426823548,38.32014598540146,0.0,2026-09-06,10,morning,True,
gulshan_banani_mohakhali__s01__d009,0.0,0.0,1.0,0.0,0.0,54.9,0.0,0.0,1.0,gulshan_banani_mohakhali,1,fwd,590,589.0,4537.652335855758,24.637966101694914,0.0,2026-09-06,10,morning,True,
gulshan_banani_mohakhali__s01__d010,0.0,0.0,1.0,0.0,0.0,49.9,0.0,0.0,1.0,gulshan_banani_mohakhali,1,rev,1162,1161.0,8393.717932433041,22.612822719449223,0.0,2026-09-06,10,morning,True,
gulshan_banani_mohakhali__s01__d011,0.0,0.0,1.0,0.0,0.0,56.1,0.0,0.0,1.0,gulshan_banani_mohakhali,1,fwd,418,417.0,4314.242586340824,34.9877990430622,0.0,2026-09-06,11,midday,True,
