horizon_s,alpha,rotations,feasible,alarm_rate_mean,mean_unit_loss,mean_unit_loss_max,feasible_events,alarm_rate_events_mean,mean_unit_loss_events,realised_miss_events,unresolvable_event_share,unresolvable_event_share_calib,rotations_with_mean_loss_le_alpha,rotations_with_event_loss_le_alpha
1.0,0.05,12,0.25,1.0,0.0,0.0,0.0,,,,0.3644733533954643,0.3644733533954643,1.0,0.0
1.0,0.1,12,0.75,0.8353170581368484,0.03223763077492069,0.17741022866022865,0.0,,,,0.3644733533954643,0.3644733533954643,0.9166666666666666,0.0
1.0,0.15,12,1.0,0.6607910204737273,0.09163635529124659,0.35323269122182166,0.0,,,,0.3644733533954643,0.3644733533954643,0.8333333333333334,0.0
1.0,0.2,12,1.0,0.546030441469243,0.15305861536702786,0.43353847239716803,0.0,,,,0.3644733533954643,0.3644733533954643,0.8333333333333334,0.0
1.0,0.3,12,1.0,0.3999449612386463,0.2613128022230142,0.6172496887170801,0.25,0.9578544061302683,0.33270264845777947,0.3827097012725158,0.3644733533954643,0.3644733533954643,0.6666666666666666,0.08333333333333333
3.0,0.05,12,0.25,0.9991158267020336,0.0,0.0,0.0,,,,0.11990000642013354,0.11990000642013354,1.0,0.0
3.0,0.1,12,0.75,0.8672720911887978,0.030122135317380106,0.09182689093084631,0.0,,,,0.11990000642013354,0.11990000642013354,1.0,0.0
3.0,0.15,12,1.0,0.7171290612581407,0.0938945189750827,0.23881879839954173,0.75,0.8234964302866812,0.11417713783978023,0.13646927202190529,0.11990000642013354,0.11990000642013354,0.75,0.6666666666666666
3.0,0.2,12,1.0,0.621167901666915,0.1574824383294555,0.4105540701510283,0.75,0.6297947750564862,0.1692863606788861,0.1832972723533799,0.11990000642013354,0.11990000642013354,0.6666666666666666,0.5833333333333334
3.0,0.3,12,1.0,0.47984053743765137,0.2704483403606232,0.6228263680998583,1.0,0.4768444843154717,0.2655040339738412,0.2625765281147733,0.11990000642013354,0.11990000642013354,0.5833333333333334,0.6666666666666666
