horizon_s,alpha,n_calib_units,mean_unit_loss,alarm_rate
1.0,0.05,28,0.017977649885611346,0.859181681240331
1.0,0.1,28,0.06899359856797131,0.6540034978317724
1.0,0.15,28,0.11949268986163222,0.5461938712821167
1.0,0.2,28,0.16839791621348638,0.4714746417781231
1.0,0.3,28,0.27248744699448574,0.3554733993494583
3.0,0.05,28,0.018119238427325535,0.8881560903148485
3.0,0.1,28,0.0703760710030284,0.731327762245639
3.0,0.15,28,0.122459483177587,0.6400508835240966
3.0,0.2,28,0.1720255401161282,0.556641849256415
3.0,0.3,28,0.27608961842454427,0.4267734699652903
