horizon_s,alpha,test,calib,n_calib_units,floor_1_over_n_plus_1,feasible,threshold,alarm_rate,realised_miss_rate_rows,mean_unit_loss,units_with_loss_le_alpha,n_events_test,feasible_events,threshold_events,alarm_rate_events,realised_miss_rate_events,mean_unit_loss_events,unresolvable_event_share,unresolvable_event_share_calib
1.0,0.05,10 Sept (urban arterial),12 Sept (urban loop),8,0.1111111111111111,False,-inf,1.0,0.0,0.0,1.0,287,False,-inf,,,,0.33797909407665505,0.46551724137931033
1.0,0.1,10 Sept (urban arterial),12 Sept (urban loop),8,0.1111111111111111,False,-inf,1.0,0.0,0.0,1.0,287,False,-inf,,,,0.33797909407665505,0.46551724137931033
1.0,0.15,10 Sept (urban arterial),12 Sept (urban loop),8,0.1111111111111111,True,0.008,0.647842056932966,0.09340659340659341,0.10750785162549867,0.7333333333333333,287,False,-inf,,,,0.33797909407665505,0.46551724137931033
1.0,0.2,10 Sept (urban arterial),12 Sept (urban loop),8,0.1111111111111111,True,0.01,0.6101928374655647,0.11538461538461539,0.12504053136406076,0.7333333333333333,287,False,-inf,,,,0.33797909407665505,0.46551724137931033
1.0,0.3,10 Sept (urban arterial),12 Sept (urban loop),8,0.1111111111111111,True,0.025,0.4256198347107438,0.25824175824175827,0.2597706052117817,0.7333333333333333,287,False,-inf,,,,0.33797909407665505,0.46551724137931033
3.0,0.05,10 Sept (urban arterial),12 Sept (urban loop),8,0.1111111111111111,False,-inf,1.0,0.0,0.0,1.0,288,False,-inf,,,,0.12152777777777778,0.16666666666666666
3.0,0.1,10 Sept (urban arterial),12 Sept (urban loop),8,0.1111111111111111,False,-inf,1.0,0.0,0.0,1.0,288,False,-inf,,,,0.12152777777777778,0.16666666666666666
3.0,0.15,10 Sept (urban arterial),12 Sept (urban loop),8,0.1111111111111111,True,0.024,0.7644628099173554,0.049783549783549784,0.05666132697286922,0.9333333333333333,288,False,-inf,,,,0.12152777777777778,0.16666666666666666
3.0,0.2,10 Sept (urban arterial),12 Sept (urban loop),8,0.1111111111111111,True,0.043000000000000003,0.6721763085399449,0.10606060606060606,0.11433900040976205,0.9333333333333333,288,False,-inf,,,,0.12152777777777778,0.16666666666666666
3.0,0.3,10 Sept (urban arterial),12 Sept (urban loop),8,0.1111111111111111,True,0.091,0.5206611570247934,0.21861471861471862,0.2242309740216042,0.7333333333333333,288,True,0.061,0.5932047750229569,0.1875,0.19109067509811214,0.12152777777777778,0.16666666666666666
1.0,0.05,10 Sept (urban arterial),13 Sept (dense urban),20,0.047619047619047616,True,0.0,1.0,0.0,0.0,1.0,287,False,-inf,,,,0.33797909407665505,0.30976430976430974
1.0,0.1,10 Sept (urban arterial),13 Sept (dense urban),20,0.047619047619047616,True,0.0,1.0,0.0,0.0,1.0,287,False,-inf,,,,0.33797909407665505,0.30976430976430974
1.0,0.15,10 Sept (urban arterial),13 Sept (dense urban),20,0.047619047619047616,True,0.001,0.8044077134986226,0.038461538461538464,0.033705330617095325,1.0,287,False,-inf,,,,0.33797909407665505,0.30976430976430974
1.0,0.2,10 Sept (urban arterial),13 Sept (dense urban),20,0.047619047619047616,True,0.002,0.6831955922865014,0.07692307692307693,0.0707548170783465,0.9333333333333333,287,False,-inf,,,,0.33797909407665505,0.30976430976430974
1.0,0.3,10 Sept (urban arterial),13 Sept (dense urban),20,0.047619047619047616,True,0.004,0.5633608815426997,0.15934065934065933,0.149200195229607,0.9333333333333333,287,True,0.0,1.0,0.33797909407665505,0.2839010699740013,0.33797909407665505,0.30976430976430974
3.0,0.05,10 Sept (urban arterial),13 Sept (dense urban),20,0.047619047619047616,True,0.0,1.0,0.0,0.0,1.0,288,False,-inf,,,,0.12152777777777778,0.10101010101010101
3.0,0.1,10 Sept (urban arterial),13 Sept (dense urban),20,0.047619047619047616,True,0.003,0.8939393939393939,0.01948051948051948,0.015217245090126447,0.9333333333333333,288,False,-inf,,,,0.12152777777777778,0.10101010101010101
3.0,0.15,10 Sept (urban arterial),13 Sept (dense urban),20,0.047619047619047616,True,0.007,0.8099173553719008,0.05844155844155844,0.04901472480373708,0.9333333333333333,288,True,0.006,0.8342516069788797,0.1284722222222222,0.09548423791558802,0.12152777777777778,0.10101010101010101
3.0,0.2,10 Sept (urban arterial),13 Sept (dense urban),20,0.047619047619047616,True,0.013000000000000001,0.7144168962350781,0.1038961038961039,0.09766406835461446,0.8666666666666667,288,True,0.019,0.6469237832874196,0.18055555555555555,0.14898430548888214,0.12152777777777778,0.10101010101010101
3.0,0.3,10 Sept (urban arterial),13 Sept (dense urban),20,0.047619047619047616,True,0.025,0.5987144168962351,0.1774891774891775,0.17712697931493812,0.8666666666666667,288,True,0.034,0.5440771349862259,0.22569444444444445,0.20755370563436923,0.12152777777777778,0.10101010101010101
1.0,0.05,10 Sept (urban arterial),15 Sept (highway),14,0.06666666666666667,False,-inf,1.0,0.0,0.0,1.0,287,False,-inf,,,,0.33797909407665505,0.3446327683615819
1.0,0.1,10 Sept (urban arterial),15 Sept (highway),14,0.06666666666666667,True,0.004,0.743801652892562,0.038461538461538464,0.04570028011204482,0.7333333333333333,287,False,-inf,,,,0.33797909407665505,0.3446327683615819
1.0,0.15,10 Sept (urban arterial),15 Sept (highway),14,0.06666666666666667,True,0.013000000000000001,0.5436179981634527,0.15384615384615385,0.15891159494100668,0.6,287,False,-inf,,,,0.33797909407665505,0.3446327683615819
1.0,0.2,10 Sept (urban arterial),15 Sept (highway),14,0.06666666666666667,True,0.026000000000000002,0.4123048668503214,0.2692307692307692,0.2759680842033783,0.26666666666666666,287,False,-inf,,,,0.33797909407665505,0.3446327683615819
1.0,0.3,10 Sept (urban arterial),15 Sept (highway),14,0.06666666666666667,True,0.04,0.34205693296602385,0.32967032967032966,0.32996201510907397,0.6666666666666666,287,False,-inf,,,,0.33797909407665505,0.3446327683615819
3.0,0.05,10 Sept (urban arterial),15 Sept (highway),14,0.06666666666666667,False,-inf,1.0,0.0,0.0,1.0,288,False,-inf,,,,0.12152777777777778,0.0903954802259887
