arm,horizon_s,n,prevalence,auprc,lift,auroc,ece,brier,auprc_ci_low,auprc_ci_high,ece_ci_low,ece_ci_high
independent,0.5,8586,0.03715350570696482,0.08288712033618595,2.230936724785243,0.7380755832097476,0.030364144696874488,0.03667931075991628,0.06938734875446913,0.10270113781587607,0.025429198008860177,0.03655643718253293
independent,1.0,8586,0.06790123456790123,0.1580921063928834,2.3282655668770103,0.7453360650133558,0.04695406015951054,0.06373869706975151,0.1415280027522861,0.1788863735222816,0.03966849034157141,0.05562057650262047
independent,2.0,8586,0.12578616352201258,0.2624992231325515,2.0868688239037843,0.729385133868214,0.07310469723732861,0.1100868408360455,0.2348105434640986,0.29495961736011994,0.06278960312047299,0.08727584779938909
independent,3.0,8586,0.1762170976007454,0.34045593729985835,1.9320255635535915,0.7214321163423757,0.09215657023882716,0.1449172027166082,0.3062681334332746,0.3776650400471781,0.0794415421697947,0.1095933257979253
independent,5.0,8586,0.2612392266480317,0.44102497542536373,1.6882034948739069,0.7031491249705057,0.13493089210198161,0.1987440380014978,0.39823574459288014,0.4896111396140636,0.1180744515631537,0.15917954603111198
independent + cumulative max,0.5,8586,0.03715350570696482,0.08288712033618595,2.230936724785243,0.7380755832097476,0.030364144696874488,0.03667931075991628,0.06938734875446913,0.10270113781587607,0.025429198008860177,0.03655643718253293
independent + cumulative max,1.0,8586,0.06790123456790123,0.15705195000685798,2.3129469001009997,0.7445659850111955,0.046814762529385316,0.06374920376616515,0.14112597769653099,0.17791181638386175,0.03938044913007138,0.0554511201649827
independent + cumulative max,2.0,8586,0.12578616352201258,0.2629144221814357,2.0901696563424137,0.7308432266532453,0.07328533984611356,0.11001096395632866,0.23534865090508594,0.2954635377919013,0.06241657075285632,0.08677972032258544
independent + cumulative max,3.0,8586,0.1762170976007454,0.3438455265553694,1.9512608664933255,0.723689754536979,0.091246582214379,0.1444322488734658,0.3092491660886528,0.38126585944984187,0.07752889877852537,0.10985884637208758
independent + cumulative max,5.0,8586,0.2612392266480317,0.44419822510388907,1.7003504060374461,0.706088885568211,0.13509059251320218,0.1979387251263367,0.4009892486295574,0.4936667664934048,0.11583836422055534,0.15698320575705318
independent + PAV,0.5,8586,0.03715350570696482,0.08396581878799689,2.2599702824882173,0.7396655433678413,0.030751739697709224,0.03662761070074587,0.0706107553781031,0.10347962228850399,0.025796823500534635,0.03691971083729943
independent + PAV,1.0,8586,0.06790123456790123,0.15771048986807643,2.322645396238944,0.7448156769684782,0.04721726260936844,0.06371987696815706,0.14163877403708564,0.17845037646135434,0.03932411697406525,0.05513932682253596
independent + PAV,2.0,8586,0.12578616352201258,0.2617095842521655,2.080591194804716,0.7305548154069337,0.07330220406604926,0.11001957618199837,0.23426661334386129,0.2934181351257848,0.06271559545851253,0.08673841679188156
independent + PAV,3.0,8586,0.1762170976007454,0.3419249671728546,1.9403620410747717,0.7227841762363209,0.09055804471884261,0.14420114921874347,0.3074421375500786,0.37879654740605806,0.07743107028499378,0.1081458438266183
independent + PAV,5.0,8586,0.2612392266480317,0.44251613667821804,1.6939115245292824,0.7046751295691136,0.13392331551487094,0.19823855873115212,0.39924881921646455,0.4915351370526493,0.11592347143403553,0.15827582308864174
independent + isotonic,0.5,8586,0.03715350570696482,0.08064952188000157,2.17071095567929,0.735833788682047,0.010978589466087575,0.0353827655178268,0.06794839193451294,0.10214560330711847,0.008045055682123766,0.017429861430612203
independent + isotonic,1.0,8586,0.06790123456790123,0.15807174922801628,2.327965761358058,0.7479771200722543,0.015575746957766137,0.06120460897783397,0.1407144127706076,0.17997930611772323,0.013336417516813096,0.023735341875912978
