arm,metric,horizon_s,difference,block_ci_low,block_ci_high,campaign_1,campaign_2,campaign_3,campaign_4,campaigns_favouring_hazard,n_campaigns,sign_consistent,min_attainable_p
independent,auprc,0.5,0.005279688808380325,-0.004318339431574084,0.018276164324262215,0.011582869030680301,0.0070855880083396106,0.028307704524430294,0.0064332414508839544,4,4,True,0.125
independent,auprc,1.0,-0.0007892691558757933,-0.012996787987155567,0.01032548169207392,0.004603126545165592,0.0033015975614931747,0.014725691377262234,0.0004746161921140024,4,4,True,0.125
independent,auprc,2.0,-0.002057517866281702,-0.01059434774605129,0.007223604131691725,0.01431900933586805,0.01073470631267437,0.014337799157326525,-0.015608672442213284,3,4,False,0.125
independent,auprc,3.0,-0.0009857618472109003,-0.013198318596123531,0.010536735533753427,0.01964171901642231,0.008049858163489576,0.014258033736845088,-0.012964978955109063,3,4,False,0.125
independent,auprc,5.0,0.006773472093102062,-0.0030604711508590383,0.01753687598191778,0.03498356406324732,-0.005577212330049153,0.00829617846159264,-0.011498058423353275,2,4,False,0.125
independent,ece,0.5,-0.008585328440471744,-0.011605899238224304,-0.003971495661324831,-0.013079224135157833,-0.013981710229324745,-0.00442121234661429,-0.003238292979798635,4,4,True,0.125
independent,ece,1.0,-0.01020743379938466,-0.01464955307300782,-0.006341805632431667,-0.011783319588134653,-0.022895019099492042,-0.005386543265004831,-0.01029015219070533,4,4,True,0.125
independent,ece,2.0,-0.013756049848144112,-0.01897532326974314,-0.00797025187446932,-0.015226795044830432,-0.016884862949500506,-0.010315124655281102,0.0027256249079595785,3,4,False,0.125
independent,ece,3.0,-0.010034963852445837,-0.020860119448118237,0.0007220902271761811,-0.01692005303349567,-0.018115852003851227,-0.012702594204898249,0.013627966894247029,3,4,False,0.125
independent,ece,5.0,-0.01816279454385544,-0.02610675247201333,-0.009201367083603534,-0.032468398271522037,-0.009850964582783936,-0.02217577653463497,0.0056756202052348215,3,4,False,0.125
independent + cumulative max,auprc,0.5,0.005279688808380325,-0.004318339431574084,0.018276164324262215,0.011582869030680301,0.0070855880083396106,0.028307704524430294,0.0064332414508839544,4,4,True,0.125
independent + cumulative max,auprc,1.0,0.00026348305146218533,-0.012360764443068063,0.010431300134385955,0.0057440542553419405,-0.001667026716040354,0.015118225436378724,0.0030565812736772086,3,4,False,0.125
independent + cumulative max,auprc,2.0,-0.0024494519317064603,-0.011424492687213558,0.007144020447964552,0.013374179910346784,0.013354701072352593,0.01446849074215445,-0.016385172962961658,3,4,False,0.125
independent + cumulative max,auprc,3.0,-0.0043290183602640265,-0.015716943441337387,0.006523308508709027,0.014661217921452308,0.006692353745385682,0.011026926982592056,-0.01565373227725736,3,4,False,0.125
independent + cumulative max,auprc,5.0,0.003588276790007412,-0.005598641122705956,0.013498519692491058,0.029416836137491353,-0.01334276736711637,0.008885209961829788,-0.01258540843691719,2,4,False,0.125
independent + cumulative max,ece,0.5,-0.008585328440471744,-0.011605899238224304,-0.003971495661324831,-0.013079224135157833,-0.013981710229324745,-0.00442121234661429,-0.003238292979798635,4,4,True,0.125
independent + cumulative max,ece,1.0,-0.010059499023993357,-0.014437317034782338,-0.0060599699601455795,-0.011589050335107674,-0.02232744830845404,-0.005070537255497415,-0.010005405903621138,4,4,True,0.125
independent + cumulative max,ece,2.0,-0.013519163301411714,-0.018933902023651365,-0.007973692328457746,-0.015603301986432075,-0.016175909029213204,-0.012619279439125622,0.002656180339466324,3,4,False,0.125
independent + cumulative max,ece,3.0,-0.008791067199831616,-0.019017626287869665,0.0009853706782717727,-0.015534745848508905,-0.01932520775629544,-0.008684748916255536,0.017168304027408335,3,4,False,0.125
independent + cumulative max,ece,5.0,-0.016428710165506944,-0.02379650378825377,-0.008220440896631825,-0.029301905287391322,-0.016441139203357116,-0.02338035500943851,0.0037382468043132833,3,4,False,0.125
independent + PAV,auprc,0.5,0.004187509109632039,-0.005286904352733025,0.01646730943473212,0.011063473160533008,0.006529239273650844,0.02671724640673072,0.005306890085407669,4,4,True,0.125
independent + PAV,auprc,1.0,-0.00037716006336678266,-0.012426517509096905,0.00993177753593896,0.005239402200147236,-0.006453222614599768,0.014321922407376397,0.0016355843395997466,3,4,False,0.125
independent + PAV,auprc,2.0,-0.0012546772686793377,-0.010622963737493765,0.00818725340271663,0.015911337144433213,0.012246453554509429,0.0167322786262995,-0.014573201059945057,3,4,False,0.125
independent + PAV,auprc,3.0,-0.002409443286551271,-0.014240129863196352,0.008863580211341409,0.019223244819178253,0.009593713201481335,0.0100049231880886,-0.014700442910653866,3,4,False,0.125
independent + PAV,auprc,5.0,0.005264943343481984,-0.004572823285668777,0.01584239949490116,0.032442781251359576,-0.00915097418667088,0.008627770941116608,-0.01230900459598111,2,4,False,0.125
independent + PAV,ece,0.5,-0.00896854748700872,-0.012034577201534688,-0.004399040687770163,-0.013435923213862912,-0.014561250180377499,-0.004587501876510965,-0.0010956672281132937,4,4,True,0.125
independent + PAV,ece,1.0,-0.00997032108477372,-0.014673379992459427,-0.006146247777385913,-0.01177127111901298,-0.022762619901480187,-0.005778803192152161,-0.010050165174983118,4,4,True,0.125
independent + PAV,ece,2.0,-0.01379906127545642,-0.018775930186579044,-0.007376383932199741,-0.0158144551207602,-0.016560633817020762,-0.010422957426303808,0.004861270655861449,3,4,False,0.125
independent + PAV,ece,3.0,-0.00851753443597193,-0.01929392782832014,0.0022295370795903918,-0.015706514719842038,-0.014231053782138861,-0.010472455773357675,0.017324095318424243,3,4,False,0.125
independent + PAV,ece,5.0,-0.016746581577904016,-0.024666527769563237,-0.008170239854126146,-0.03054098271073763,-0.01096104355206326,-0.021578702129057534,0.005400492333619472,3,4,False,0.125
independent + isotonic,auprc,0.5,0.007486419347994161,-0.0029918647970876137,0.021063124430097023,0.013258157203058965,0.00971607109078823,0.029383256818028503,0.00605959398958876,4,4,True,0.125
