arm,seed,rows_violating,pairs_violating,mean_violation_if_any,p95_violation_if_any,max_violation
independent,0,0.4072909387374796,0.11582809224318659,0.025175682476516553,0.13088204006822968,0.46237157929365036
independent,1,0.396575821104123,0.1116643372932681,0.024545349117144583,0.1315781125818854,0.5591550936617248
independent,2,0.403214535290007,0.11469252271139063,0.02673731510245973,0.13798496371230828,0.5408144608608496
independent + cumulative max,0,0.0,0.0,0.0,0.0,0.0
independent + cumulative max,1,0.0,0.0,0.0,0.0,0.0
independent + cumulative max,2,0.0,0.0,0.0,0.0,0.0
independent + PAV,0,0.0,0.0,0.0,0.0,0.0
independent + PAV,1,0.0,0.0,0.0,0.0,0.0
independent + PAV,2,0.0,0.0,0.0,0.0,0.0
independent + isotonic,0,0.5384346610761706,0.15938737479617981,0.028282854831145763,0.09471153846153846,0.5
independent + isotonic,1,0.4000698812019567,0.11390635918937805,0.03538695802960839,0.0969012605042017,0.8108108108108107
independent + isotonic,2,0.43768926158863264,0.12526205450733752,0.03460278492676259,0.11535688536409511,0.6234348754814086
independent + isotonic + PAV,0,0.0,0.0,0.0,0.0,0.0
independent + isotonic + PAV,1,0.0,0.0,0.0,0.0,0.0
independent + isotonic + PAV,2,0.0,0.0,0.0,0.0,-0.0
hazard,0,0.0,0.0,0.0,0.0,0.0
hazard,1,0.0,0.0,0.0,0.0,0.0
hazard,2,0.0,0.0,0.0,0.0,0.0
