feature,auroc_1s,direction,coverage
sig_s_since_a3,0.7233577074120361,lower -> more likely,1.0
serving_sinr,0.7226561051612508,lower -> more likely,1.0
sig_a3_prev5s,0.704127568799779,higher -> more likely,1.0
sig_a3_prev2s,0.6959940408281715,higher -> more likely,1.0
serving_sinr_mean3,0.6959361723058828,lower -> more likely,1.0
serving_sinr_mean5,0.6826893174064872,lower -> more likely,1.0
sig_all_prev2s,0.6751424047885988,higher -> more likely,1.0
sig_all_prev5s,0.6727166420654004,higher -> more likely,1.0
t_since_prev_ho_s,0.6643482107588728,lower -> more likely,1.0
t_since_prev2_ho_s,0.6638339310580145,lower -> more likely,1.0
serving_sinr_mean10,0.6619362721826656,lower -> more likely,1.0
ho_count_30s,0.6534063448333804,higher -> more likely,1.0
sig_a3_prev1s,0.6457629846783443,higher -> more likely,1.0
mask_nbr1_rsrp,0.6428725591539537,lower -> more likely,1.0
serving_cqi_mean3,0.6364942691945067,lower -> more likely,1.0
serving_cqi_mean5,0.6337306185995004,lower -> more likely,1.0
ho_count_60s,0.6326949863783928,higher -> more likely,1.0
serving_cqi,0.6279849173198129,lower -> more likely,1.0
serving_rsrq,0.6216135930158266,lower -> more likely,1.0
serving_cqi_mean10,0.6210350149568697,lower -> more likely,1.0
gap_serving_best_nbr,0.617785191915442,lower -> more likely,0.5209643605870021
gap_serving_nbr1,0.617785191915442,lower -> more likely,0.5209643605870021
gap_serving_nbr1_mean3,0.614519147308371,lower -> more likely,0.6269508502212905
gap_serving_best_nbr_mean3,0.614519147308371,lower -> more likely,0.6269508502212905
serving_rsrp_std10,0.6142552889150275,higher -> more likely,1.0
sig_a3_hold_s,0.6107280953176006,higher -> more likely,1.0
serving_rsrp_std5,0.6059486911962045,higher -> more likely,1.0
gap_serving_best_nbr_mean5,0.6042645771162058,lower -> more likely,0.6840204984859073
gap_serving_nbr1_mean5,0.6042645771162058,lower -> more likely,0.6840204984859073
serving_rsrq_std5,0.6037207530880895,higher -> more likely,1.0
serving_rsrq_mean3,0.6030577298521631,lower -> more likely,1.0
serving_sinr_d1,0.5996788511340838,lower -> more likely,1.0
serving_rsrq_std10,0.5992037934316655,higher -> more likely,1.0
serving_rsrq_mean5,0.5943951335573345,lower -> more likely,1.0
serving_sinr_slope10,0.5932063640800223,lower -> more likely,1.0
serving_cqi_std5,0.5845682011612713,higher -> more likely,1.0
speed_kmh,0.5839145011872692,higher -> more likely,1.0
serving_rssi_std10,0.58341918950205,higher -> more likely,1.0
serving_rsrq_std3,0.5833350658168712,higher -> more likely,1.0
serving_rsrq_mean10,0.5833175980962542,lower -> more likely,1.0
speed_mean3,0.582621354041977,higher -> more likely,1.0
speed_mean5,0.5823152938574279,higher -> more likely,1.0
serving_rsrp_range3,0.581556680395795,higher -> more likely,1.0
serving_rsrp_std3,0.5811724977061561,higher -> more likely,1.0
gap_serving_best_nbr_mean10,0.5808557726676993,lower -> more likely,0.7749825296995109
speed_mean10,0.5807943161966064,higher -> more likely,1.0
serving_rsrq_range3,0.5779212512289024,higher -> more likely,1.0
serving_cqi_std10,0.5776310513060174,higher -> more likely,1.0
gap_serving_nbr2_mean3,0.5750160750420787,lower -> more likely,0.23177265315630097
gap_serving_nbr2_mean5,0.5745313723441152,lower -> more likely,0.29815979501514095
serving_rssi_std5,0.5729927820806477,higher -> more likely,1.0
gap_serving_nbr2,0.5725768972054057,lower -> more likely,0.13894712322385278
mask_nbr2_rsrp,0.570842752149762,lower -> more likely,1.0
serving_cqi_range3,0.5692347573776472,higher -> more likely,1.0
serving_rsrp_slope10,0.5686886499895301,lower -> more likely,1.0
serving_cqi_std3,0.56748819964383,higher -> more likely,1.0
serving_sinr_std10,0.564236738838716,higher -> more likely,1.0
nbr2_rsrp,0.5627407815079801,higher -> more likely,0.13894712322385278
serving_rsrq_slope10,0.56232793491463,lower -> more likely,1.0
serving_rsrp_d1,0.561340847953887,lower -> more likely,1.0
serving_rsrq_d1,0.5610426107362398,lower -> more likely,1.0
serving_sinr_d2,0.5595037366990809,lower -> more likely,1.0
serving_cqi_slope10,0.5583701566458033,lower -> more likely,1.0
serving_sinr_std3,0.5571735642015891,higher -> more likely,1.0
bearing_change_abs_mean,0.5569094051137341,lower -> more likely,1.0
serving_rank_among_cands,0.5568920445570475,higher -> more likely,1.0
serving_sinr_std5,0.5565617653242813,higher -> more likely,1.0
nbr_better_streak_s,0.5559807224949306,higher -> more likely,1.0
serving_rssi_slope10,0.5549488410113789,lower -> more likely,1.0
serving_sinr_range3,0.5549150843733771,higher -> more likely,1.0
serving_rssi_std3,0.5512493278142481,higher -> more likely,1.0
serving_rssi_range3,0.5496623371724454,higher -> more likely,1.0
mobility_state_mid,0.5481012802017425,higher -> more likely,1.0
serving_rsrp,0.5444236284463652,lower -> more likely,1.0
dist_travelled_m,0.5437662848987376,higher -> more likely,1.0
cfg_ttt_ms,0.5404809707356035,higher -> more likely,0.6009783368273934
mobility_state_fast,0.5375086615246556,higher -> more likely,1.0
nbr_spread_rsrp,0.5374546928886154,higher -> more likely,0.5209643605870021
cfg_hysteresis_db,0.5372457118999552,higher -> more likely,0.6009783368273934
is_stopped,0.5366567082798496,lower -> more likely,1.0
stop_duration_s,0.5364030512571507,lower -> more likely,1.0
serving_rsrp_mean3,0.5321807924086787,lower -> more likely,1.0
gap_serving_nbr1_d1,0.530996309488573,lower -> more likely,1.0
gap_serving_best_nbr_d1,0.530996309488573,lower -> more likely,1.0
cfg_a3_offset_db,0.530351282897419,higher -> more likely,0.6009783368273934
serving_rssi_d1,0.5287450096436821,lower -> more likely,1.0
mask_nbr3_rsrp,0.5281712539615826,lower -> more likely,1.0
speed_std10,0.5279280990040399,higher -> more likely,1.0
serving_rsrp_mean5,0.5260203667192556,lower -> more likely,1.0
serving_rsrq_d2,0.5254207845299865,lower -> more likely,1.0
bearing_cos,0.5241462839085429,lower -> more likely,1.0
speed_std5,0.5214280708199261,higher -> more likely,1.0
last_ho_was_return,0.5205604716413164,higher -> more likely,1.0
nbr1_rsrp,0.5198450304109908,higher -> more likely,0.5209643605870021
nbr_best_rsrp,0.5198450304109908,higher -> more likely,0.5209643605870021
accel_kmh_s,0.5195544166649342,higher -> more likely,1.0
speed_std3,0.5193912059992939,higher -> more likely,1.0
serving_rssi,0.5183194595337213,lower -> more likely,1.0
nbr_mean_rsrp,0.5163724350394534,higher -> more likely,0.5209643605870021
serving_cqi_d1,0.515773780372669,lower -> more likely,1.0
serving_rssi_mean3,0.5140226145898547,lower -> more likely,1.0
bearing_change_deg,0.5134035285652957,higher -> more likely,1.0
serving_rsrp_mean10,0.5124708808810761,lower -> more likely,1.0
bearing_sin,0.5121827170728644,higher -> more likely,1.0
serving_rssi_mean5,0.5106264824790189,lower -> more likely,1.0
serving_rsrp_d2,0.5100444751742967,lower -> more likely,1.0
serving_rssi_d2,0.5080233634513986,higher -> more likely,1.0
nbr2_rsrp_d1,0.5061981473928409,higher -> more likely,1.0
gap_serving_nbr2_d1,0.5056842963477032,lower -> more likely,1.0
nbr3_rsrp_d1,0.5017106578172122,higher -> more likely,1.0
has_prev_ho,0.5015562345938456,lower -> more likely,1.0
gap_serving_nbr3_d1,0.5012878961127141,lower -> more likely,1.0
serving_cqi_d2,0.5008912824071763,higher -> more likely,1.0
serving_rssi_mean10,0.5008877459974808,higher -> more likely,1.0
