variant,seed,horizon_s,n,prevalence,auprc,lift,auroc,ece,brier
rf,0,0.5,8586,0.03715350570696482,0.09350531927769129,2.516729377173221,0.7453401805645666,0.019657706553649967,0.03535209068306684
rf,0,1.0,8586,0.06790123456790123,0.16794601369794554,2.4733867471879254,0.7500114129585624,0.03167676220541955,0.061819181100285656
rf,0,2.0,8586,0.12578616352201258,0.2580047619828426,2.0511378577635986,0.740683317543496,0.055856980517460436,0.10817553439488285
rf,0,3.0,8586,0.1762170976007454,0.33201304247592545,1.8841136699922645,0.7327094676618091,0.07324615240272739,0.14338819815035145
rf,0,5.0,8586,0.2612392266480317,0.438526137457808,1.6786381704024698,0.7205840666451636,0.09457834929847875,0.18974904266150702
rf,1,0.5,8586,0.03715350570696482,0.09225080198393391,2.4829635919562905,0.7532088338535242,0.018096454939283267,0.035501240405819603
rf,1,1.0,8586,0.06790123456790123,0.1666657024724027,2.4545312545935674,0.7600147371836762,0.03019814118684829,0.061837252450558204
rf,1,2.0,8586,0.12578616352201258,0.2629619842514165,2.090547774798761,0.7464622746247447,0.05280858357978092,0.10688369767451204
rf,1,3.0,8586,0.1762170976007454,0.33992262283228936,1.9289991008843599,0.7374320991484424,0.06944613064889849,0.14063361661395293
rf,1,5.0,8586,0.2612392266480317,0.4509707465644413,1.7262750022301798,0.7254635420836305,0.08839916823618144,0.1857249957049935
rf,2,0.5,8586,0.03715350570696482,0.09796682601141067,2.6368124392914485,0.7522255839870952,0.01943542631908487,0.03537440238325088
rf,2,1.0,8586,0.06790123456790123,0.17441441841290703,2.56864870753554,0.7569549926496261,0.029038132614754363,0.06149557694349311
rf,2,2.0,8586,0.12578616352201258,0.26939084423978704,2.141657211706307,0.7440183038754182,0.05399640590030951,0.10667940913204271
rf,2,3.0,8586,0.1762170976007454,0.33763692578502474,1.9160281855850778,0.7318647222446231,0.06894339543662818,0.1425812702860404
rf,2,5.0,8586,0.2612392266480317,0.44228599102305766,1.6930305478929883,0.7172712217855906,0.09634456460267087,0.19031654520799868
rf+mobility,0,0.5,8586,0.03715350570696482,0.08879738520206634,2.390013634310162,0.7393944197062536,0.01956967607191275,0.03571984753824994
rf+mobility,0,1.0,8586,0.06790123456790123,0.1628884381517795,2.398902452780753,0.7462141662571218,0.0311306311300671,0.062392993034785925
rf+mobility,0,2.0,8586,0.12578616352201258,0.2611200667740349,2.075904530853577,0.7354661949452783,0.05275163881009856,0.10818760179358218
rf+mobility,0,3.0,8586,0.1762170976007454,0.33325055479390253,1.891136327468901,0.7258664691108653,0.08232191711052539,0.14477323937202727
rf+mobility,0,5.0,8586,0.2612392266480317,0.44006948004372953,1.684545945454954,0.7179273524533628,0.11340192678809424,0.19323557900842275
rf+mobility,1,0.5,8586,0.03715350570696482,0.08102284438597496,2.1807590655109124,0.7357700841014222,0.02213793859823797,0.03610702825326688
rf+mobility,1,1.0,8586,0.06790123456790123,0.15529028703355244,2.2870024090395904,0.7485929911789083,0.03201652286218888,0.06294173628719056
rf+mobility,1,2.0,8586,0.12578616352201258,0.25138719767491396,1.998528221515566,0.7331072179293604,0.05482708906512408,0.10937372489661036
rf+mobility,1,3.0,8586,0.1762170976007454,0.32845325397611547,1.8639125172762245,0.7240517615885474,0.07919387463901201,0.14498182321791936
rf+mobility,1,5.0,8586,0.2612392266480317,0.4396568185029455,1.6829663146082436,0.7172315095384248,0.11021364945349668,0.19205126413520685
rf+mobility,2,0.5,8586,0.03715350570696482,0.09102616640297834,2.4500020838118246,0.7398369390252365,0.019674009253711416,0.03557078359544578
rf+mobility,2,1.0,8586,0.06790123456790123,0.15969136807668965,2.351818329856702,0.7436930276360773,0.031581456524849075,0.06232481754225548
