capture,delta,exec_s,margin,pci_t,pci_tp1,target_pci,hit_0,hit_1
XCAL10Sept,0.999,0.001,8.673617379884035e-19,489.0,380.0,380,0.0,1.0
XCAL10Sept,0.998,0.001,0.001,27.0,91.0,91,0.0,1.0
XCAL12Sept,0.998,0.0,0.002,346.0,38.0,38,0.0,1.0
XCAL10Sept,0.995,0.001,0.004,13.0,256.0,147,0.0,0.0
XCAL13Sept,0.995,0.0,0.005,435.0,303.0,303,0.0,1.0
XCAL13Sept,0.984,0.001,0.015,30.0,348.0,348,0.0,1.0
XCAL10Sept,0.98,0.001,0.019,270.0,280.0,280,0.0,1.0
XCAL15Sept,0.978,0.0,0.022,39.0,88.0,88,0.0,1.0
XCAL15Sept,0.975,0.001,0.024,193.0,292.0,292,0.0,1.0
XCAL10Sept,0.876,0.098,0.0259999999999999,280.0,33.0,33,0.0,1.0
