learner,horizon_s,blocked_purged,chunk_grouped,loco,random_row,inflation_random_vs_loco_%,inflation_random_vs_blocked_purged_%,inflation_chunk_vs_loco_%,rank_random_row,rank_chunk_grouped,rank_blocked_purged,rank_loco
a3,0.5,0.06752526401446068,0.06752526401446068,0.06752526401446068,0.06752526401446068,0.0,0.0,0.0,7.0,7.0,6.0,7.0
a3,1.0,0.11634776147249895,0.11634776147249895,0.11634776147249895,0.11634776147249895,0.0,0.0,0.0,7.0,7.0,6.0,7.0
a3,2.0,0.20384406432276894,0.20384406432276894,0.20384406432276894,0.20384406432276894,0.0,0.0,0.0,7.0,7.0,6.0,7.0
a3,3.0,0.2720311856264344,0.2720311856264344,0.2720311856264344,0.2720311856264344,0.0,0.0,0.0,7.0,7.0,7.0,7.0
a3,5.0,0.37433207645352806,0.37433207645352806,0.37433207645352806,0.37433207645352806,0.0,0.0,0.0,7.0,7.0,7.0,7.0
gru,0.5,0.06408752139048748,0.07572858556904208,0.07054369356654755,0.09386367789668174,33.05750401080889,46.46170714696094,7.349901515439283,6.0,6.0,7.0,6.0
gru,1.0,0.11070965237591077,0.12624743377244324,0.12540619467322245,0.14978638399801736,19.440976889796914,35.29658957777495,0.6708114391102082,6.0,6.0,7.0,6.0
gru,2.0,0.20353744168535928,0.22863043296320015,0.22598620544154724,0.2788745089112531,23.403332679695676,37.01386172591994,1.1700835971321544,6.0,6.0,7.0,5.0
gru,3.0,0.27674673070271927,0.31025839491570095,0.3043492037025126,0.3766256077635694,23.74785384084779,36.09035481909262,1.9415826101402578,6.0,6.0,6.0,5.0
gru,5.0,0.3917199142424429,0.4363972669957847,0.419195926263794,0.5151198951748077,22.882848544346345,31.50209536091908,4.103413142704571,5.0,6.0,6.0,5.0
lgbm,0.5,0.09465662418812026,0.10248829120150267,0.08588763752555305,0.13478036216725045,56.92638201528244,42.388726962614264,19.32833892539032,1.0,2.0,3.0,4.0
lgbm,1.0,0.1662137142782289,0.17980396713261967,0.15963327173256736,0.2360368563190257,47.8619424116401,42.00805110697321,12.635646178977122,1.0,1.0,1.0,3.0
lgbm,2.0,0.2709554064929239,0.28929023572480017,0.25909628228747483,0.48309670367614915,86.4545100420003,78.29380484746497,11.653564910601165,1.0,1.0,1.0,4.0
lgbm,3.0,0.34869311387007285,0.3730821779930877,0.3345085488876001,0.6470376174821112,93.42932180173533,85.56076726057888,11.53143297346606,1.0,1.0,2.0,4.0
lgbm,5.0,0.46638247875533967,0.4885465213519544,0.44533739299335123,0.8047865439276493,80.71389391271362,72.55934358328105,9.702560134951055,1.0,1.0,1.0,4.0
lr,0.5,0.1001213833744149,0.10272354681213308,0.09777728311430407,0.1097483697731131,12.243218749302454,9.61531500488466,5.058704374150702,3.0,1.0,1.0,2.0
lr,1.0,0.1616413871565593,0.16799400242787096,0.1666564206368059,0.17891309659382093,7.354457698168115,10.685202435520402,0.8025984153230192,3.0,2.0,2.0,1.0
lr,2.0,0.2693110359048127,0.27798338170279663,0.27607848134976704,0.2996040283178856,8.52132583934122,11.248329394039324,0.6899850881953551,4.0,2.0,2.0,2.0
lr,3.0,0.35056730333874,0.36105059480878127,0.35905590707539736,0.3896532204629591,8.521601451090088,11.149333309744481,0.5555368103065561,5.0,2.0,1.0,2.0
lr,5.0,0.4642942344715429,0.4797125809922271,0.4789060155782931,0.5136082380035298,7.246144608004723,10.621282770852392,0.16841830916658473,6.0,2.0,2.0,1.0
mlp,0.5,0.08998401460305479,0.08476743031782347,0.08649988080224473,0.09451650362935149,9.267784825547087,5.036993566347103,-2.0028356898918465,5.0,5.0,5.0,3.0
mlp,1.0,0.1472015621070002,0.14957731819166606,0.1517750831348351,0.16326443648924246,7.569986533428796,10.912162990883377,-1.448040678203133,5.0,5.0,4.0,4.0
mlp,2.0,0.2549852156789319,0.25874186311806996,0.2595886277263268,0.28862622217666073,11.186004065227007,13.193316486273599,-0.3261948012412752,5.0,5.0,5.0,3.0
mlp,3.0,0.33872280233257296,0.34393163102874363,0.34176930519741316,0.39307370116991763,15.011411262597129,16.045834075256792,0.632685790808929,4.0,5.0,4.0,3.0
mlp,5.0,0.45577411904822757,0.4567959954904654,0.4600097975053223,0.5256325239043967,14.265506246813198,15.327418108349654,-0.6986377316930303,3.0,5.0,4.0,3.0
tcn,0.5,0.09693050144006053,0.10032296688610812,0.10085900768130177,0.11342112401342294,12.455125844401959,17.01283118148296,-0.5314753808479344,2.0,3.0,2.0,1.0
tcn,1.0,0.15147230868101474,0.16470588907627937,0.16471147988158308,0.18143631603674934,10.15401972418093,19.781838420932594,-0.003394302150483419,2.0,3.0,3.0,2.0
tcn,2.0,0.26093091796682644,0.27492892287047854,0.27961143018480783,0.31584231508389793,12.95758362780215,21.044419551711634,-1.674648032533721,2.0,3.0,3.0,1.0
tcn,3.0,0.34322863450998836,0.3589469294100943,0.36350696668317917,0.4134963700328797,13.751979447829864,20.472573805856655,-1.254456637982193,2.0,3.0,3.0,1.0
tcn,5.0,0.45768741574504845,0.47652860452860163,0.47809901368171076,0.5393461880969359,12.810562804465398,17.841603142825946,-0.3284694400467081,2.0,3.0,3.0,2.0
transformer,0.5,0.0917876071429066,0.0957917375926814,0.07401110185732365,0.1068368563308435,44.35247368266497,16.395731032084026,29.428876464163167,4.0,4.0,4.0,5.0
transformer,1.0,0.14530242383445707,0.15504715395162283,0.1262062971795373,0.1692957673161837,34.14209203471727,16.512693214988783,22.852153511054517,4.0,4.0,5.0,5.0
transformer,2.0,0.2558122285644573,0.26616404305572106,0.22427621483836868,0.302309962885679,34.793590619294015,18.176509614944237,18.67689279825775,3.0,4.0,4.0,6.0
transformer,3.0,0.33425219338282064,0.34422381184394435,0.2992891801164012,0.39926215609429394,33.40347149837179,19.44937505227291,15.013784230377759,3.0,4.0,5.0,6.0
transformer,5.0,0.44763097328032164,0.46124934250997296,0.4115677393145125,0.5242829066167922,27.386783883987764,17.12391186310258,12.07130648242929,4.0,4.0,5.0,6.0
