comparator,horizon_s,n_captures,mean_delta_auprc_lgbm_minus_comparator,min_delta,max_delta,lgbm_wins,exact_sign_test_p_two_sided
Dwell time only (LightGBM),0.5,4,0.04054202501046045,0.0039373030343543974,0.0765336421628513,4,0.125
Dwell time only (LightGBM),1.0,4,0.07482988911451542,0.047736474604999135,0.10241818567780858,4,0.125
Dwell time only (LightGBM),2.0,4,0.09633760985184135,0.05992637256755623,0.12849451350351931,4,0.125
Dwell time only (LightGBM),3.0,4,0.10443218481759947,0.07501959542372275,0.1463068123473817,4,0.125
Dwell time only (LightGBM),5.0,4,0.11002936131455063,0.06752094352228377,0.1390738452439484,4,0.125
Event A3 rule (deployed parameters),0.5,4,0.04351619815797919,0.021592063557393015,0.05266287752859489,4,0.125
Event A3 rule (deployed parameters),1.0,4,0.07184147333858881,0.05097334136050312,0.09247744554691859,4,0.125
Event A3 rule (deployed parameters),2.0,4,0.09476272955610106,0.053835866016605116,0.12905933352595647,4,0.125
Event A3 rule (deployed parameters),3.0,4,0.10290436442342862,0.07240596153198076,0.12545371017457785,4,0.125
Event A3 rule (deployed parameters),5.0,4,0.11215479344143107,0.10041080584762774,0.12278266350091854,4,0.125
GRU,0.5,4,0.035545719030377794,0.014164989111055154,0.05267546463440796,4,0.125
GRU,1.0,4,0.05315453922189021,0.035635209474743884,0.08300064318056413,4,0.125
GRU,2.0,4,0.05527834688691427,0.03243318910161913,0.09561961925837226,4,0.125
GRU,3.0,4,0.04583761750141004,0.03120164888985766,0.06345700066166943,4,0.125
GRU,5.0,4,0.03903387112600831,0.02577967246027002,0.05656441550656938,4,0.125
Hawkes-kernel intensity (LR),0.5,4,0.04006130019327602,0.015651044230148764,0.06052971406927739,4,0.125
Hawkes-kernel intensity (LR),1.0,4,0.06770796550393855,0.04938183300481078,0.08582082278776224,4,0.125
Hawkes-kernel intensity (LR),2.0,4,0.08928686322997288,0.061408433013785735,0.11971741105288036,4,0.125
Hawkes-kernel intensity (LR),3.0,4,0.09089069883104509,0.05684903700720684,0.1123710804203834,4,0.125
Hawkes-kernel intensity (LR),5.0,4,0.08744736818568365,0.03170142852835267,0.1175503232734747,4,0.125
History block only (LightGBM),0.5,4,0.03793060737449054,0.015357412122315131,0.061171965273427206,4,0.125
History block only (LightGBM),1.0,4,0.06391553791472518,0.05461488839015366,0.0865502358341626,4,0.125
History block only (LightGBM),2.0,4,0.09236031270612935,0.06761179717605986,0.12683418393040494,4,0.125
History block only (LightGBM),3.0,4,0.09739913850453122,0.05974080683279548,0.12990836137173634,4,0.125
History block only (LightGBM),5.0,4,0.09330891594169316,0.028162754167278647,0.1464776531682685,4,0.125
Logistic regression,0.5,4,0.007045134340087824,-0.012096028035072925,0.028814052329340076,2,1.0
Logistic regression,1.0,4,0.01814176824342042,-0.016955840602968564,0.054456948923314874,3,0.625
Logistic regression,2.0,4,0.01822807945814709,-0.01295786725335768,0.06379352818116446,3,0.625
Logistic regression,3.0,4,0.013971551192088719,-0.022023485080550187,0.055878516112240706,2,1.0
Logistic regression,5.0,4,0.0057221786458953455,-0.02933409923918573,0.028153424990325693,2,1.0
MLP,0.5,4,0.011439573604109146,0.0066570790451710715,0.01581398333233007,4,0.125
MLP,1.0,4,0.012322207242756584,-0.004759338024255766,0.0365280415143162,3,0.625
MLP,2.0,4,0.01622454054806121,-0.001610808194192348,0.03799492232915072,3,0.625
MLP,3.0,4,0.01221749542810499,-0.018227764839403027,0.03785321792163654,2,1.0
MLP,5.0,4,0.014932235917872988,-0.01609170252365455,0.04469053284018876,2,1.0
TCN,0.5,4,0.011046830329130298,0.005203320235695474,0.02042664318569623,4,0.125
TCN,1.0,4,0.024964227185630412,0.012680090499727181,0.036867759754445145,4,0.125
TCN,2.0,4,0.02643811181630179,0.004873795238020562,0.04059917204560298,4,0.125
TCN,3.0,4,0.019210814515727842,-0.00930586186444704,0.0345366516352954,3,0.625
TCN,5.0,4,0.017761874816681095,-0.012034338407975409,0.039845177568873624,3,0.625
Transformer,0.5,4,0.014989841204346911,-0.018654062059761625,0.029138261792171966,3,0.625
Transformer,1.0,4,0.03363303086519026,0.017191166646620792,0.060925671322402175,4,0.125
Transformer,2.0,4,0.04082776841151054,0.019571197599282913,0.08525215414873272,4,0.125
Transformer,3.0,4,0.03381565744468837,0.007912524845917812,0.0670335041349524,4,0.125
Transformer,5.0,4,0.024991765418118164,0.007898803604985183,0.04692159788634365,4,0.125
