capture,t,target_earfcn,ho_relation,attributed,event,a3_offset_db,hysteresis_db,ttt_ms,report_relation,ms_report_to_command
XCAL10Sept,2026-09-10 17:45:54.457,1600,intra-frequency,False,none in 2 s,,,,,
XCAL10Sept,2026-09-10 17:46:13.969,1600,intra-frequency,True,A3,1.0,1.0,320.0,intra-frequency,1.0
XCAL10Sept,2026-09-10 17:46:15.169,1600,intra-frequency,True,A5,,1.0,640.0,inter-frequency,1.0
XCAL10Sept,2026-09-10 17:46:19.806,1600,intra-frequency,True,A3,1.0,1.0,320.0,intra-frequency,11.0
XCAL10Sept,2026-09-10 17:46:20.482,1600,intra-frequency,True,A3,1.0,1.0,320.0,intra-frequency,100.0
XCAL10Sept,2026-09-10 17:46:23.492,1600,intra-frequency,True,A3,1.0,1.0,320.0,intra-frequency,8.0
XCAL10Sept,2026-09-10 17:46:27.899,1600,intra-frequency,True,A3,1.0,1.0,320.0,intra-frequency,101.0
XCAL10Sept,2026-09-10 17:46:34.803,1600,intra-frequency,True,A3,-6.5,2.0,640.0,intra-frequency,91.0
XCAL10Sept,2026-09-10 17:46:47.611,250,inter-frequency,True,,,,,unknown,206.0
XCAL10Sept,2026-09-10 17:46:49.810,250,intra-frequency,True,A3,1.0,1.0,320.0,intra-frequency,102.0
XCAL10Sept,2026-09-10 17:46:51.010,250,intra-frequency,True,A3,1.0,1.0,320.0,intra-frequency,201.0
XCAL10Sept,2026-09-10 17:46:59.744,1600,inter-frequency,True,A5,,1.0,320.0,inter-frequency,99.0
XCAL10Sept,2026-09-10 17:47:05.244,1600,intra-frequency,True,A3,1.0,1.0,320.0,intra-frequency,103.0
XCAL10Sept,2026-09-10 17:47:06.442,250,inter-frequency,True,A1,,1.0,640.0,intra-frequency,388.0
XCAL10Sept,2026-09-10 17:47:23.033,1600,inter-frequency,True,A1,,1.0,640.0,intra-frequency,304.0
XCAL10Sept,2026-09-10 17:47:27.429,1600,intra-frequency,True,A3,-10.0,2.0,640.0,intra-frequency,1597.9999999999998
XCAL10Sept,2026-09-10 17:47:45.378,1600,intra-frequency,True,A3,1.0,1.0,320.0,intra-frequency,99.0
XCAL10Sept,2026-09-10 17:47:52.285,250,inter-frequency,True,A3,-6.5,2.0,640.0,intra-frequency,302.0
XCAL10Sept,2026-09-10 17:47:54.598,250,intra-frequency,True,A3,-6.5,2.0,640.0,intra-frequency,215.0
XCAL10Sept,2026-09-10 17:48:00.718,250,intra-frequency,True,A6,,2.0,640.0,inter-frequency,633.0
XCAL10Sept,2026-09-10 17:48:02.395,40340,inter-frequency,True,A4,,1.0,640.0,inter-frequency,100.0
XCAL10Sept,2026-09-10 17:48:07.498,40340,intra-frequency,True,A3,-10.0,2.0,640.0,intra-frequency,602.0
XCAL10Sept,2026-09-10 17:48:11.501,40340,intra-frequency,True,periodical,,,,intra-frequency,203.0
XCAL10Sept,2026-09-10 17:49:12.897,250,inter-frequency,True,A5,,1.0,640.0,inter-frequency,1.0
XCAL10Sept,2026-09-10 17:49:15.213,40340,inter-frequency,True,A1,,1.0,640.0,intra-frequency,302.0
XCAL10Sept,2026-09-10 17:49:23.214,40340,intra-frequency,True,A3,-10.0,2.0,640.0,intra-frequency,600.0
XCAL10Sept,2026-09-10 17:49:36.333,1600,inter-frequency,True,A3,-10.0,2.0,640.0,inter-frequency,200.0
XCAL10Sept,2026-09-10 17:49:38.132,40538,inter-frequency,True,A5,,1.0,640.0,inter-frequency,99.0
XCAL10Sept,2026-09-10 17:49:46.642,40538,intra-frequency,True,A3,1.0,1.0,320.0,intra-frequency,108.0
XCAL10Sept,2026-09-10 17:53:37.821,40538,intra-frequency,True,A3,1.0,1.0,320.0,intra-frequency,100.0
XCAL10Sept,2026-09-10 17:53:42.025,250,inter-frequency,True,A5,,1.0,320.0,inter-frequency,101.0
XCAL10Sept,2026-09-10 17:53:42.624,250,intra-frequency,True,A3,1.0,1.0,320.0,intra-frequency,1.0
XCAL10Sept,2026-09-10 17:53:44.529,40538,inter-frequency,True,A4,,1.0,640.0,inter-frequency,104.0
XCAL10Sept,2026-09-10 17:54:01.326,40538,intra-frequency,True,A3,1.0,1.0,320.0,intra-frequency,101.0
XCAL10Sept,2026-09-10 17:54:04.330,1600,inter-frequency,True,A5,,1.0,320.0,inter-frequency,2.0
XCAL10Sept,2026-09-10 17:54:07.830,1600,intra-frequency,True,A3,1.0,1.0,320.0,intra-frequency,2.0
XCAL10Sept,2026-09-10 17:54:11.728,1600,intra-frequency,True,A5,,1.0,640.0,inter-frequency,1700.0
XCAL10Sept,2026-09-10 17:54:26.930,1600,intra-frequency,True,A3,1.0,1.0,320.0,intra-frequency,93.0
XCAL10Sept,2026-09-10 17:55:19.172,1600,intra-frequency,True,A3,1.0,1.0,320.0,intra-frequency,108.0
XCAL10Sept,2026-09-10 17:55:20.169,1600,intra-frequency,True,A3,-10.0,2.0,640.0,intra-frequency,105.0
XCAL10Sept,2026-09-10 17:55:25.063,1600,intra-frequency,True,A3,1.0,1.0,320.0,intra-frequency,101.0
XCAL10Sept,2026-09-10 17:55:45.696,1600,intra-frequency,True,A3,1.0,1.0,320.0,intra-frequency,6.0
XCAL10Sept,2026-09-10 17:56:25.129,1600,intra-frequency,True,A3,1.0,1.0,320.0,intra-frequency,101.0
XCAL10Sept,2026-09-10 17:56:31.417,1600,intra-frequency,True,A3,1.0,1.0,320.0,intra-frequency,102.0
XCAL10Sept,2026-09-10 17:56:40.846,1600,intra-frequency,True,A3,1.0,1.0,320.0,intra-frequency,101.0
XCAL10Sept,2026-09-10 17:57:14.949,1600,intra-frequency,True,A4,,1.0,640.0,inter-frequency,500.0
XCAL10Sept,2026-09-10 17:57:25.455,1600,intra-frequency,True,A3,1.0,1.0,320.0,intra-frequency,1.0
XCAL10Sept,2026-09-10 17:57:27.053,1600,intra-frequency,True,A3,1.0,1.0,320.0,intra-frequency,1.0
XCAL10Sept,2026-09-10 17:57:31.656,1600,intra-frequency,True,A3,1.0,1.0,320.0,intra-frequency,102.0
XCAL10Sept,2026-09-10 17:57:38.121,40538,inter-frequency,True,A1,,0.5,640.0,intra-frequency,101.0
XCAL10Sept,2026-09-10 17:57:48.424,40538,intra-frequency,True,A3,1.0,1.0,320.0,intra-frequency,105.0
XCAL10Sept,2026-09-10 17:58:00.423,1600,inter-frequency,True,A4,,1.0,640.0,inter-frequency,102.0
XCAL10Sept,2026-09-10 17:58:20.336,40538,inter-frequency,True,A3,-10.0,2.0,640.0,intra-frequency,1.0
XCAL10Sept,2026-09-10 17:58:21.436,250,inter-frequency,True,A4,,1.0,320.0,inter-frequency,101.0
XCAL10Sept,2026-09-10 17:58:28.740,250,intra-frequency,True,A3,-15.0,1.0,160.0,intra-frequency,101.0
XCAL10Sept,2026-09-10 17:58:31.750,250,intra-frequency,True,A3,1.0,1.0,320.0,intra-frequency,6.0
XCAL10Sept,2026-09-10 17:58:36.647,40538,inter-frequency,True,A3,-10.0,2.0,640.0,intra-frequency,902.0
XCAL10Sept,2026-09-10 17:58:37.753,250,inter-frequency,True,A1,,1.0,640.0,intra-frequency,307.0
XCAL10Sept,2026-09-10 17:59:25.465,250,intra-frequency,True,A3,1.0,1.0,320.0,intra-frequency,101.0
XCAL10Sept,2026-09-10 17:59:31.666,250,intra-frequency,True,A6,,1.0,640.0,inter-frequency,102.0
XCAL10Sept,2026-09-10 18:00:02.392,1600,inter-frequency,True,A3,-10.0,2.0,640.0,inter-frequency,405.0
XCAL10Sept,2026-09-10 18:00:03.698,1600,intra-frequency,True,A3,-10.0,2.0,640.0,intra-frequency,1.0
XCAL10Sept,2026-09-10 18:00:06.797,1600,intra-frequency,True,A3,1.0,1.0,320.0,intra-frequency,100.0
XCAL10Sept,2026-09-10 18:00:07.902,1600,intra-frequency,True,A3,1.0,1.0,320.0,intra-frequency,104.0
XCAL10Sept,2026-09-10 18:00:09.305,40340,inter-frequency,True,A5,,1.0,640.0,inter-frequency,102.0
XCAL10Sept,2026-09-10 18:00:11.305,250,inter-frequency,True,A5,,1.0,320.0,inter-frequency,2.0
XCAL10Sept,2026-09-10 18:00:13.904,250,intra-frequency,True,A3,1.0,1.0,320.0,intra-frequency,101.0
XCAL10Sept,2026-09-10 18:00:21.604,250,intra-frequency,True,A3,1.0,1.0,320.0,intra-frequency,100.0
XCAL10Sept,2026-09-10 18:00:26.507,250,intra-frequency,True,A3,-10.0,2.0,640.0,intra-frequency,893.0
XCAL10Sept,2026-09-10 18:00:29.208,1600,inter-frequency,True,,,,,unknown,101.0
XCAL10Sept,2026-09-10 18:00:39.320,1600,intra-frequency,True,A3,-10.0,2.0,640.0,intra-frequency,10.0
XCAL10Sept,2026-09-10 18:00:46.158,1600,intra-frequency,True,A3,1.0,1.0,320.0,intra-frequency,1.0
XCAL10Sept,2026-09-10 18:01:22.164,1600,intra-frequency,True,A3,-15.0,1.0,160.0,intra-frequency,388.0
XCAL10Sept,2026-09-10 18:01:26.961,1600,intra-frequency,True,A3,2.0,1.0,320.0,intra-frequency,99.0
XCAL10Sept,2026-09-10 18:01:32.269,1600,intra-frequency,True,A1,,0.5,480.0,intra-frequency,100.0
XCAL10Sept,2026-09-10 18:01:35.276,1600,intra-frequency,True,A3,2.0,1.0,320.0,intra-frequency,1.0
XCAL10Sept,2026-09-10 18:01:40.071,1600,intra-frequency,True,A3,1.0,1.0,320.0,intra-frequency,1.0
XCAL10Sept,2026-09-10 18:01:40.670,1600,intra-frequency,True,A3,-15.0,1.0,160.0,intra-frequency,199.0
XCAL10Sept,2026-09-10 18:01:41.676,1600,intra-frequency,True,A3,1.0,1.0,320.0,intra-frequency,1.0
XCAL10Sept,2026-09-10 18:01:45.282,1600,intra-frequency,True,,,,,unknown,105.0
XCAL10Sept,2026-09-10 18:01:54.389,1600,intra-frequency,True,A3,2.0,1.0,320.0,intra-frequency,7.0
XCAL10Sept,2026-09-10 18:01:56.687,1600,intra-frequency,True,A3,2.0,1.0,320.0,intra-frequency,1.0
XCAL10Sept,2026-09-10 18:01:59.891,1600,intra-frequency,True,A3,1.0,1.0,320.0,intra-frequency,1.0
XCAL10Sept,2026-09-10 18:02:03.591,1600,intra-frequency,True,A3,-10.0,2.0,640.0,intra-frequency,1002.0
XCAL10Sept,2026-09-10 18:02:04.890,1600,intra-frequency,True,A3,1.0,1.0,320.0,intra-frequency,1.0
XCAL10Sept,2026-09-10 18:02:09.809,1600,intra-frequency,True,A3,1.0,1.0,320.0,intra-frequency,2.0
XCAL10Sept,2026-09-10 18:02:11.409,1600,intra-frequency,True,A3,1.0,1.0,320.0,intra-frequency,4.0
XCAL10Sept,2026-09-10 18:02:12.597,1600,intra-frequency,True,A3,1.0,1.0,320.0,intra-frequency,195.0
XCAL10Sept,2026-09-10 18:02:14.998,1600,intra-frequency,True,A3,-10.0,2.0,640.0,intra-frequency,101.0
XCAL10Sept,2026-09-10 18:02:23.498,1600,intra-frequency,True,A3,-10.0,2.0,640.0,intra-frequency,998.0
XCAL10Sept,2026-09-10 18:02:26.299,1600,intra-frequency,True,A3,2.0,1.0,320.0,intra-frequency,100.0
XCAL10Sept,2026-09-10 18:02:30.305,1600,intra-frequency,True,A3,-15.0,1.0,160.0,intra-frequency,1.0
XCAL10Sept,2026-09-10 18:02:32.319,1600,intra-frequency,True,A3,2.0,1.0,320.0,intra-frequency,1.0
XCAL10Sept,2026-09-10 18:02:37.916,1600,intra-frequency,True,A3,2.0,1.0,320.0,intra-frequency,99.0
XCAL10Sept,2026-09-10 18:02:39.936,40340,inter-frequency,True,A5,,1.0,640.0,inter-frequency,2.0
XCAL10Sept,2026-09-10 18:02:41.437,40340,intra-frequency,True,A3,2.0,1.0,320.0,intra-frequency,2.0
XCAL10Sept,2026-09-10 18:02:43.339,250,inter-frequency,True,A5,,1.0,320.0,inter-frequency,4.0
XCAL10Sept,2026-09-10 18:02:44.639,250,intra-frequency,True,A3,2.0,1.0,320.0,intra-frequency,99.0
XCAL10Sept,2026-09-10 18:02:52.240,250,intra-frequency,True,A3,2.0,1.0,320.0,intra-frequency,99.0
XCAL10Sept,2026-09-10 18:02:53.662,40340,inter-frequency,True,A5,,1.0,640.0,inter-frequency,2.0
XCAL10Sept,2026-09-10 18:03:05.143,40340,intra-frequency,True,A3,1.0,1.0,320.0,intra-frequency,100.0
XCAL10Sept,2026-09-10 18:03:07.244,250,inter-frequency,True,A4,,1.0,640.0,inter-frequency,1.0
XCAL10Sept,2026-09-10 18:03:07.745,250,intra-frequency,True,A3,-15.0,1.0,160.0,intra-frequency,1.0
XCAL10Sept,2026-09-10 18:03:09.449,250,intra-frequency,True,A6,,1.0,160.0,inter-frequency,305.0
XCAL10Sept,2026-09-10 18:03:12.757,250,intra-frequency,True,A3,1.0,1.0,320.0,intra-frequency,8.0
XCAL10Sept,2026-09-10 18:03:14.151,250,intra-frequency,True,A3,1.0,1.0,320.0,intra-frequency,100.0
XCAL10Sept,2026-09-10 18:03:18.187,250,intra-frequency,True,A3,-15.0,1.0,160.0,intra-frequency,1229.0
XCAL10Sept,2026-09-10 18:03:35.691,250,intra-frequency,True,A3,-10.0,2.0,640.0,intra-frequency,401.0
XCAL10Sept,2026-09-10 18:03:44.441,40538,inter-frequency,True,A6,,1.0,640.0,inter-frequency,101.0
XCAL10Sept,2026-09-10 18:06:06.140,1600,inter-frequency,True,A6,,1.0,160.0,inter-frequency,1.0
XCAL10Sept,2026-09-10 18:06:08.867,1600,intra-frequency,True,A3,1.0,1.0,320.0,intra-frequency,1.0
XCAL10Sept,2026-09-10 18:06:11.267,1600,intra-frequency,True,A5,,1.0,640.0,inter-frequency,701.0
XCAL10Sept,2026-09-10 18:06:13.445,40538,inter-frequency,True,A1,,1.0,640.0,intra-frequency,1378.0
XCAL10Sept,2026-09-10 18:06:21.946,40538,intra-frequency,True,A3,-10.0,2.0,640.0,intra-frequency,100.0
XCAL10Sept,2026-09-10 18:06:24.347,40538,intra-frequency,True,A3,-15.0,1.0,320.0,intra-frequency,101.0
XCAL10Sept,2026-09-10 18:06:27.148,250,inter-frequency,True,A4,,1.0,640.0,inter-frequency,101.0
XCAL10Sept,2026-09-10 18:06:29.433,250,intra-frequency,True,A6,,1.0,640.0,inter-frequency,600.0
XCAL10Sept,2026-09-10 18:06:32.550,250,intra-frequency,True,A3,1.0,1.0,320.0,intra-frequency,203.0
XCAL10Sept,2026-09-10 18:06:48.488,40538,inter-frequency,True,A5,,1.0,640.0,inter-frequency,101.0
XCAL10Sept,2026-09-10 18:07:03.692,40538,intra-frequency,True,A3,1.0,1.0,320.0,intra-frequency,102.0
XCAL10Sept,2026-09-10 18:07:07.498,250,inter-frequency,True,A3,-10.0,2.0,640.0,intra-frequency,307.0
XCAL10Sept,2026-09-10 18:08:02.507,250,intra-frequency,True,A3,1.0,1.0,320.0,intra-frequency,104.0
XCAL10Sept,2026-09-10 18:08:04.402,250,intra-frequency,True,A4,,1.0,640.0,inter-frequency,898.0
XCAL10Sept,2026-09-10 18:08:06.301,40538,inter-frequency,True,A5,,1.0,640.0,inter-frequency,1.0
XCAL10Sept,2026-09-10 18:08:29.896,250,inter-frequency,True,A4,,1.0,640.0,inter-frequency,1.0
XCAL10Sept,2026-09-10 18:08:31.798,40340,inter-frequency,True,A4,,1.0,640.0,inter-frequency,101.0
XCAL10Sept,2026-09-10 18:08:36.699,40340,intra-frequency,True,A3,1.0,1.0,320.0,intra-frequency,1.0
XCAL10Sept,2026-09-10 18:08:42.504,250,inter-frequency,True,A5,,1.0,640.0,inter-frequency,2.0
XCAL10Sept,2026-09-10 18:08:51.024,250,intra-frequency,True,A3,1.0,1.0,320.0,intra-frequency,1.0
XCAL10Sept,2026-09-10 18:08:52.533,40340,inter-frequency,True,A1,,0.5,480.0,intra-frequency,125.0
XCAL10Sept,2026-09-10 18:09:07.433,250,inter-frequency,True,A5,,1.0,640.0,inter-frequency,2.0
XCAL10Sept,2026-09-10 18:09:39.756,250,intra-frequency,True,A3,1.0,1.0,320.0,intra-frequency,3.0
XCAL10Sept,2026-09-10 18:09:41.661,250,intra-frequency,True,A3,1.0,1.0,320.0,intra-frequency,1.0
XCAL10Sept,2026-09-10 18:09:42.665,250,intra-frequency,True,A3,-10.0,2.0,640.0,intra-frequency,97.0
XCAL10Sept,2026-09-10 18:09:47.063,250,intra-frequency,False,none in 2 s,,,,,
XCAL10Sept,2026-09-10 18:09:51.469,250,intra-frequency,True,A3,1.0,1.0,320.0,intra-frequency,103.0
XCAL10Sept,2026-09-10 18:09:51.970,250,intra-frequency,True,A3,1.0,1.0,320.0,intra-frequency,2.0
XCAL10Sept,2026-09-10 18:09:52.575,250,intra-frequency,True,A3,1.0,1.0,320.0,intra-frequency,1.0
XCAL10Sept,2026-09-10 18:09:54.477,250,intra-frequency,True,A3,1.0,1.0,320.0,intra-frequency,1.0
XCAL10Sept,2026-09-10 18:09:58.194,250,intra-frequency,True,A3,1.0,1.0,320.0,intra-frequency,16.0
XCAL10Sept,2026-09-10 18:09:58.781,250,intra-frequency,True,periodical,,,,intra-frequency,404.0
XCAL10Sept,2026-09-10 18:10:00.681,250,intra-frequency,True,A3,1.0,1.0,320.0,intra-frequency,1.0
XCAL10Sept,2026-09-10 18:10:01.482,250,intra-frequency,True,A3,1.0,1.0,320.0,intra-frequency,1.0
XCAL10Sept,2026-09-10 18:10:03.465,40538,inter-frequency,True,A4,,1.0,640.0,inter-frequency,101.0
XCAL10Sept,2026-09-10 18:10:09.463,40538,intra-frequency,True,A3,1.0,1.0,320.0,intra-frequency,99.0
XCAL10Sept,2026-09-10 18:10:10.466,250,inter-frequency,True,A5,,1.0,640.0,inter-frequency,2.0
XCAL10Sept,2026-09-10 18:10:12.766,40142,inter-frequency,True,A4,,1.0,640.0,inter-frequency,97.0
XCAL10Sept,2026-09-10 18:10:20.968,40142,intra-frequency,True,A3,1.0,1.0,320.0,intra-frequency,3.0
XCAL10Sept,2026-09-10 18:10:22.570,250,inter-frequency,True,A5,,1.0,640.0,inter-frequency,1.0
