setting,horizon_s,n,runs,prevalence,auroc,auroc_ci_low,auroc_ci_high,auprc,auprc_ci_low,auprc_ci_high,lift,ece
"ours, leave-one-capture-out",0.5,7284,17,0.04324546952224053,0.7264684646518483,0.6965661836327951,0.7531651133341969,0.12279311366768464,0.07933260557337933,0.17144035530203822,2.8394445712870313,0.021701667477265478
"ours, leave-one-capture-out",1.0,7284,17,0.0785282811641955,0.7303061211732248,0.7105738052349792,0.7540704235190709,0.18309035524442793,0.1388808995312855,0.23919830859695984,2.3315212370636593,0.04122670755271492
"ours, leave-one-capture-out",2.0,7284,17,0.14401427786930257,0.7024806915051797,0.6662998411475689,0.7374474267732222,0.26993127228457586,0.20342287256689665,0.35474144964311766,1.8743368801914688,0.07951136531426799
"ours, leave-one-capture-out",3.0,7284,17,0.2012630422844591,0.675398877360893,0.6297338896055136,0.7210409677614414,0.3219179108432725,0.2391407587613829,0.43118776895445987,1.5994884465091381,0.12020805604036262
"ours, leave-one-capture-out",5.0,7284,17,0.2975013728720483,0.6351966656743508,0.586560394700512,0.68605087031216,0.396615371942441,0.31641000986262596,0.504320150174592,1.3331547619883435,0.17386708690919167
"public, leave-one-file-out",0.5,1455,17,0.032989690721649485,0.6762023217247097,0.5813344739656051,0.7564447718065047,0.0760704883971228,0.04500644905338604,0.1391579466825021,2.305886679537785,0.02540402817075371
"public, leave-one-file-out",1.0,1455,17,0.06323024054982818,0.7106048039809881,0.6525489648786081,0.7674393695964948,0.14775319423147876,0.09357733079264048,0.23156181873791118,2.3367488870304522,0.05273051943717879
"public, leave-one-file-out",2.0,1455,17,0.11477663230240549,0.6906776509093614,0.6282223565498529,0.756378454852285,0.2305515448578256,0.1512664623378385,0.3566960756937729,2.0086975914259657,0.09550661529238438
"public, leave-one-file-out",3.0,1455,17,0.16151202749140894,0.6760655737704917,0.6097180362073682,0.7400079281727837,0.2833100736081348,0.21246171108240153,0.41300076020394816,1.7541113068078134,0.11949215665142708
"public, leave-one-file-out",5.0,1455,17,0.22955326460481099,0.6653063186739813,0.6013694945368704,0.7282002390256967,0.349942014511169,0.26454846714630154,0.4791702973199886,1.5244479973465597,0.1506027791628852
ours -> public (no refit),0.5,1455,17,0.032989690721649485,0.7513326226012793,0.693976493466635,0.7983915584840193,0.12183671682523628,0.0667168207670373,0.22562521826925994,3.6931754787649744,0.015876506697630594
ours -> public (no refit),1.0,1455,17,0.06323024054982818,0.760486777887652,0.7090160769398556,0.8129488422651174,0.2118151465220028,0.1414750624091297,0.3265935061777951,3.3499025890164575,0.021539758504137477
ours -> public (no refit),2.0,1455,17,0.11477663230240549,0.7186326105552868,0.6717791654675211,0.7604795109401811,0.27508806383509593,0.19915769395204305,0.3820607755477583,2.396725346587213,0.04721852632028353
ours -> public (no refit),3.0,1455,17,0.16151202749140894,0.6744401813742588,0.6268112475866748,0.7236904879528493,0.3005690452887996,0.20729216455385607,0.4174656211145561,1.8609700463625676,0.07181962065016043
ours -> public (no refit),5.0,1455,17,0.22955326460481099,0.6225354821133826,0.5675733085817437,0.6905298586919989,0.32378365280898697,0.2252890160776356,0.4538117794032929,1.4104946552008266,0.11763776263402148
public -> ours (no refit),0.5,7284,17,0.04324546952224053,0.669349295177965,0.5982260757395155,0.7282662615028677,0.08570959326629596,0.053627294195832745,0.1399183683643009,1.981932309053015,0.039457460254189475
public -> ours (no refit),1.0,7284,17,0.0785282811641955,0.6792971256990923,0.624379084828993,0.7239057638597471,0.14892795719721402,0.10546574217615907,0.2060786463531073,1.8964881822106765,0.06747556098432012
public -> ours (no refit),2.0,7284,17,0.14401427786930257,0.6671071008934312,0.6215390491912924,0.706895282115041,0.24744914150692643,0.1920273257910727,0.3167584097112376,1.7182264506543872,0.12592938806488826
public -> ours (no refit),3.0,7284,17,0.2012630422844591,0.6507949525793078,0.6058377321550384,0.6892934073102247,0.3125082279970822,0.24648118990408746,0.3880847351325851,1.5527352883565804,0.16804725628355072
public -> ours (no refit),5.0,7284,17,0.2975013728720483,0.6270806280250265,0.587075860238137,0.6665588368101351,0.4095458592631917,0.34517142450914345,0.496685052673906,1.3766183843438342,0.22371114981095552
