profile,relation,episodes,reports,converted,owns_command,declined_share,declined_share_one_to_one
"+1 dB, Hys 1, TTT 320, RI 240 x infinity",intra-frequency,734,1622,717,463,0.023160762942779245,0.36920980926430513
"-15 dB, Hys 1, TTT 160, RI 5120 x infinity",intra-frequency,543,1355,274,26,0.4953959484346224,0.9521178637200737
"-10 dB, Hys 2, TTT 640, RI 5120 x infinity",intra-frequency,431,2267,315,71,0.26914153132250584,0.8352668213457076
"-10 dB, Hys 2, TTT 640, RI 5120 x r1",intra-frequency,278,317,113,19,0.5935251798561151,0.9316546762589928
"-15 dB, Hys 1, TTT 160, RI 2048 x infinity",intra-frequency,242,2013,141,19,0.4173553719008265,0.9214876033057852
"-15 dB, Hys 1, TTT 320, RI 5120 x infinity",intra-frequency,38,82,20,5,0.4736842105263158,0.868421052631579
"-6.5 dB, Hys 2, TTT 640, RI 5120 x infinity",intra-frequency,25,105,19,5,0.24,0.8
"-15 dB, Hys 1, TTT 160, RI 5120 x infinity",inter-frequency,16,29,7,2,0.5625,0.875
"+2 dB, Hys 1, TTT 320, RI 240 x infinity",intra-frequency,15,32,15,12,0.0,0.19999999999999996
"+1 dB, Hys 1, TTT 320, RI 240 x infinity",inter-frequency,12,15,12,8,0.0,0.33333333333333337
"-10 dB, Hys 2, TTT 640, RI 5120 x infinity",inter-frequency,12,52,6,2,0.5,0.8333333333333334
"-10 dB, Hys 2, TTT 640, RI 5120 x r1",inter-frequency,6,6,1,0,0.8333333333333334,1.0
"+2 dB, Hys 1, TTT 640, RI 240 x infinity",intra-frequency,4,10,4,3,0.0,0.25
"-6.5 dB, Hys 2, TTT 640, RI 5120 x infinity",inter-frequency,2,8,2,0,0.0,1.0
"+5 dB, Hys 2, TTT 640, RI 5120 x infinity",intra-frequency,1,2,0,0,1.0,1.0
"-15 dB, Hys 1, TTT 320, RI 2048 x infinity",intra-frequency,1,1,1,0,0.0,1.0
"-15 dB, Hys 1, TTT 320, RI 5120 x infinity",inter-frequency,1,1,0,0,1.0,1.0
