capture,event_id,reports
XCAL10Sept,A1,1435
XCAL10Sept,A2,76
XCAL10Sept,A3,2287
XCAL10Sept,A4,291
XCAL10Sept,A5,565
XCAL10Sept,A6,248
XCAL10Sept,periodical,688
XCAL10Sept,,105
XCAL12Sept,A1,1120
XCAL12Sept,A2,85
XCAL12Sept,A3,1857
XCAL12Sept,A4,523
XCAL12Sept,A5,295
XCAL12Sept,A6,235
XCAL12Sept,periodical,532
XCAL12Sept,,114
XCAL13Sept,A1,1362
XCAL13Sept,A2,84
XCAL13Sept,A3,2215
XCAL13Sept,A4,156
XCAL13Sept,A5,240
XCAL13Sept,A6,169
XCAL13Sept,periodical,700
XCAL13Sept,,84
XCAL15Sept,A1,949
XCAL15Sept,A2,153
XCAL15Sept,A3,1777
XCAL15Sept,A4,177
XCAL15Sept,A5,212
XCAL15Sept,A6,114
XCAL15Sept,periodical,474
XCAL15Sept,,67
