learner,stratum,horizon_s,n,prevalence,auprc,lift,auroc,ece,brier
Event A3 rule (deployed parameters),quiet (no handover in previous 10 s),0.5,5518,0.020659659296846683,0.044669276568832475,2.162149720235242,0.671382958692067,0.2883388211034855,0.2554786618109333
Event A3 rule (deployed parameters),quiet (no handover in previous 10 s),1.0,5518,0.04313156940920623,0.0851271524764545,1.9736622998532602,0.6813192322383499,0.281089817841434,0.2522154736053896
Event A3 rule (deployed parameters),quiet (no handover in previous 10 s),2.0,5518,0.08372598767669445,0.15633208977262503,1.8671871674574565,0.6750397710148501,0.27094121327456194,0.2506990367392937
Event A3 rule (deployed parameters),quiet (no handover in previous 10 s),3.0,5518,0.12232693004711852,0.21368687285429225,1.746850613940718,0.6672376320156621,0.2649607855833695,0.25257428547553507
Event A3 rule (deployed parameters),quiet (no handover in previous 10 s),5.0,5518,0.19300471185212034,0.30224280725164876,1.5659866764456316,0.6562439838522114,0.2654492881030175,0.2624609146101908
Event A3 rule (deployed parameters),in burst (handover 2-10 s earlier),0.5,3068,0.06681877444589308,0.09093805617926476,1.3609656407706552,0.6329672950938381,0.4864598687300439,0.4472549880201711
Event A3 rule (deployed parameters),in burst (handover 2-10 s earlier),1.0,3068,0.11245110821382008,0.1469453845719606,1.3067491010631163,0.6259214314987199,0.4597323589516866,0.4312821959163959
Event A3 rule (deployed parameters),in burst (handover 2-10 s earlier),2.0,3068,0.2014341590612777,0.25336539559328725,1.2578074978644098,0.6191552737599894,0.4140727254193766,0.40517945107851444
Event A3 rule (deployed parameters),in burst (handover 2-10 s earlier),3.0,3068,0.273142112125163,0.33190410479647847,1.215133405149876,0.6116747113028029,0.3873452156410194,0.39047133334015965
Event A3 rule (deployed parameters),in burst (handover 2-10 s earlier),5.0,3068,0.38396349413298564,0.44616002594953424,1.161985534476376,0.6015899964966179,0.3580101439330663,0.3776031782594734
Logistic regression,quiet (no handover in previous 10 s),0.5,5518,0.020659659296846683,0.04642099199458373,2.2469388932115177,0.6621605828041607,0.11619288373360893,0.03609619221361371
Logistic regression,quiet (no handover in previous 10 s),1.0,5518,0.04313156940920623,0.09781391409586548,2.267803268827671,0.6792661382734912,0.20434717144036307,0.08833491032617881
Logistic regression,quiet (no handover in previous 10 s),2.0,5518,0.08372598767669445,0.16959999911687645,2.0256554007076284,0.6754625253438544,0.26961683216044663,0.154927929429115
Logistic regression,quiet (no handover in previous 10 s),3.0,5518,0.12232693004711852,0.22908507514058274,1.8727280661122008,0.6692558178661834,0.3176617471323646,0.2129413289712491
Logistic regression,quiet (no handover in previous 10 s),5.0,5518,0.19300471185212034,0.3309027154175943,1.7144799846706904,0.6661049311062122,0.3364871636228178,0.2674065711523454
Logistic regression,in burst (handover 2-10 s earlier),0.5,3068,0.06681877444589308,0.09340797524300115,1.3979300880269636,0.6010836322125009,0.109908525798004,0.0765940497157498
Logistic regression,in burst (handover 2-10 s earlier),1.0,3068,0.11245110821382008,0.15703341255207057,1.396459448434065,0.6084061164423297,0.2003780663090523,0.14503343318307332
Logistic regression,in burst (handover 2-10 s earlier),2.0,3068,0.2014341590612777,0.2698407603776792,1.3395978201273782,0.6064790964929662,0.23872837052930193,0.22105813100327884
Logistic regression,in burst (handover 2-10 s earlier),3.0,3068,0.273142112125163,0.3579542825156531,1.3105056548425102,0.6117597953701425,0.26595107841262755,0.2694112079087253
Logistic regression,in burst (handover 2-10 s earlier),5.0,3068,0.38396349413298564,0.4892767403812932,1.2742793204497518,0.6188019331482829,0.2550826482843749,0.29583495088633266
