dwell_bin,n,p_ho_1s,p_ho_5s
"[2, 3)",582,0.14604810996563575,0.47766323024054985
"[3, 4)",497,0.12877263581488935,0.4507042253521127
"[4, 5)",433,0.11316397228637413,0.418013856812933
"[5, 7)",729,0.10973936899862825,0.36899862825788754
"[7, 10)",826,0.0811138014527845,0.27239709443099275
"[10, 15)",1059,0.05571293673276676,0.2813975448536355
"[15, 20)",757,0.071334214002642,0.25891677675033026
"[20, 30)",1012,0.040513833992094864,0.1966403162055336
"[30, 60)",1461,0.03559206023271732,0.16153319644079397
"[60, 601)",1230,0.026016260162601626,0.11138211382113822
