dataset,n,tau -300ms,tau -200ms,tau -100ms,tau +0ms,tau +100ms,tau +200ms,tau +300ms
"AT&T (drive 2, day 1)",390,0.0,0.0,0.0,0.885,1.0,1.0,0.997
"AT&T (drive 3, day 1)",408,0.0,0.0,0.002,0.882,1.0,1.0,0.998
"AT&T (drive 3, day 2)",464,0.0,0.0,0.0,0.799,1.0,0.998,0.998
"AT&T (drive 3, day 3)",421,0.0,0.0,0.0,0.826,1.0,1.0,1.0
"AT&T (drive 3, day 4)",669,0.0,0.0,0.0,0.852,1.0,1.0,1.0
"T-Mobile (drive 2, day 1)",18,0.0,0.0,0.0,1.0,1.0,1.0,1.0
"T-Mobile (drive 3, day 1)",76,0.0,0.0,0.0,0.921,1.0,1.0,0.983
"T-Mobile (drive 3, day 2)",215,0.0,0.0,0.0,0.898,1.0,1.0,1.0
"Verizon (drive 2, day 1)",408,0.0,0.0,0.0,0.865,1.0,1.0,1.0
"Verizon (drive 3, day 1)",505,0.0,0.0,0.0,0.857,1.0,1.0,1.0
"Verizon (drive 3, day 2)",601,0.0,0.0,0.0,0.843,1.0,1.0,1.0
"Verizon (drive 3, day 3)",537,0.0,0.0,0.0,0.844,1.0,1.0,0.996
pooled,4712,0.0,0.0,0.0,0.853,1.0,1.0,0.999
