capture,delta,exec_s,margin,prev_gap_s,next_gap_s,target_pci,pci_tm2,pci_tm1,pci_t,pci_tp1,next_target_pci,hit_-2,hit_-1,hit_0,hit_1,isolated,clean
XCAL10Sept,0.457,0.0,0.5429999999999999,9000000000.0,19.512,154,154.0,154.0,154.0,154.0,61.0,1.0,1.0,1.0,1.0,True,True
XCAL10Sept,0.969,0.099,-0.06799999999999998,19.512,1.2,61,154.0,154.0,154.0,61.0,154.0,0.0,0.0,0.0,1.0,True,False
XCAL10Sept,0.169,0.0,0.831,1.2,4.637,154,154.0,61.0,154.0,154.0,364.0,1.0,0.0,1.0,1.0,False,False
XCAL10Sept,0.806,0.076,0.11799999999999995,4.637,0.676,364,154.0,154.0,364.0,154.0,154.0,0.0,0.0,1.0,0.0,False,False
XCAL10Sept,0.482,0.0,0.518,0.676,3.01,154,154.0,364.0,154.0,154.0,200.0,1.0,0.0,1.0,1.0,False,False
XCAL10Sept,0.492,0.001,0.507,3.01,4.407,200,154.0,154.0,200.0,200.0,364.0,0.0,0.0,1.0,1.0,False,True
XCAL10Sept,0.899,0.0,0.10099999999999998,4.407,6.904,364,200.0,200.0,364.0,364.0,371.0,0.0,0.0,1.0,1.0,False,True
XCAL10Sept,0.803,0.001,0.19599999999999995,6.904,12.808,371,364.0,364.0,371.0,371.0,371.0,0.0,0.0,1.0,1.0,False,True
XCAL10Sept,0.611,0.098,0.29100000000000004,12.808,2.199,371,371.0,371.0,371.0,371.0,389.0,1.0,1.0,1.0,1.0,True,True
XCAL10Sept,0.81,0.001,0.18899999999999995,2.199,1.2,389,371.0,371.0,389.0,389.0,369.0,0.0,0.0,1.0,1.0,False,False
XCAL10Sept,0.01,0.001,0.989,1.2,8.734,369,389.0,389.0,369.0,369.0,369.0,0.0,0.0,1.0,1.0,False,False
XCAL10Sept,0.744,0.002,0.254,8.734,5.5,369,369.0,369.0,369.0,369.0,200.0,1.0,1.0,1.0,1.0,True,True
XCAL10Sept,0.244,0.0,0.756,5.5,1.198,200,369.0,369.0,200.0,200.0,200.0,0.0,0.0,1.0,1.0,False,False
XCAL10Sept,0.442,0.001,0.557,1.198,16.591,200,369.0,200.0,200.0,200.0,200.0,0.0,1.0,1.0,1.0,False,False
XCAL10Sept,0.033,0.002,0.965,16.591,4.396,200,200.0,200.0,200.0,200.0,199.0,1.0,1.0,1.0,1.0,True,True
XCAL10Sept,0.429,0.0,0.571,4.396,17.949,199,200.0,200.0,199.0,199.0,382.0,0.0,0.0,1.0,1.0,False,True
XCAL10Sept,0.378,0.001,0.621,17.949,6.907,382,199.0,199.0,382.0,382.0,382.0,0.0,0.0,1.0,1.0,True,True
XCAL10Sept,0.285,0.001,0.7140000000000001,6.907,2.313,382,382.0,382.0,382.0,382.0,5.0,1.0,1.0,1.0,1.0,False,True
XCAL10Sept,0.598,0.085,0.317,2.313,6.12,5,382.0,382.0,5.0,5.0,58.0,0.0,0.0,1.0,1.0,False,True
XCAL10Sept,0.718,0.076,0.20600000000000002,6.12,1.677,58,5.0,5.0,58.0,58.0,5.0,0.0,0.0,1.0,1.0,False,False
XCAL10Sept,0.395,0.001,0.604,1.677,5.103,5,58.0,58.0,58.0,5.0,28.0,0.0,0.0,0.0,1.0,False,False
XCAL10Sept,0.498,0.1,0.402,5.103,4.003,28,5.0,5.0,5.0,28.0,5.0,0.0,0.0,0.0,1.0,False,True
XCAL10Sept,0.501,0.001,0.498,4.003,61.396,5,28.0,28.0,28.0,5.0,49.0,0.0,0.0,0.0,1.0,False,True
XCAL10Sept,0.897,0.1,0.002999999999999975,61.396,2.316,49,49.0,49.0,49.0,49.0,49.0,1.0,1.0,1.0,1.0,True,True
XCAL10Sept,0.213,0.0,0.787,2.316,8.001,49,49.0,49.0,49.0,49.0,23.0,1.0,1.0,1.0,1.0,False,True
XCAL10Sept,0.214,0.0,0.786,8.001,13.119,23,49.0,49.0,23.0,23.0,71.0,0.0,0.0,1.0,1.0,True,True
