protocol,gate_mode,model,horizon_s,n,positive_rate,auprc,auprc_lift,auroc,brier,nll,ece,f1_best,f1_best_threshold,recall_at_fpr0.01,threshold_at_fpr0.01,recall_at_fpr0.05,threshold_at_fpr0.05,recall_at_fpr0.1,threshold_at_fpr0.1,precision_at_recall0.5,precision_at_recall0.8
ours (grouped drive K-fold),grid,ours_lgbm,0.5,654.0,0.07399639848961478,0.47122426164588854,6.985891234970666,0.902582822092038,0.05300079521904164,0.2355853311999118,0.04954485529738371,0.6257314877016261,0.25803062963696755,0.14898819141917433,0.9308398728878384,0.6782721539814055,0.2105242762663792,0.7914513438338515,0.03654511481059576,0.5988357523337897,0.3887176286360868
ours (grouped drive K-fold),grid,ours_lgbm_5feat,0.5,654.0,0.07399639848961478,0.23831601499664248,3.3502228555203812,0.7559140113329615,0.08967765753193871,0.35843313426173423,0.08646644705104942,0.33443314160922133,0.3583240813221648,0.08122666483308695,0.9532261180280177,0.24763441203483144,0.6941495498191047,0.4211497363410589,0.3814423139564268,0.23621618751258805,0.12720521180065136
ours (grouped drive K-fold),grid,reward_only_control,0.5,654.0,0.07399639848961478,0.09464964526815539,1.2898971271579414,0.6159841340787271,0.21487735244705092,2.534370032887286,0.2664227312428545,0.17326381506462404,0.4483699059561129,0.0,inf,0.0,inf,0.0,inf,0.09633948913766006,0.09401231986312236
ours (grouped drive K-fold),grid,departmental_q,0.5,654.0,0.07399639848961478,0.0823831484970591,1.1361046261003238,0.47757885501257274,0.3933448665525389,1.1054420409818875,0.539936956193719,0.15531422964147423,0.5750218815283151,0.016838106370543542,0.9401312091721413,0.060920481576616614,0.9223497704143613,0.06592048157661662,0.920912190100319,0.07902884474471458,0.07759874331461317
ours (grouped drive K-fold),grid,departmental_gate,0.5,654.0,0.07399639848961478,0.07399639848961478,1.0,0.4986367242618874,0.07657336048679317,1.2342168409854697,0.07657336048679317,0.13679658332359326,0.0,0.0,inf,0.0,inf,0.0,inf,0.07399639848961478,0.07399639848961478
ours (grouped drive K-fold),grid,departmental_q_ttt,0.5,654.0,0.07399639848961478,0.07399639848961478,1.0,0.4986367242618874,0.07505303236653073,1.1953683257376806,0.07562075021189381,0.13679658332359326,0.0,0.0,inf,0.0,inf,0.0,inf,0.07399639848961478,0.07399639848961478
ours (grouped drive K-fold),grid,ours_lgbm,1.0,654.0,0.1250124466147271,0.8238349576078734,6.951072396991464,0.9209221223662644,0.04170490393986485,0.22486477573424724,0.04090276440719991,0.8059152830770616,0.6480829890178872,0.6964226445288257,0.6229394915633805,0.759926936863982,0.0987167188701153,0.7984804230809076,0.032085500462092284,0.9871975806451612,0.5505745336733208
ours (grouped drive K-fold),grid,ours_lgbm_5feat,1.0,654.0,0.1250124466147271,0.47273758071600425,3.987592492532685,0.7656383216365746,0.1198972381744213,0.4415752325643799,0.11299991988501132,0.4669824561403509,0.6793562920141367,0.21663212967179318,0.95862377221658,0.3725962380149895,0.8010849356294306,0.4704101141280469,0.5486832594963007,0.3713940485800005,0.2147340262238271
ours (grouped drive K-fold),grid,reward_only_control,1.0,654.0,0.1250124466147271,0.1605589381948707,1.291089085747216,0.6236956955660465,0.22267905138613625,2.4480089026675795,0.22072855173792033,0.27648486359587665,0.4483699059561129,0.0,inf,0.0,inf,0.0,inf,0.16369885617533486,0.16369885617533486
ours (grouped drive K-fold),grid,departmental_q,1.0,654.0,0.1250124466147271,0.13890050217685182,1.1465949763904355,0.48900698598977355,0.38126650802299855,1.0728533909385445,0.48943591128402897,0.2439721079434501,0.5716117776497707,0.017750869676303533,0.9399460014992606,0.06129254401846248,0.9221882868675007,0.06129254401846248,0.920912190100319,0.1347333286178497,0.130824206643394
ours (grouped drive K-fold),grid,departmental_gate,1.0,654.0,0.1250124466147271,0.1250124466147271,1.0,0.49857215287741335,0.12758940861190546,2.0564983792983176,0.12758940861190546,0.2209586097772292,0.0,0.0,inf,0.0,inf,0.0,inf,0.1250124466147271,0.1250124466147271
ours (grouped drive K-fold),grid,departmental_q_ttt,1.0,654.0,0.1250124466147271,0.1250124466147271,1.0,0.49857215287741335,0.12606908049164303,2.0176498640505285,0.12663679833700608,0.2209586097772292,0.0,0.0,inf,0.0,inf,0.0,inf,0.1250124466147271,0.1250124466147271
ours (grouped drive K-fold),grid,ours_lgbm,2.0,650.4,0.22024780309165654,0.6829416768517829,3.2041682901159683,0.815493163412701,0.12811417410152126,0.4944660612088482,0.10667803719169133,0.592584681098613,0.5837262659993554,0.410870703873334,0.9157825348987062,0.4745916622119772,0.6538231942039846,0.5462516285296649,0.3602890689971497,0.6687447517146051,0.37992892670969564
