variant,model,horizon_s,positive_rate_mean,positive_rate_std,auprc_mean,auprc_std,auprc_lift_mean,auprc_lift_std,auroc_mean,auroc_std,brier_mean,brier_std,ece_mean,ece_std
+ self-excitation,hazard LGBM,0.5,0.0373,0.0057,0.4507,0.0433,12.2711,1.7182,0.9349,0.0117,0.0252,0.0037,0.0154,0.0045
+ self-excitation,hazard LGBM,1.0,0.0677,0.0094,0.7791,0.0271,11.6872,1.4966,0.9367,0.0125,0.0254,0.0041,0.0136,0.004
+ self-excitation,hazard LGBM,2.0,0.126,0.0172,0.6294,0.0311,5.0598,0.5305,0.8603,0.0126,0.0723,0.0077,0.0332,0.006
+ self-excitation,hazard LGBM,3.0,0.1765,0.0241,0.6005,0.042,3.4364,0.3167,0.8233,0.0164,0.1097,0.0099,0.0538,0.0107
+ self-excitation,hazard LGBM,5.0,0.2609,0.0335,0.6128,0.051,2.3662,0.1986,0.7879,0.0219,0.161,0.0145,0.0846,0.0218
+ self-excitation,hazard MLP,0.5,0.0373,0.0057,0.4251,0.0515,11.5287,1.5081,0.906,0.0223,0.027,0.0036,0.0192,0.0037
+ self-excitation,hazard MLP,1.0,0.0677,0.0094,0.6542,0.0462,9.7913,1.2035,0.902,0.0168,0.0363,0.0048,0.0237,0.0044
+ self-excitation,hazard MLP,2.0,0.126,0.0172,0.537,0.0401,4.3163,0.5114,0.8112,0.0226,0.0886,0.0104,0.0678,0.0091
+ self-excitation,hazard MLP,3.0,0.1765,0.0241,0.5246,0.0415,3.0036,0.3148,0.7723,0.0246,0.135,0.015,0.1071,0.0175
+ self-excitation,hazard MLP,5.0,0.2609,0.0335,0.5596,0.0465,2.1611,0.1845,0.7383,0.0259,0.1913,0.0186,0.1509,0.0232
+ self-excitation,multi-head LGBM,0.5,0.0373,0.0057,0.4479,0.0589,12.1973,2.0195,0.9258,0.0188,0.0266,0.0038,0.0228,0.0041
+ self-excitation,multi-head LGBM,1.0,0.0677,0.0094,0.7963,0.0284,11.9513,1.5603,0.9353,0.0111,0.0243,0.0047,0.0221,0.0046
+ self-excitation,multi-head LGBM,2.0,0.126,0.0172,0.6344,0.0281,5.1053,0.5743,0.8565,0.0142,0.0748,0.0092,0.0542,0.0085
+ self-excitation,multi-head LGBM,3.0,0.1765,0.0241,0.5976,0.038,3.4224,0.3261,0.8138,0.0167,0.1143,0.0116,0.0785,0.0105
+ self-excitation,multi-head LGBM,5.0,0.2609,0.0335,0.6058,0.0481,2.3411,0.213,0.7806,0.0213,0.1675,0.0159,0.1118,0.0188
+ self-excitation,multi-head LGBM + isotonic,0.5,0.0373,0.0057,0.4225,0.0473,11.5188,1.8209,0.9175,0.02,0.0248,0.0039,0.0107,0.0035
+ self-excitation,multi-head LGBM + isotonic,1.0,0.0677,0.0094,0.7597,0.0307,11.4005,1.4889,0.9316,0.012,0.024,0.0042,0.0098,0.0051
