variant,model,horizon_s,positive_rate_mean,positive_rate_std,auprc_mean,auprc_std,auprc_lift_mean,auprc_lift_std,auroc_mean,auroc_std,brier_mean,brier_std,ece_mean,ece_std
+ self-excitation,hazard LGBM,0.5,0.0423,0.0069,0.4691,0.0785,11.1574,1.5519,0.9341,0.0249,0.0286,0.0036,0.0217,0.0046
+ self-excitation,hazard LGBM,1.0,0.0733,0.0103,0.7767,0.0382,10.7486,1.312,0.9363,0.0147,0.0272,0.0039,0.017,0.004
+ self-excitation,hazard LGBM,2.0,0.1357,0.0176,0.6385,0.0492,4.7501,0.4997,0.8614,0.0229,0.0774,0.0091,0.0428,0.0087
+ self-excitation,hazard LGBM,3.0,0.1892,0.0234,0.6173,0.0547,3.287,0.3042,0.8274,0.0262,0.116,0.0128,0.0655,0.0153
+ self-excitation,hazard LGBM,5.0,0.2773,0.0283,0.6395,0.0588,2.3133,0.1553,0.7946,0.0291,0.1641,0.0175,0.0895,0.0299
+ self-excitation,hazard MLP,0.5,0.0423,0.0069,0.4066,0.0907,9.611,1.6724,0.8972,0.0373,0.0321,0.0035,0.0247,0.004
+ self-excitation,hazard MLP,1.0,0.0733,0.0103,0.6111,0.0828,8.4176,1.2985,0.8956,0.0217,0.0422,0.0054,0.0283,0.0056
+ self-excitation,hazard MLP,2.0,0.1357,0.0176,0.5201,0.0669,3.8511,0.4172,0.804,0.025,0.0982,0.0117,0.0758,0.0188
+ self-excitation,hazard MLP,3.0,0.1892,0.0234,0.5161,0.0663,2.7344,0.2245,0.7658,0.0293,0.1494,0.0226,0.1205,0.0327
+ self-excitation,hazard MLP,5.0,0.2773,0.0283,0.5631,0.0652,2.0327,0.1435,0.7341,0.0331,0.2076,0.031,0.1666,0.0423
+ self-excitation,multi-head LGBM,0.5,0.0423,0.0069,0.4844,0.0878,11.5185,1.7199,0.931,0.0266,0.03,0.0037,0.0269,0.0043
+ self-excitation,multi-head LGBM,1.0,0.0733,0.0103,0.8042,0.0354,11.1428,1.4724,0.9387,0.0134,0.0259,0.0043,0.0238,0.0045
+ self-excitation,multi-head LGBM,2.0,0.1357,0.0176,0.6432,0.0406,4.7912,0.5314,0.8556,0.0231,0.0805,0.0092,0.0616,0.0092
+ self-excitation,multi-head LGBM,3.0,0.1892,0.0234,0.6136,0.0549,3.2665,0.2972,0.8185,0.0247,0.1217,0.0124,0.0884,0.015
+ self-excitation,multi-head LGBM,5.0,0.2773,0.0283,0.6275,0.0636,2.2693,0.1751,0.791,0.0256,0.1723,0.0169,0.1195,0.0253
+ self-excitation,multi-head LGBM + isotonic,0.5,0.0423,0.0069,0.4458,0.0807,10.5638,1.318,0.926,0.0268,0.028,0.0032,0.0144,0.0071
+ self-excitation,multi-head LGBM + isotonic,1.0,0.0733,0.0103,0.7635,0.0387,10.5802,1.4198,0.9349,0.014,0.026,0.0038,0.0105,0.0041
+ self-excitation,multi-head LGBM + isotonic,2.0,0.1357,0.0176,0.6054,0.0391,4.5106,0.5106,0.8503,0.0218,0.0781,0.009,0.0359,0.0141
+ self-excitation,multi-head LGBM + isotonic,3.0,0.1892,0.0234,0.5637,0.0528,3.0063,0.3452,0.8134,0.0255,0.1166,0.0124,0.0584,0.0246
+ self-excitation,multi-head LGBM + isotonic,5.0,0.2773,0.0283,0.5849,0.0606,2.1136,0.1409,0.7857,0.0226,0.164,0.0136,0.0801,0.032
+ self-excitation,multi-head LGBM + isotonic + monotone,0.5,0.0423,0.0069,0.4721,0.0821,11.2274,1.6434,0.9304,0.0263,0.0275,0.0031,0.0131,0.0046
+ self-excitation,multi-head LGBM + isotonic + monotone,1.0,0.0733,0.0103,0.7795,0.038,10.7992,1.4197,0.9373,0.0134,0.0264,0.0037,0.0117,0.0027
+ self-excitation,multi-head LGBM + isotonic + monotone,2.0,0.1357,0.0176,0.6217,0.0438,4.6248,0.464,0.8531,0.0218,0.0773,0.0087,0.0369,0.0137
+ self-excitation,multi-head LGBM + isotonic + monotone,3.0,0.1892,0.0234,0.5893,0.0572,3.1366,0.3042,0.8185,0.0261,0.1149,0.012,0.0571,0.0255
+ self-excitation,multi-head LGBM + isotonic + monotone,5.0,0.2773,0.0283,0.601,0.0604,2.1727,0.1472,0.789,0.024,0.1621,0.0139,0.0784,0.0349
+ self-excitation,multi-head MLP,0.5,0.0423,0.0069,0.3744,0.0874,8.789,1.1773,0.8903,0.0309,0.0336,0.0018,0.026,0.0035
+ self-excitation,multi-head MLP,1.0,0.0733,0.0103,0.7019,0.045,9.702,1.1808,0.9115,0.0167,0.0371,0.0024,0.0276,0.0038
+ self-excitation,multi-head MLP,2.0,0.1357,0.0176,0.5705,0.0559,4.236,0.4441,0.8231,0.0205,0.094,0.0091,0.0685,0.0113
+ self-excitation,multi-head MLP,3.0,0.1892,0.0234,0.5385,0.0693,2.8576,0.2942,0.7794,0.0283,0.1427,0.0194,0.1094,0.0273
+ self-excitation,multi-head MLP,5.0,0.2773,0.0283,0.5772,0.0697,2.0827,0.1592,0.7498,0.0316,0.1991,0.0229,0.1578,0.0296
rf+mobility+history,hazard LGBM,0.5,0.0423,0.0069,0.4786,0.0866,11.3366,1.3629,0.9331,0.0272,0.0282,0.0031,0.02,0.0035
rf+mobility+history,hazard LGBM,1.0,0.0733,0.0103,0.7798,0.0448,10.7865,1.3024,0.9348,0.0143,0.0272,0.0038,0.0177,0.0044
rf+mobility+history,hazard LGBM,2.0,0.1357,0.0176,0.6365,0.0534,4.731,0.4772,0.8588,0.0229,0.0778,0.0084,0.0437,0.0073
rf+mobility+history,hazard LGBM,3.0,0.1892,0.0234,0.6144,0.0576,3.2681,0.2839,0.825,0.026,0.1167,0.0113,0.0671,0.012
rf+mobility+history,hazard LGBM,5.0,0.2773,0.0283,0.6358,0.0609,2.2984,0.1429,0.7922,0.0259,0.1656,0.0155,0.0917,0.0298
rf+mobility+history,hazard MLP,0.5,0.0423,0.0069,0.4107,0.077,9.7455,1.3502,0.8986,0.0339,0.0318,0.0038,0.0224,0.0027
rf+mobility+history,hazard MLP,1.0,0.0733,0.0103,0.6069,0.0684,8.354,0.9487,0.8982,0.0251,0.0436,0.0056,0.0254,0.0078
rf+mobility+history,hazard MLP,2.0,0.1357,0.0176,0.5124,0.0668,3.7942,0.4152,0.8013,0.0286,0.0975,0.013,0.0674,0.0185
rf+mobility+history,hazard MLP,3.0,0.1892,0.0234,0.5122,0.0694,2.713,0.2441,0.7627,0.028,0.1438,0.0194,0.1051,0.0312
rf+mobility+history,hazard MLP,5.0,0.2773,0.0283,0.558,0.0622,2.0152,0.1497,0.7319,0.0314,0.1987,0.0245,0.1451,0.0373
rf+mobility+history,multi-head LGBM,0.5,0.0423,0.0069,0.4818,0.0894,11.4507,1.765,0.9323,0.0249,0.0298,0.0037,0.0258,0.0038
rf+mobility+history,multi-head LGBM,1.0,0.0733,0.0103,0.8079,0.0318,11.1954,1.4699,0.9411,0.0097,0.0257,0.0043,0.0232,0.0043
rf+mobility+history,multi-head LGBM,2.0,0.1357,0.0176,0.6422,0.0405,4.7834,0.5228,0.8559,0.023,0.0805,0.0095,0.0608,0.0085
rf+mobility+history,multi-head LGBM,3.0,0.1892,0.0234,0.6124,0.049,3.2624,0.298,0.8177,0.0256,0.1226,0.0127,0.0915,0.0146
rf+mobility+history,multi-head LGBM,5.0,0.2773,0.0283,0.6267,0.066,2.266,0.1834,0.7888,0.0292,0.1732,0.0183,0.1226,0.0255
rf+mobility+history,multi-head LGBM + isotonic,0.5,0.0423,0.0069,0.4409,0.077,10.4641,1.3734,0.9299,0.0255,0.028,0.0034,0.0138,0.0056
rf+mobility+history,multi-head LGBM + isotonic,1.0,0.0733,0.0103,0.7612,0.0417,10.5574,1.4997,0.9365,0.0108,0.0261,0.0038,0.0112,0.0036
rf+mobility+history,multi-head LGBM + isotonic,2.0,0.1357,0.0176,0.6023,0.0353,4.4863,0.4818,0.8518,0.0224,0.0774,0.0087,0.0341,0.013
rf+mobility+history,multi-head LGBM + isotonic,3.0,0.1892,0.0234,0.5657,0.0478,3.0127,0.2765,0.8128,0.024,0.1164,0.0119,0.0559,0.0234
rf+mobility+history,multi-head LGBM + isotonic,5.0,0.2773,0.0283,0.5911,0.0632,2.1364,0.1633,0.7846,0.0267,0.1627,0.0138,0.0726,0.0315
rf+mobility+history,multi-head LGBM + isotonic + monotone,0.5,0.0423,0.0069,0.4591,0.0731,10.9311,1.5217,0.9339,0.0235,0.0275,0.0035,0.0153,0.0041
rf+mobility+history,multi-head LGBM + isotonic + monotone,1.0,0.0733,0.0103,0.7823,0.0376,10.8381,1.4252,0.9397,0.0097,0.0263,0.0035,0.0115,0.0028
rf+mobility+history,multi-head LGBM + isotonic + monotone,2.0,0.1357,0.0176,0.619,0.0413,4.6064,0.4642,0.8551,0.0223,0.0768,0.0086,0.0345,0.0119
rf+mobility+history,multi-head LGBM + isotonic + monotone,3.0,0.1892,0.0234,0.5886,0.0521,3.1318,0.2627,0.818,0.0232,0.1145,0.0114,0.0541,0.0239
rf+mobility+history,multi-head LGBM + isotonic + monotone,5.0,0.2773,0.0283,0.6057,0.0605,2.1902,0.159,0.7874,0.0266,0.1611,0.014,0.072,0.0334
rf+mobility+history,multi-head MLP,0.5,0.0423,0.0069,0.3904,0.0936,9.1863,1.5229,0.8982,0.0291,0.033,0.0034,0.0248,0.0042
rf+mobility+history,multi-head MLP,1.0,0.0733,0.0103,0.7203,0.0496,9.9669,1.3378,0.9111,0.0196,0.0348,0.0029,0.0244,0.0034
rf+mobility+history,multi-head MLP,2.0,0.1357,0.0176,0.5731,0.0519,4.2567,0.4301,0.825,0.0199,0.0925,0.0109,0.0666,0.0141
rf+mobility+history,multi-head MLP,3.0,0.1892,0.0234,0.5528,0.0582,2.9415,0.3092,0.7838,0.0286,0.1363,0.0158,0.1011,0.0238
rf+mobility+history,multi-head MLP,5.0,0.2773,0.0283,0.5749,0.0624,2.077,0.1518,0.7561,0.0308,0.1954,0.0208,0.1484,0.0286
