window_s,cell_identity,rule,pooled,10Sept,12Sept,13Sept,15Sept
5,PCI only,immediate return,23.0,17.6,34.5,20.9,24.3
5,PCI only,return within window,26.9,22.8,40.8,22.6,27.1
5,PCI+carrier,immediate return,19.5,13.4,30.5,16.5,23.7
5,PCI+carrier,return within window,22.5,16.6,35.6,18.5,26.0
10,PCI only,immediate return,27.5,21.0,39.1,25.6,29.9
10,PCI only,return within window,34.4,31.0,50.0,29.3,33.3
10,PCI+carrier,immediate return,23.2,16.2,34.5,20.2,28.8
10,PCI+carrier,return within window,28.1,21.4,44.3,23.2,31.6
15,PCI only,immediate return,29.0,22.8,40.2,26.6,32.2
15,PCI only,return within window,38.5,36.6,54.6,31.3,37.9
15,PCI+carrier,immediate return,24.5,17.2,35.6,21.2,31.1
15,PCI+carrier,return within window,30.9,24.8,47.1,25.3,34.5
