horizon_s,alpha,min_alpha_reachable,lambda_hat,test_fnr,test_alarm_rate,per_drive_fnr_p90,drives_over_alpha_frac,naive_lambda,naive_alarm_rate,n_calib_drives,n_test_drives
0.5,0.05,0.0345,0.0012,0.0,0.6477,0.0,0.0,0.0049,0.3344,28,29
0.5,0.1,0.0345,0.0055,0.0599,0.3145,0.215,0.25,0.0115,0.19,28,29
0.5,0.15,0.0345,0.0076,0.0886,0.2581,0.275,0.2857,0.0244,0.1032,28,29
0.5,0.2,0.0345,0.014,0.1538,0.1615,0.3533,0.2857,0.0534,0.0636,28,29
0.5,0.3,0.0345,0.0566,0.2897,0.0609,0.6917,0.4643,0.2555,0.0362,28,29
0.5,0.4,0.0345,0.2629,0.4914,0.036,0.8171,0.5357,0.338,0.0294,28,29
1.0,0.05,0.0345,0.004,0.0348,0.6054,0.1206,0.1786,0.0097,0.4018,28,29
1.0,0.1,0.0345,0.0112,0.074,0.3713,0.2257,0.25,0.0171,0.2862,28,29
1.0,0.15,0.0345,0.0181,0.0913,0.2778,0.2257,0.2143,0.0283,0.2077,28,29
1.0,0.2,0.0345,0.0236,0.1263,0.2346,0.29,0.1786,0.0567,0.1181,28,29
1.0,0.3,0.0345,0.0765,0.2198,0.0937,0.3533,0.1786,0.3317,0.0452,28,29
1.0,0.4,0.0345,0.579,0.3692,0.0421,0.6667,0.4286,0.8221,0.0317,28,29
2.0,0.05,0.0345,0.0097,0.0395,0.6815,0.1206,0.2857,0.0225,0.5208,28,29
2.0,0.1,0.0345,0.0263,0.0969,0.4928,0.2568,0.3929,0.0362,0.4328,28,29
2.0,0.15,0.0345,0.0421,0.1403,0.4048,0.31,0.3929,0.0526,0.3602,28,29
2.0,0.2,0.0345,0.0606,0.1722,0.3354,0.35,0.3214,0.0725,0.3072,28,29
2.0,0.3,0.0345,0.0941,0.2492,0.2633,0.4364,0.2857,0.1185,0.2237,28,29
2.0,0.4,0.0345,0.1534,0.3515,0.1813,0.5,0.3571,0.2053,0.1415,28,29
3.0,0.05,0.0345,0.0166,0.0629,0.7165,0.2067,0.3571,0.0327,0.6009,28,29
3.0,0.1,0.0345,0.0398,0.1133,0.5627,0.3059,0.4286,0.0588,0.4822,28,29
3.0,0.15,0.0345,0.0681,0.1652,0.4549,0.405,0.3929,0.0885,0.403,28,29
3.0,0.2,0.0345,0.099,0.2271,0.3815,0.435,0.5,0.1159,0.349,28,29
3.0,0.3,0.0345,0.1509,0.2829,0.3046,0.465,0.3929,0.175,0.2746,28,29
3.0,0.4,0.0345,0.2046,0.3628,0.2451,0.645,0.3571,0.2558,0.2032,28,29
5.0,0.05,0.0345,0.0314,0.0645,0.7629,0.2,0.3929,0.0707,0.6235,28,29
5.0,0.1,0.0345,0.0825,0.1445,0.5948,0.3712,0.4643,0.1094,0.542,28,29
5.0,0.15,0.0345,0.1317,0.1901,0.5066,0.4341,0.5,0.1617,0.4677,28,29
5.0,0.2,0.0345,0.1745,0.2267,0.451,0.4731,0.4643,0.2019,0.4154,28,29
5.0,0.3,0.0345,0.2534,0.3182,0.3621,0.6033,0.4643,0.2946,0.3281,28,29
5.0,0.4,0.0345,0.3528,0.4153,0.2822,0.6767,0.5,0.393,0.2554,28,29
