feature_set,seed,horizon_s,task,n,positive_rate,auprc,auprc_lift,auprc_ci_low,auprc_ci_high,auroc,brier,ece,n_drives
rf+mob+hist,1337,0.5,handover@0.5s,6362,0.04228230116315624,0.4649915299418668,10.997308972082367,0.4048385046480798,0.5324481346609474,0.9363429421415398,0.029779831370124205,0.023464683923296738,43
rf+mob+hist,1337,1.0,handover@1.0s,6362,0.07324740647595096,0.8114374076331855,11.078036024382675,0.7648615646887039,0.8538781135499565,0.9388317386924139,0.02533393629903848,0.020903510045168897,43
rf+mob+hist,1337,2.0,handover@2.0s,6327,0.13560929350403034,0.6461127065870013,4.764516427244706,0.605160238130102,0.6851146225209616,0.8574261114030723,0.07885958822128948,0.053182715384674444,43
rf+mob+hist,1337,3.0,handover@3.0s,6292,0.1889701207883026,0.6139673626210984,3.2490182048881002,0.5646977026921712,0.6602722431780684,0.8182203545565225,0.11953186745446433,0.0780434780469929,43
rf+mob+hist,1337,5.0,handover@5.0s,6219,0.2770541887763306,0.6302918216362001,2.274976691094329,0.574827682470396,0.6791444630311414,0.7880264497700155,0.1706880127570483,0.11195123098868835,43
+ signalling,1337,0.5,handover@0.5s,6362,0.04228230116315624,0.47229695730518606,11.170086402883248,0.4144956921045427,0.5409188001565625,0.9388279682272973,0.029527262998984297,0.02334898055902231,43
+ signalling,1337,1.0,handover@1.0s,6362,0.07324740647595096,0.8109456675309628,11.071322611227435,0.7621726477656353,0.8515731440574956,0.9420764641482405,0.025606681530612994,0.022053799486835,43
+ signalling,1337,2.0,handover@2.0s,6327,0.13560929350403034,0.6502663601989122,4.795145991816454,0.6081177347381745,0.6892527001542781,0.8607310285862123,0.07821012318904909,0.05297387492516635,43
+ signalling,1337,3.0,handover@3.0s,6292,0.1889701207883026,0.6200659669305106,3.281291054606201,0.572796062091683,0.6666771533677741,0.825342766594363,0.11851249059272193,0.07749673216237223,43
+ signalling,1337,5.0,handover@5.0s,6219,0.2770541887763306,0.6330445305763654,2.284912324813939,0.578682324957203,0.6816683215313655,0.7882295063852464,0.16960139841050623,0.11104457732993038,43
signalling only,1337,0.5,handover@0.5s,6362,0.04228230116315624,0.22175561131023536,5.244643863032406,0.17970422852709306,0.27396708571334316,0.8172496075391531,0.038296501829488384,0.02768647990953963,43
signalling only,1337,1.0,handover@1.0s,6362,0.07324740647595096,0.3611574635698643,4.930651895346516,0.30989369461679017,0.41301321552290465,0.8254839972979425,0.05982284974890194,0.03960214486957992,43
signalling only,1337,2.0,handover@2.0s,6327,0.13560929350403034,0.38525509443130956,2.840919559984727,0.34940681533130674,0.42644248910613014,0.7774527843096136,0.10572216706308261,0.0561461319974651,43
signalling only,1337,3.0,handover@3.0s,6292,0.1889701207883026,0.4370046843657735,2.312559692203067,0.3911176232942561,0.49118764805211773,0.7550996157045436,0.1366511206095154,0.05910273003182738,43
signalling only,1337,5.0,handover@5.0s,6219,0.2770541887763306,0.5061410671083562,1.826866683892552,0.45819445974276923,0.5613108586175527,0.7270675113546472,0.1809770652949992,0.07373861214499655,43
rf+mob+hist,1338,0.5,handover@0.5s,6362,0.04228230116315624,0.4404081175628128,10.415897561095223,0.38077736052408956,0.5038329237211582,0.9321575066030432,0.0301433682173452,0.02525285831680826,43
rf+mob+hist,1338,1.0,handover@1.0s,6362,0.07324740647595096,0.8113121148629286,11.076325482313202,0.7638660890062681,0.8529376391528978,0.9405015985231857,0.02537556697786652,0.021089596887827498,43
rf+mob+hist,1338,2.0,handover@2.0s,6327,0.13560929350403034,0.6456887671271914,4.761390244305058,0.6077271248191198,0.6811533732809039,0.8571916898850525,0.07856035336594216,0.05299481305380235,43
rf+mob+hist,1338,3.0,handover@3.0s,6292,0.1889701207883026,0.6149015571566008,3.253961814658816,0.5728557636259658,0.6602874660017525,0.8190737584563705,0.11870552754937408,0.07555928209875828,43
