experiment,adaptation,horizon_s,auroc_matched,auroc_transfer,auroc_gap,auprc_matched,auprc_transfer,auprc_gap
external,coral,1.0,0.8481333426028921,0.5336609717039356,0.3144723708989565,0.5646334580879084,0.08720219102013058,0.47743126706777783
external,none,1.0,0.8481333426028921,0.6418667658124964,0.20626657679039573,0.5646334580879084,0.10412722499349146,0.46050623309441696
external,per_drive_z,1.0,0.8091942436040044,0.5674359154403831,0.2417583281636213,0.5565314188416377,0.09314674336630652,0.4633846754753312
regime,coral,1.0,0.8003463691754611,0.7707262679172011,0.02962010125825998,0.556953995369898,0.3876943918698467,0.16925960350005126
regime,none,1.0,0.8186243606977858,0.8648750753256386,-0.046250714627852796,0.7271788766113529,0.7815210902125831,-0.05434221360123015
regime,per_drive_z,1.0,0.7962028152474543,0.6994326756181852,0.09677013962926906,0.629538208625479,0.4944437376002661,0.13509447102521294
external,coral,2.0,0.8120535477123945,0.6140450373523414,0.19800851036005307,0.49294056030232725,0.18138077377217687,0.3115597865301504
external,none,2.0,0.8120535477123945,0.6779154671408133,0.13413808057158116,0.49294056030232725,0.2426595648661864,0.25028099543614085
external,per_drive_z,2.0,0.7619195607991707,0.6334426864327123,0.12847687436645838,0.5163509737830494,0.22103271063415975,0.29531826314888965
regime,coral,2.0,0.7122959591342193,0.6308471497946044,0.08144880933961485,0.5014569106091928,0.3810180516205377,0.12043885898865514
regime,none,2.0,0.7549552343131096,0.725434344139735,0.02952089017337467,0.6064936662278843,0.5936088631268863,0.012884803100997932
regime,per_drive_z,2.0,0.6953563588289582,0.6068520165888298,0.08850434224012838,0.5709468367120819,0.4156445450344548,0.1553022916776271
