model,arm,horizon_s,n,positive_rate,auprc,auprc_lift,auroc,brier,nll,ece,f1_best,f1_best_threshold,recall_at_fpr0.01,threshold_at_fpr0.01,recall_at_fpr0.05,threshold_at_fpr0.05,recall_at_fpr0.1,threshold_at_fpr0.1,precision_at_recall0.5,precision_at_recall0.8
logreg,default,0.5,6049,0.04199041163828732,0.44312603544093737,10.553029088119017,0.9000244576848083,0.07865503054195827,0.29961778330095523,0.12686843658144822,0.5255023183925812,0.808645526525001,0.2795275590551181,0.9921453636613443,0.7047244094488189,0.7425227188388301,0.7874015748031497,0.49329096073216006,0.4980694980694981,0.2521631644004944
logreg,default,1.0,6049,0.07257397917011076,0.7412089086230116,10.213149631573115,0.91969067602191,0.07615140692437702,0.2606938807077714,0.12279839344766671,0.7245657568238214,0.8960140624855545,0.6378132118451025,0.9278254719220145,0.7403189066059226,0.6842913008353787,0.7927107061503417,0.4965700114422153,0.9208333333333333,0.36251287332646753
logreg,default,2.0,6014,0.13451945460591952,0.608327775137252,4.522228973640833,0.843540192051714,0.1405398021127088,0.43634744660060765,0.18978921410205465,0.5503258508327299,0.8056382900998196,0.3584672435105068,0.9263908187949829,0.4919653893695921,0.780758936142616,0.6007416563658838,0.6637743170186314,0.6008902077151336,0.2862190812720848
logreg,default,3.0,5979,0.18748954674694765,0.5897127767494299,3.14531016251993,0.8118649943865183,0.1635077770100087,0.49789461188757583,0.1826844123875092,0.5419878296146045,0.6161874177285371,0.23639607493309545,0.9367392734590092,0.40767172167707405,0.8004569001730482,0.5084745762711864,0.6942304411190041,0.5604395604395604,0.3373448664911621
logreg,default,5.0,5906,0.2758211987809008,0.608796997301568,2.2072161240411665,0.7775904724300164,0.1866885249082272,0.5578457933802488,0.14120188532423006,0.5655913978494623,0.5208427842011165,0.13996316758747698,0.9439673311274854,0.3278084714548803,0.8121146942635515,0.44935543278084716,0.7130376944758052,0.5912040374909877,0.4199677938808374
logreg,tuned,0.5,6049,0.04199041163828732,0.46003076591305964,10.955614578772039,0.9109122037053391,0.029296521063052097,0.10966126511327942,0.009707602306509347,0.5393634840871022,0.2140482155225916,0.2992125984251969,0.5943438706370003,0.7047244094488189,0.11184478161368423,0.7913385826771654,0.04892855091586837,0.5141700404858299,0.24489795918367346
logreg,tuned,1.0,6049,0.07257397917011076,0.7702401214711471,10.613171969883757,0.9258763434966035,0.028223705571714133,0.11872320850404927,0.009780793902896219,0.7538071065989848,0.3977955191037384,0.6765375854214123,0.3977955191037384,0.7608200455580866,0.13549802027113667,0.8109339407744874,0.07911256164028184,0.9572649572649573,0.4345679012345679
logreg,tuned,2.0,6014,0.13451945460591952,0.6201339002469182,4.609994160797238,0.8454742456680311,0.07801112900800154,0.27363360153077504,0.024107566132305663,0.5550239234449762,0.35640152039677364,0.3658838071693449,0.6603095075800133,0.5043263288009888,0.3475790290303831,0.6007416563658838,0.23636540950998544,0.6207951070336392,0.2905677246312025
logreg,tuned,3.0,5979,0.18748954674694765,0.5975221419372366,3.1869624323307204,0.8129786930081027,0.11259534564582398,0.36987059045489484,0.030661525936103606,0.5391705069124423,0.2534313724852943,0.24531668153434433,0.7669994499306414,0.40588760035682425,0.48249553442950693,0.5191793041926851,0.3433982167395433,0.563819095477387,0.3333333333333333
logreg,tuned,5.0,5906,0.2758211987809008,0.6118428357395739,2.2182589244186146,0.7777037168126859,0.15902849005535274,0.49079572803422605,0.049886139805620205,0.5666854248733821,0.33204095230621866,0.1534683855125844,0.8586512426264488,0.3265807243707796,0.6306825936641357,0.44014732965009207,0.5004733716191033,0.5918663761801016,0.41974911547121263
lgbm,default,0.5,6049,0.04199041163828732,0.4448459347860028,10.593988423309177,0.9168771612780499,0.031162902100216695,0.14760014472740612,0.025130224757349846,0.5718901453957996,0.09646402136817628,0.29133858267716534,0.8508687600938548,0.7480314960629921,0.026158964246544226,0.7992125984251969,0.0044812336728475765,0.5399239543726235,0.25092250922509224
