model,arm,horizon_s,n,positive_rate,auprc,auprc_lift,auroc,brier,nll,ece,f1_best,f1_best_threshold,recall_at_fpr0.01,threshold_at_fpr0.01,recall_at_fpr0.05,threshold_at_fpr0.05,recall_at_fpr0.1,threshold_at_fpr0.1,precision_at_recall0.5,precision_at_recall0.8
lgbm,default,0.5,6049,0.0419904116382873,0.4448459347860028,10.593988423309176,0.91687716127805,0.0311629021002166,0.1476001447274061,0.0251302247573498,0.5718901453957996,0.0964640213681762,0.2913385826771653,0.8508687600938548,0.7480314960629921,0.0261589642465442,0.7992125984251969,0.0044812336728475,0.5399239543726235,0.2509225092250922
lgbm,default,1.0,6049,0.0725739791701107,0.7996063585284146,11.017810621271936,0.932873285988655,0.0266118325976781,0.1524009512339499,0.0248110761324595,0.7905138339920948,0.8496296279588258,0.7038724373576309,0.3562210482788873,0.7630979498861048,0.0230894270744982,0.8177676537585421,0.0070143129828901,0.9914529914529916,0.4450063211125158
lgbm,default,2.0,6014,0.1345194546059195,0.6335490274926527,4.70972045901213,0.8473418043171859,0.0854234809148423,0.3590802814554144,0.0686080868830862,0.5479833101529902,0.4442563027953428,0.3955500618046971,0.8526412840235028,0.4932014833127318,0.4044632478367686,0.5834363411619283,0.1656646824292983,0.5921052631578947,0.2872340425531915
lgbm,default,3.0,5979,0.1874895467469476,0.5960043238009629,3.178866950941978,0.8046234743797902,0.132369845779047,0.5095587008277254,0.1072407379553902,0.5161818926669398,0.2687566241144342,0.2667261373773416,0.9526705245412548,0.3960749330954505,0.7078912417484158,0.4915254237288136,0.4281660064571185,0.5218198700092851,0.3277310924369748
lgbm,default,5.0,5906,0.2758211987809008,0.6108564405335103,2.2146827119649557,0.7750636443477632,0.1922166185302058,0.6759542435572372,0.1537855951939956,0.5577689243027889,0.0893184903914689,0.1712707182320442,0.9835197090312848,0.3167587476979742,0.8950389199475741,0.4162062615101289,0.744371215729015,0.5568413886997958,0.4213755247013239
lgbm,tuned,0.5,6049,0.0419904116382873,0.4694543796205911,11.180037568208489,0.920560080982112,0.0315355611776166,0.1168606596462281,0.0225177987771604,0.6080586080586081,0.6773386123776352,0.3070866141732283,0.8783834659361011,0.7440944881889764,0.1821660995064913,0.8307086614173228,0.0596822553827658,0.5758928571428571,0.3063063063063063
lgbm,tuned,1.0,6049,0.0725739791701107,0.778708728426863,10.72986127164942,0.925309100654136,0.0305896309208151,0.1248052352409497,0.019222566863421,0.7790849673202614,0.8646556614140288,0.6924829157175398,0.6746553580182464,0.7585421412300684,0.1991406291606339,0.8041002277904328,0.103758835009183,0.9652173913043478,0.3922222222222222
lgbm,tuned,2.0,6014,0.1345194546059195,0.6320592740967534,4.698645827463381,0.8506963566695046,0.0928470067561703,0.3044877897567053,0.075609136058965,0.5559416261292563,0.6015282861939292,0.3868974042027194,0.8176724231704142,0.5018541409147095,0.5874941422292079,0.588380716934487,0.4582568458030964,0.6117824773413897,0.2894033837934105
lgbm,tuned,3.0,5979,0.1874895467469476,0.6116653147799606,3.262396893014616,0.8212073925349689,0.1281258753898869,0.3989852614488332,0.0864505420682746,0.5414462081128748,0.5412623801482751,0.2765388046387154,0.8477342222757469,0.4041034790365745,0.6781851543654909,0.5272078501338091,0.5597384600911023,0.5730223123732252,0.3461983790042454
lgbm,tuned,5.0,5906,0.2758211987809008,0.6270025860006577,2.273221162013434,0.7910748786498168,0.1663814870771849,0.4972657615877485,0.0808953361860117,0.577756608716361,0.3466015614831325,0.1786372007366482,0.8803014250606659,0.3235113566605279,0.7439527302143154,0.430939226519337,0.6443120193325641,0.5799859055673009,0.4383193277310924
