model,horizon_s,delta_auprc,ci_low,ci_high
lgbm,0.5,0.0246084448345883,-0.0018463700799649,0.0463330037163948
lgbm,1.0,-0.0208976301015515,-0.0311322244060315,-0.0083643722031142
lgbm,2.0,-0.0014897533958992,-0.0091677300802544,0.0064627442775697
lgbm,3.0,0.0156609909789976,0.0065287553551813,0.0253992424404901
lgbm,5.0,0.0161461454671474,0.0065538925336234,0.0258014247465457
logreg,0.5,0.0169047304721222,-0.002143385579101,0.0330478951660609
logreg,1.0,0.0290312128481354,0.0212683123490499,0.0383237644735877
logreg,2.0,0.0118061251096661,0.0070130062609823,0.0167782290785113
logreg,3.0,0.0078093651878067,0.0035463204652143,0.0115121657557736
logreg,5.0,0.0030458384380058,-0.0005023710021258,0.0066726852319878
mlp,0.5,0.0435091412465687,0.020707825804193,0.0673581427006153
mlp,1.0,0.0038451401682698,-0.0148785582985689,0.0240027415468481
mlp,2.0,0.0138514983066211,-0.0010506420384428,0.0315075052821142
mlp,3.0,0.0115970247646542,-0.0020278190984023,0.0276449225468894
mlp,5.0,0.0106947275071015,-0.0027211428849629,0.0276234367556514
transformer,0.5,0.065858477080511,0.0346718662007121,0.1022143789652359
transformer,1.0,0.1085889568457426,0.0665810685294105,0.1478736690533123
transformer,2.0,0.0669226433142936,0.0285691724542302,0.0991977530480821
transformer,3.0,0.0487035420880005,0.0157488815003735,0.0792935311925079
transformer,5.0,0.0399566887570226,0.0077372744016352,0.0649102598495358
tcn,0.5,0.0907430791228642,0.0557365220346656,0.1372957904581104
tcn,1.0,0.1017188272418829,0.0734885636394843,0.1302408848542337
tcn,2.0,0.0300421468392144,0.0118866985640115,0.0543309753680395
tcn,3.0,0.0395512885933216,0.0137059325781103,0.0647192080182419
tcn,5.0,0.0211410414576127,-0.0103739020190576,0.0548434893840925
gru,0.5,0.0356063949819565,0.0039863202138403,0.0645113550876272
gru,1.0,0.04957193293781,0.0222926193230332,0.0821797188586234
gru,2.0,0.0248221544107571,-0.0049869222664526,0.0594409299245864
gru,3.0,0.027148828615811,-0.0014538909953726,0.0650156142916756
gru,5.0,0.0202900316417744,-0.0118093337195359,0.0619884744266045
