model,horizon_s,delta_auprc,ci_low,ci_high
mlp,0.5,0.043509141246568794,0.02070782580419309,0.06735814270061535
mlp,1.0,0.003845140168269867,-0.014878558298568928,0.024002741546848148
mlp,2.0,0.013851498306621135,-0.0010506420384428254,0.03150750528211429
mlp,3.0,0.011597024764654296,-0.0020278190984023073,0.027644922546889415
mlp,5.0,0.010694727507101542,-0.002721142884962937,0.027623436755651418
gru,0.5,0.0356063949819565,0.003986320213840303,0.06451135508762722
gru,1.0,0.04957193293781004,0.022292619323033284,0.0821797188586234
gru,2.0,0.02482215441075719,-0.004986922266452634,0.059440929924586446
gru,3.0,0.027148828615811027,-0.0014538909953726125,0.06501561429167568
gru,5.0,0.020290031641774453,-0.01180933371953591,0.06198847442660458
tcn,0.5,0.09074307912286428,0.05573652203466563,0.13729579045811047
tcn,1.0,0.10171882724188297,0.07348856363948437,0.13024088485423377
tcn,2.0,0.030042146839214412,0.01188669856401159,0.0543309753680395
tcn,3.0,0.03955128859332169,0.013705932578110305,0.06471920801824196
tcn,5.0,0.021141041457612753,-0.010373902019057697,0.05484348938409252
transformer,0.5,0.06585847708051107,0.03467186620071216,0.1022143789652359
transformer,1.0,0.10858895684574266,0.06658106852941056,0.1478736690533123
transformer,2.0,0.0669226433142936,0.028569172454230265,0.09919775304808216
transformer,3.0,0.04870354208800054,0.01574888150037358,0.0792935311925079
transformer,5.0,0.03995668875702263,0.0077372744016352335,0.06491025984953583
