model,horizon_s,delta_auprc,ci_low,ci_high
logreg,0.5,0.016904730472122265,-0.002143385579101085,0.0330478951660609
logreg,1.0,0.02903121284813548,0.021268312349049932,0.038323764473587735
logreg,2.0,0.011806125109666166,0.0070130062609823655,0.016778229078511366
logreg,3.0,0.007809365187806727,0.0035463204652143037,0.011512165755773658
logreg,5.0,0.0030458384380058767,-0.0005023710021258286,0.006672685231987815
lgbm,0.5,0.02460844483458835,-0.0018463700799649688,0.04633300371639482
lgbm,1.0,-0.020897630101551545,-0.031132224406031528,-0.008364372203114277
lgbm,2.0,-0.001489753395899296,-0.009167730080254458,0.006462744277569761
lgbm,3.0,0.015660990978997646,0.006528755355181312,0.025399242440490126
lgbm,5.0,0.016146145467147432,0.0065538925336234895,0.02580142474654579
