model,feature_set,seed,condition,horizon_s,n,positive_rate,auprc,auprc_lift,auroc,brier,nll,ece,f1_best,f1_best_threshold,recall_at_fpr0.01,threshold_at_fpr0.01,recall_at_fpr0.05,threshold_at_fpr0.05,recall_at_fpr0.1,threshold_at_fpr0.1,precision_at_recall0.5,precision_at_recall0.8,auprc_ci_low,auprc_ci_high,n_drives
rule,rf_mob_hist,1337,grouped_drive,0.5,8131,0.036772844668552455,0.0654143873442536,1.7788775367763412,0.6532720149903833,0.15064012509759042,0.6967639187129154,0.17050310887068093,0.13514594162335064,0.21365546366762914,0.0033444816053511705,0.9999802696611528,0.0903010033444816,0.9714538788214807,0.24414715719063546,0.8202705880258625,0.07735368956743002,0.043843624406284254,0.05284774490427582,0.08042802183851969,57
rule,rf_mob_hist,1337,grouped_drive,1.0,8131,0.0670274259008732,0.11749203250888296,1.7528948923481238,0.6529985221448492,0.15654186245563267,0.7329005579855244,0.16312394271645636,0.21698630136986302,0.6196066018200848,0.005504587155963303,0.9999802696611528,0.11376146788990826,0.9676096965129412,0.26238532110091745,0.8007373346776753,0.13652217239661185,0.0793159905402947,0.10040927959703592,0.135150795702874,57
rule,rf_mob_hist,1337,grouped_drive,2.0,8084,0.12481444829292429,0.2210502347236757,1.7710308201250686,0.6752720217687457,0.16722101042582863,0.7800896943118149,0.1469654494426073,0.34629629629629627,0.19877959969300693,0.005946481665014866,0.9999802696611528,0.13181367690782952,0.9544543302720304,0.2804757185332012,0.751959589949002,0.25489212242849973,0.15956820412168793,0.1948575080369109,0.24669324887243074,57
rule,rf_mob_hist,1337,grouped_drive,3.0,8038,0.17491913411296342,0.2975623031302136,1.7011420999720177,0.6737247592173471,0.1824298086751756,0.8449609261647566,0.15210230234264346,0.4218512898330804,0.11888512659913669,0.007823613086770981,0.9999802696611528,0.13513513513513514,0.944131921187715,0.28378378378378377,0.7171367597276206,0.34074775201135826,0.21743332044839583,0.26260450013349756,0.3291952847575205,57
rule,rf_mob_hist,1337,grouped_drive,5.0,7941,0.2591613146958821,0.4107356622527236,1.5848648658643725,0.6649042463443695,0.21474396383660577,0.9887599808623442,0.17711532749847983,0.49705634987384345,0.09037284923991448,0.012147716229348883,0.9999661635938774,0.1491739552964043,0.9154303000226859,0.29591836734693877,0.6442685142245304,0.46292134831460674,0.2961165048543689,0.37118013120705207,0.45063445686284465,57
logreg,rf_mob_hist,1337,grouped_drive,0.5,8131,0.036772844668552455,0.40188872529500147,10.928953931015574,0.9028597196648003,0.07488292988150648,0.29417973826343474,0.12246026270397625,0.521985815602837,0.914516639665711,0.26755852842809363,0.9934006336426685,0.7090301003344481,0.7243339523142944,0.7759197324414716,0.45420944654237705,0.48859934853420195,0.1956168831168831,0.33005705524302664,0.48038794441078614,57
logreg,rf_mob_hist,1337,grouped_drive,1.0,8131,0.0670274259008732,0.7276015963079222,10.855281797393975,0.9269995186691082,0.07293571245095536,0.2582216275240625,0.1270380055805492,0.7335359675785207,0.9298200370098659,0.655045871559633,0.9368984580375519,0.763302752293578,0.6908709680737114,0.8165137614678899,0.46454975321637987,0.8753993610223643,0.4090056285178236,0.6679479408143426,0.7761859607181677,57
logreg,rf_mob_hist,1337,grouped_drive,2.0,8084,0.12481444829292429,0.6066959784905112,4.860783240948754,0.8489138390527655,0.14143135756539185,0.4402775892610159,0.20530430433275654,0.558589306029579,0.8079749623005292,0.35777998017839446,0.9279138767984001,0.5104063429137761,0.7656177209608795,0.6124876114965312,0.6546890039962078,0.6196319018404908,0.2801246537396122,0.559456290526948,0.6475557339775637,57
logreg,rf_mob_hist,1337,grouped_drive,3.0,8038,0.17491913411296342,0.5855009529715928,3.347266472251538,0.8176310556000734,0.1644657206687193,0.5009236048862141,0.20182974140626483,0.5347912524850895,0.642826909158812,0.2581792318634424,0.9310254892865705,0.4274537695590327,0.7842844090370984,0.5341394025604552,0.6800392451383808,0.5552922590837283,0.326749927388905,0.5396568315670042,0.6299683444595294,57
logreg,rf_mob_hist,1337,grouped_drive,5.0,7941,0.2591613146958821,0.6016105600906189,2.3213748579589915,0.7809407680412687,0.18733706985548362,0.5565628388664288,0.1648161988629818,0.5533923303834809,0.4987836941728842,0.17103984450923226,0.9318591390853376,0.3396501457725947,0.8027213064562279,0.45335276967930027,0.7115949584650152,0.5836642087351106,0.39821083172147004,0.5515034364755886,0.6529828748273483,57
