model,feature_set,seed,condition,horizon_s,n_events,n_detected,n_alarm_episodes,n_false_alarm_episodes,observed_hours,observed_km,event_detection_rate,missed_event_rate,false_alarms_per_hour,false_alarms_per_km,median_lead_time_s
rule,rf_mob_hist,1337,grouped_drive,0.5,938,34,177,144,2.6594444444444445,94.75279252335324,0.03624733475479744,0.9637526652452025,54.14664716941717,1.5197441274831984,0.507441149038427
rule,rf_mob_hist,1337,grouped_drive,1.0,938,52,225,175,2.6594444444444445,94.75279252335324,0.05543710021321962,0.9445628997867804,65.8032170461667,1.8469112660386093,0.5019615521797767
rule,rf_mob_hist,1337,grouped_drive,2.0,938,119,287,184,2.644722222222222,94.22370053662117,0.12686567164179105,0.8731343283582089,69.5725238945489,1.9527995499230706,1.1848571861491484
rule,rf_mob_hist,1337,grouped_drive,3.0,938,164,290,162,2.6294444444444447,93.75219152348589,0.17484008528784648,0.8251599147121536,61.60997253327699,1.72795960678335,1.6295182675850102
rule,rf_mob_hist,1337,grouped_drive,5.0,938,262,338,149,2.598888888888889,92.55069695941185,0.279317697228145,0.720682302771855,57.33219324497649,1.6099284488948151,2.8970839777065596
logreg,rf_mob_hist,1337,grouped_drive,0.5,938,355,451,106,2.6594444444444445,94.75279252335324,0.3784648187633262,0.6215351812366738,39.85794861082097,1.1187005382862434,0.45628165728609327
logreg,rf_mob_hist,1337,grouped_drive,1.0,938,424,574,163,2.6594444444444445,94.75279252335324,0.4520255863539446,0.5479744136460554,61.29099644871527,1.720265922081676,0.4574364024513173
logreg,rf_mob_hist,1337,grouped_drive,2.0,938,502,582,162,2.644722222222222,94.22370053662117,0.535181236673774,0.46481876332622596,61.25406995063544,1.7193126472148774,0.6629303057355235
logreg,rf_mob_hist,1337,grouped_drive,3.0,938,601,583,151,2.6294444444444447,93.75219152348589,0.6407249466950959,0.35927505330490406,57.42657933657299,1.6106290161992953,0.8955574499787189
logreg,rf_mob_hist,1337,grouped_drive,5.0,938,659,617,144,2.598888888888889,92.55069695941185,0.7025586353944563,0.2974413646055437,55.408294142796066,1.5559040043010293,2.040276217352096
lgbm,rf_mob_hist,1337,grouped_drive,0.5,938,391,491,113,2.6594444444444445,94.75279252335324,0.4168443496801706,0.5831556503198294,42.49007729266764,1.1925769889277877,0.46674686380664404
lgbm,rf_mob_hist,1337,grouped_drive,1.0,938,419,575,170,2.6594444444444445,94.75279252335324,0.4466950959488273,0.5533049040511727,63.923125130561935,1.7941423727232204,0.45776848292293865
lgbm,rf_mob_hist,1337,grouped_drive,2.0,938,506,590,168,2.644722222222222,94.22370053662117,0.5394456289978679,0.46055437100213215,63.52273920806638,1.782990893408021,0.6780020149328964
lgbm,rf_mob_hist,1337,grouped_drive,3.0,938,602,604,165,2.6294444444444447,93.75219152348589,0.6417910447761194,0.35820895522388063,62.750897950559896,1.7599588587608195,0.9648903548915521
lgbm,rf_mob_hist,1337,grouped_drive,5.0,938,611,543,108,2.598888888888889,92.55069695941185,0.6513859275053305,0.34861407249466947,41.55622060709705,1.166928003225772,1.8014025625737715
mlp,rf_mob_hist,1337,grouped_drive,0.5,938,340,449,120,2.6594444444444445,94.75279252335324,0.3624733475479744,0.6375266524520256,45.12220597451431,1.266453439569332,0.4506264665547539
mlp,rf_mob_hist,1337,grouped_drive,1.0,938,370,531,173,2.6594444444444445,94.75279252335324,0.39445628997867804,0.6055437100213219,65.0511802799248,1.8258037087124537,0.45366759300231935
mlp,rf_mob_hist,1337,grouped_drive,2.0,938,448,542,169,2.644722222222222,94.22370053662117,0.47761194029850745,0.5223880597014925,63.900850750971536,1.7936039344402115,0.725669655416693
mlp,rf_mob_hist,1337,grouped_drive,3.0,938,565,582,173,2.6294444444444447,93.75219152348589,0.6023454157782516,0.3976545842217484,65.79336572998098,1.8452901973674047,1.005628362166143
mlp,rf_mob_hist,1337,grouped_drive,5.0,938,650,607,146,2.598888888888889,92.55069695941185,0.6929637526652452,0.30703624733475476,56.17785378366823,1.5775137821385437,2.0271430639120247
gru,rf_mob_hist,1337,grouped_drive,0.5,938,267,373,114,2.6594444444444445,94.75279252335324,0.2846481876332623,0.7153518123667377,42.86609567578859,1.2031307675908656,0.4819325650675913
gru,rf_mob_hist,1337,grouped_drive,1.0,938,299,433,143,2.6594444444444445,94.75279252335324,0.3187633262260128,0.6812366737739872,53.77062878629622,1.5091903488201208,0.463140381618487
gru,rf_mob_hist,1337,grouped_drive,2.0,938,356,429,135,2.644722222222222,94.22370053662117,0.3795309168443497,0.6204690831556503,51.045058292196195,1.4327605393457312,0.8019915738802278
gru,rf_mob_hist,1337,grouped_drive,3.0,938,444,457,138,2.6294444444444447,93.75219152348589,0.47334754797441364,0.5266524520255864,52.48256919501373,1.4719655909635945,1.4268783943073169
gru,rf_mob_hist,1337,grouped_drive,5.0,938,505,472,130,2.598888888888889,92.55069695941185,0.5383795309168443,0.4616204690831557,50.0213766566909,1.4046355594384292,2.608285087169987
tcn,rf_mob_hist,1337,grouped_drive,0.5,938,293,402,121,2.6594444444444445,94.75279252335324,0.31236673773987206,0.687633262260128,45.49822435763526,1.27700721823241,0.44870651541309553
tcn,rf_mob_hist,1337,grouped_drive,1.0,938,322,481,172,2.6594444444444445,94.75279252335324,0.34328358208955223,0.6567164179104478,64.67516189680384,1.815249930049376,0.4493727239762774
tcn,rf_mob_hist,1337,grouped_drive,2.0,938,404,528,193,2.644722222222222,94.22370053662117,0.43070362473347545,0.5692963752665245,72.9755277806953,2.048316919212786,0.7237228172840459
tcn,rf_mob_hist,1337,grouped_drive,3.0,938,478,522,171,2.6294444444444447,93.75219152348589,0.509594882729211,0.49040511727078895,65.0327487851257,1.8239573627157584,1.0870502897885055
tcn,rf_mob_hist,1337,grouped_drive,5.0,938,548,530,146,2.598888888888889,92.55069695941185,0.5842217484008528,0.41577825159914716,56.17785378366823,1.5775137821385437,2.1597755103215683
transformer,rf_mob_hist,1337,grouped_drive,0.5,938,303,388,94,2.6594444444444445,94.75279252335324,0.3230277185501066,0.6769722814498934,35.345728013369545,0.9920551943293101,0.4467227891726856
transformer,rf_mob_hist,1337,grouped_drive,1.0,938,345,488,154,2.6594444444444445,94.75279252335324,0.3678038379530917,0.6321961620469083,57.906831000626696,1.6252819141139763,0.4492435013038525
transformer,rf_mob_hist,1337,grouped_drive,2.0,938,415,483,139,2.644722222222222,94.22370053662117,0.44243070362473347,0.5575692963752665,52.55750446381683,1.4752127034744935,0.7233976829482849
transformer,rf_mob_hist,1337,grouped_drive,3.0,938,494,489,136,2.6294444444444447,93.75219152348589,0.5266524520255863,0.4733475479744137,51.72195225015846,1.450632756311948,1.0813684627594735
transformer,rf_mob_hist,1337,grouped_drive,5.0,938,555,504,126,2.598888888888889,92.55069695941185,0.591684434968017,0.40831556503198296,48.48225737494656,1.3614160037634007,1.996223359494596
